Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Gerald Derome,Philip Fernandez,David Peter Gentili,El- Farouk Khaki,Ellen Michelson,Bob Rae,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Toronto Centre/Toronto-Centre"," 1","Toronto",1,1,0,73,18,30,139,1,2,265,472
35093,"Toronto Centre/Toronto-Centre"," 2","Toronto",0,0,0,78,15,25,175,1,0,294,463
35093,"Toronto Centre/Toronto-Centre"," 3","Toronto",0,0,0,60,12,45,143,1,0,261,427
35093,"Toronto Centre/Toronto-Centre"," 4","Toronto",0,1,0,73,5,21,100,0,0,200,385
35093,"Toronto Centre/Toronto-Centre"," 5","Toronto",0,1,0,73,8,21,126,1,0,230,384
35093,"Toronto Centre/Toronto-Centre"," 6","Toronto",Void/Supprimé,,,,,,,,,,
35093,"Toronto Centre/Toronto-Centre"," 7","Toronto",0,0,0,69,11,34,126,0,0,240,375
35093,"Toronto Centre/Toronto-Centre"," 8","Toronto",0,2,0,74,5,24,132,1,0,238,413
35093,"Toronto Centre/Toronto-Centre"," 9","Toronto",Void/Supprimé,,,,,,,,,,
35093,"Toronto Centre/Toronto-Centre"," 10","Toronto",0,1,0,71,10,30,95,1,2,210,366
35093,"Toronto Centre/Toronto-Centre"," 11","Toronto",0,1,1,113,4,22,103,0,0,244,361
35093,"Toronto Centre/Toronto-Centre"," 12","Toronto",0,2,0,123,1,14,101,0,0,241,384
35093,"Toronto Centre/Toronto-Centre"," 13","Toronto",0,0,0,90,6,20,139,1,1,257,388
35093,"Toronto Centre/Toronto-Centre"," 14","Toronto",1,0,1,97,16,30,111,0,0,256,448
35093,"Toronto Centre/Toronto-Centre"," 15","Toronto",0,0,0,74,9,34,115,2,1,235,412
35093,"Toronto Centre/Toronto-Centre"," 16","Toronto",1,0,0,90,4,25,106,1,0,227,343
35093,"Toronto Centre/Toronto-Centre"," 17","Toronto",1,1,0,77,3,8,78,0,0,168,314
35093,"Toronto Centre/Toronto-Centre"," 18","Toronto",1,0,0,100,5,22,93,0,0,221,386
35093,"Toronto Centre/Toronto-Centre"," 19","Toronto",0,0,0,81,2,26,95,0,0,204,325
35093,"Toronto Centre/Toronto-Centre"," 20","Toronto",0,1,0,49,4,13,102,2,0,171,323
35093,"Toronto Centre/Toronto-Centre"," 21","Toronto",0,0,0,57,9,31,111,0,0,208,315
35093,"Toronto Centre/Toronto-Centre"," 22","Toronto",0,1,0,54,10,28,84,0,2,179,320
35093,"Toronto Centre/Toronto-Centre"," 23","Toronto",0,0,0,58,3,26,120,2,2,211,353
35093,"Toronto Centre/Toronto-Centre"," 24","Toronto",0,0,0,59,9,21,62,0,0,151,309
35093,"Toronto Centre/Toronto-Centre"," 25","Toronto",0,0,0,60,9,23,97,0,1,190,325
35093,"Toronto Centre/Toronto-Centre"," 26","Toronto",1,1,0,98,5,16,150,0,0,271,466
