Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie Crawford,Sharon Howarth,Andrew Lang,Jack Layton,Christina Perreault,John Richardson,Marcell Rodden,Bahman Yazdanfar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Toronto--Danforth/Toronto--Danforth"," 1","East York",1,19,88,64,59,2,0,0,0,233,397
35094,"Toronto--Danforth/Toronto--Danforth"," 2","East York",0,26,100,101,56,0,2,0,3,288,479
35094,"Toronto--Danforth/Toronto--Danforth"," 3","East York",1,37,82,74,54,0,1,0,0,249,433
35094,"Toronto--Danforth/Toronto--Danforth"," 4","East York",1,15,71,84,26,3,0,0,1,201,374
35094,"Toronto--Danforth/Toronto--Danforth"," 5","East York",1,27,69,74,26,1,0,0,2,200,414
35094,"Toronto--Danforth/Toronto--Danforth"," 6","East York",0,18,62,73,36,0,1,0,0,190,389
35094,"Toronto--Danforth/Toronto--Danforth"," 7","East York",1,30,42,86,40,1,0,0,1,201,383
35094,"Toronto--Danforth/Toronto--Danforth"," 8","East York",0,10,65,69,19,0,1,1,0,165,324
35094,"Toronto--Danforth/Toronto--Danforth"," 9","East York",0,16,31,53,25,0,0,0,0,125,254
35094,"Toronto--Danforth/Toronto--Danforth"," 10","East York",0,16,46,47,41,0,1,0,3,154,262
35094,"Toronto--Danforth/Toronto--Danforth"," 11","East York",0,17,70,93,40,1,0,1,1,223,454
35094,"Toronto--Danforth/Toronto--Danforth"," 12","East York",0,13,62,86,40,1,2,1,0,205,578
35094,"Toronto--Danforth/Toronto--Danforth"," 13","East York",1,10,39,49,20,3,2,0,1,125,249
35094,"Toronto--Danforth/Toronto--Danforth"," 14","East York",0,6,12,44,16,1,0,1,0,80,203
35094,"Toronto--Danforth/Toronto--Danforth"," 15","East York",0,13,33,35,10,1,0,0,0,92,307
35094,"Toronto--Danforth/Toronto--Danforth"," 16","East York",0,28,56,141,48,0,1,0,2,276,716
35094,"Toronto--Danforth/Toronto--Danforth"," 17","East York",1,21,38,74,29,0,0,1,3,167,454
35094,"Toronto--Danforth/Toronto--Danforth"," 18","East York",0,37,66,79,26,0,0,0,0,208,366
35094,"Toronto--Danforth/Toronto--Danforth"," 19","East York",2,26,73,92,42,0,0,0,1,236,429
35094,"Toronto--Danforth/Toronto--Danforth"," 20","East York",1,14,81,67,58,1,0,0,0,222,409
35094,"Toronto--Danforth/Toronto--Danforth"," 21","East York",0,39,69,98,60,0,1,3,1,271,437
35094,"Toronto--Danforth/Toronto--Danforth"," 22","East York",2,27,61,81,55,1,2,1,1,231,385
35094,"Toronto--Danforth/Toronto--Danforth"," 23","East York",1,20,70,97,39,1,1,1,0,230,397
35094,"Toronto--Danforth/Toronto--Danforth"," 24","East York",1,27,69,92,40,0,2,0,1,232,407
35094,"Toronto--Danforth/Toronto--Danforth"," 25","East York",2,28,62,78,37,1,1,1,2,212,387
35094,"Toronto--Danforth/Toronto--Danforth"," 26","East York",1,16,62,97,24,1,0,0,1,202,341
35094,"Toronto--Danforth/Toronto--Danforth"," 27","East York",0,19,94,87,58,0,2,0,1,261,403
35094,"Toronto--Danforth/Toronto--Danforth"," 28","East York",0,19,38,72,25,0,0,0,0,154,332
35094,"Toronto--Danforth/Toronto--Danforth"," 29","East York",1,22,61,63,22,0,0,0,1,170,339
35094,"Toronto--Danforth/Toronto--Danforth"," 30","East York",0,32,71,92,37,2,1,0,0,235,425
35094,"Toronto--Danforth/Toronto--Danforth"," 31","East York",0,24,65,79,20,1,1,0,0,190,341
