Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brent Bouteiller,Bruce Bowser,Michael Chong,Noel Duignan,Jeffrey Streutker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 1","Centre Wellington",Merged with No. 2/Fusionné avec le nº 2,,,,,,,125
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 2","Centre Wellington",35,33,170,28,7,0,273,337
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 3","Centre Wellington",14,73,172,18,3,0,280,344
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 4","Centre Wellington",38,55,190,26,9,2,320,551
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 5","Centre Wellington",20,40,141,32,4,0,237,545
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 6","Centre Wellington",11,30,115,8,5,1,170,293
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 7","Centre Wellington",9,28,102,16,2,0,157,278
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 8","Centre Wellington",22,50,198,20,13,0,303,537
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 9","Centre Wellington",19,41,149,18,11,0,238,369
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 10","Centre Wellington",25,26,96,19,2,0,168,335
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 11","Centre Wellington",25,44,169,18,4,1,261,420
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 12","Centre Wellington",16,43,125,22,2,0,208,355
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 13","Centre Wellington",26,58,153,17,6,0,260,443
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 14","Centre Wellington",46,42,187,36,2,0,313,551
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 15","Centre Wellington",17,23,80,27,3,0,150,312
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 15-1","Centre Wellington",18,46,113,11,2,1,191,301
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 16","Centre Wellington",38,42,97,31,2,1,211,367
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 17","Centre Wellington",42,81,193,45,0,1,362,571
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 18","Centre Wellington",22,32,62,26,2,1,145,282
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 19","Centre Wellington",53,56,54,17,1,0,181,341
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 20","Centre Wellington",14,41,78,12,4,0,149,286
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 20-1","Centre Wellington",17,45,98,14,1,2,177,281
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 21A","Centre Wellington",31,70,210,26,1,1,339,518
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 21B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,37
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 22","Centre Wellington",39,65,91,24,0,1,220,402
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 23","Centre Wellington",32,56,144,33,4,2,271,472
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 24","Centre Wellington",19,36,132,19,2,3,211,450
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 25","Centre Wellington",9,15,80,8,0,2,114,157
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 26","Centre Wellington",29,55,126,18,4,0,232,396
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 27","Centre Wellington",13,26,110,30,0,2,181,327
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 27-1","Centre Wellington",7,17,83,31,1,0,139,261
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 28","Centre Wellington",21,21,94,33,1,1,171,346
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 29","Centre Wellington",20,26,102,19,1,1,169,306
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 30","Centre Wellington",35,35,106,26,1,0,203,339
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 31","Centre Wellington",20,34,63,15,1,0,133,266
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 32","Centre Wellington",16,45,97,15,1,1,175,325
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 33","Centre Wellington",19,49,156,24,3,2,253,469
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 34","Centre Wellington",18,25,123,31,3,1,201,381
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 35","Centre Wellington",25,20,101,27,1,0,174,312
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 36","Centre Wellington",17,20,92,25,7,0,161,346
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 36-1","Centre Wellington",13,19,88,18,0,0,138,272
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 37","Centre Wellington",7,22,108,17,0,0,154,265
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 37-1","Centre Wellington",20,33,108,25,2,1,189,356
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 38","Centre Wellington",27,56,120,32,4,0,239,454
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 39","Centre Wellington",22,28,104,22,0,0,176,333
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 40","Centre Wellington",33,32,68,22,0,0,155,300
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 41","Centre Wellington",23,43,78,45,1,2,192,347
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 42","Centre Wellington",28,36,152,29,5,3,253,476
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 43","Centre Wellington",26,28,158,40,3,0,255,503
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 44","Centre Wellington",16,40,136,29,0,0,221,424
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 44-1","Centre Wellington",14,22,63,23,1,2,125,284
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 45","Guelph/Eramosa",44,56,169,21,1,1,292,466
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 46","Guelph/Eramosa",36,52,150,21,4,0,263,426
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 47","Guelph/Eramosa",24,42,153,18,2,0,239,396
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 48","Guelph/Eramosa",23,42,108,19,10,0,202,331
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 49","Guelph/Eramosa",49,36,132,29,3,1,250,442
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 50","Guelph/Eramosa",24,19,69,22,1,1,136,267
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 51","Guelph/Eramosa",30,28,72,15,3,0,148,322
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 52A","Guelph/Eramosa",23,44,102,14,1,0,184,363
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 52B","Guelph/Eramosa",23,39,105,12,5,0,184,364
35098,"Wellington--Halton Hills/Wellington--Halton Hills"," 52-1","Guelph/Eramosa",18,46,108,20,1,0,193,338
