Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Comartin,Denise Ghanam,Steve Mastroianni,Kyle Prestanski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 1","Windsor",54,18,20,9,2,103,309
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 2","Windsor",56,5,13,6,0,80,293
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 3","Windsor",54,23,26,7,0,110,249
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 4","Windsor",44,10,12,6,0,72,228
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 5","Windsor",55,10,43,10,1,119,367
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 6","Windsor",54,15,21,9,0,99,291
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 7","Windsor",93,24,21,5,1,144,424
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 8","Windsor",62,23,31,11,0,127,285
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 9","Windsor",71,23,30,30,2,156,332
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 10","Windsor",70,18,14,4,1,107,332
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 11","Windsor",54,31,16,12,2,115,311
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 12","Windsor",89,29,34,24,0,176,377
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 13","Windsor",70,15,40,8,1,134,322
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 14A","Windsor",42,15,22,6,2,87,265
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 14B","Windsor",48,22,14,5,1,90,292
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 15","Windsor",85,28,37,12,1,163,528
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 16","Windsor",Void/Supprimé,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 17","Windsor",89,27,40,17,2,175,376
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 18","Windsor",96,50,69,28,1,244,416
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 19","Windsor",57,29,29,14,1,130,313
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 20","Windsor",95,41,39,17,3,195,428
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 21","Windsor",62,36,32,12,1,143,302
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 22","Windsor",70,30,23,6,0,129,327
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 23","Windsor",44,21,28,6,1,100,234
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 24","Windsor",84,36,23,14,3,160,384
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 25","Windsor",70,34,20,11,0,135,289
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 26","Windsor",65,17,14,6,1,103,279
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 27","Windsor",62,12,4,2,0,80,245
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 28","Windsor",80,18,26,5,1,130,404
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 29","Windsor",99,69,71,16,1,256,463
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 30","Windsor",72,49,27,4,0,152,400
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 31","Windsor",Void/Supprimé,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 32A","Windsor",61,16,26,4,0,107,273
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 32B","Windsor",55,27,21,5,0,108,289
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 33","Windsor",51,33,18,5,0,107,281
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 34","Windsor",68,28,15,14,0,125,409
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 35","Windsor",95,25,21,17,0,158,326
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 36","Windsor",66,25,29,18,1,139,320
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 37A","Windsor",38,64,60,8,2,172,359
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 37B","Windsor",39,59,41,6,0,145,323
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 38","Windsor",Void/Supprimé,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 39A","Windsor",45,51,25,11,1,133,332
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 39B","Windsor",36,35,36,11,2,120,272
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 40","Windsor",59,72,43,15,2,191,362
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 41","Windsor",91,43,27,12,1,174,373
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 42","Windsor",84,45,30,18,1,178,359
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 43","Windsor",83,33,32,5,0,153,305
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 44","Windsor",85,33,22,22,1,163,330
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 45","Windsor",104,51,40,24,2,221,451
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 46","Windsor",99,37,30,7,0,173,352
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 47","Windsor",85,28,37,5,0,155,275
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 48","Windsor",72,31,27,8,2,140,274
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 49","Windsor",85,33,69,14,0,201,371
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 50","Windsor",24,30,29,7,0,90,263
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 51","Windsor",69,45,30,7,1,152,354
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 52","Windsor",73,49,43,10,2,177,403
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 53","Windsor",72,24,21,7,0,124,336
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 54","Windsor",83,41,50,8,0,182,361
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 55","Windsor",113,54,62,17,2,248,395
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 56","Windsor",76,46,40,12,1,175,362
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 57","Windsor",51,23,21,17,0,112,332
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 58","Windsor",85,32,56,10,0,183,366
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 59","Windsor",91,46,42,32,0,211,415
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 60A","Windsor",55,24,35,5,0,119,253
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 60B","Windsor",79,26,20,10,0,135,292
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 61","Windsor",109,44,26,16,2,197,342
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 62","Windsor",94,50,33,21,0,198,372
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 63","Windsor",97,36,29,22,0,184,357
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 64","Windsor",86,33,40,13,0,172,318
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 65","Windsor",95,44,25,10,0,174,314
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 66","Windsor",73,45,27,7,0,152,293
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 67","Windsor",53,33,23,10,0,119,359
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 67-1","Windsor",95,37,22,5,0,159,372
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 68","Windsor",93,50,31,20,0,194,390
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 69","Windsor",Void/Supprimé,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 70","Windsor",86,49,40,23,2,200,370
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 71","Windsor",Void/Supprimé,,,,,,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 72","Windsor",71,46,18,10,0,145,322
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 73","Windsor",89,48,42,13,0,192,379
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 74","Windsor",134,57,58,11,0,260,517
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 75","Windsor",94,35,33,10,1,173,416
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 76","Windsor",91,61,43,10,2,207,436
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 77","Windsor",78,17,14,11,2,122,381
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 78","Windsor",59,22,11,13,1,106,302
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 79","Windsor",54,21,13,6,2,96,254
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 80","Windsor",87,34,24,4,0,149,423
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 81","Windsor",68,24,15,7,1,115,253
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 82","Windsor",80,29,19,12,1,141,343
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 83","Windsor",89,71,67,11,0,238,506
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 84","Windsor",59,43,27,8,1,138,278
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 85","Windsor",80,43,38,13,0,174,382
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 86A","Windsor",71,47,40,9,0,167,390
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 86B","Windsor",69,43,37,5,1,155,352
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 87","Windsor",109,56,56,13,2,236,532
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 88A","Windsor",55,40,34,10,1,140,320
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 88B","Windsor",47,25,34,5,0,111,307
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 89","Windsor",62,60,34,5,0,161,364
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 90","Windsor",80,77,58,12,4,231,432
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 90-1","Windsor",58,45,55,10,0,168,447
