Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janine Gibson,Shirley Hiebert,Ross Martin,David Reimer,Vic Toews,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 1","Pine Falls",2,12,23,2,92,1,132,237
46008,"Provencher/Provencher"," 2","Pine Falls",6,14,23,3,69,0,115,217
46008,"Provencher/Provencher"," 3","Powerview",6,14,20,1,69,0,110,210
46008,"Provencher/Provencher"," 4","Powerview--Pine Falls",12,15,35,2,145,0,209,607
46008,"Provencher/Provencher"," 5","St-Georges",15,39,55,1,211,1,322,393
46008,"Provencher/Provencher"," 6","Great Falls",5,17,32,1,97,1,153,286
46008,"Provencher/Provencher"," 7","St-Georges",Merged with No. 5/Fusionné avec le nº 5,,,,,,,141
46008,"Provencher/Provencher"," 8","Bird River",8,10,26,0,90,1,135,203
46008,"Provencher/Provencher"," 9","Lac du Bonnet",15,24,37,5,138,0,219,400
46008,"Provencher/Provencher"," 10","Crescent Bay",15,31,44,3,162,0,255,448
46008,"Provencher/Provencher"," 11","Lac du Bonnet",12,24,39,0,117,1,193,341
46008,"Provencher/Provencher"," 12","Lac du Bonnet",17,44,64,0,188,0,313,529
46008,"Provencher/Provencher"," 13A","Riverland",13,36,54,7,186,0,296,594
46008,"Provencher/Provencher"," 13B","Riverland",21,23,41,7,162,1,255,523
46008,"Provencher/Provencher"," 14","Pointe du Bois",4,1,16,0,25,0,46,85
46008,"Provencher/Provencher"," 15","Seven Sisters Falls",14,24,45,8,171,0,262,443
46008,"Provencher/Provencher"," 16","Pinawa",24,38,34,0,124,2,222,320
46008,"Provencher/Provencher"," 17","Pinawa",16,56,54,3,156,1,286,455
46008,"Provencher/Provencher"," 18","Pinawa",27,65,47,4,147,3,293,413
46008,"Provencher/Provencher"," 19","Lac du Bonnet",Void/Supprimé,,,,,,,
46008,"Provencher/Provencher"," 20","Seddons Corner",14,14,32,2,81,0,143,246
46008,"Provencher/Provencher"," 21","Elma",4,7,15,4,72,1,103,285
46008,"Provencher/Provencher"," 22","Whitemouth",22,26,56,3,227,7,341,655
