Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Heinrichs,Trevor Kennerd,Anita Neville,Vere Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 1","Winnipeg",6,112,124,7,1,250,402
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 2","Winnipeg",11,117,93,1,1,223,412
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 3","Winnipeg",23,85,71,6,0,185,336
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 4","Winnipeg",38,67,50,12,0,167,319
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 5","Winnipeg",9,157,136,14,0,316,500
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 6","Winnipeg",6,95,83,9,0,193,312
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 7","Winnipeg",9,170,116,13,1,309,474
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 8","Winnipeg",12,117,120,19,0,268,403
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 9","Winnipeg",17,87,56,12,5,177,381
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 10","Winnipeg",5,194,131,7,3,340,548
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 11","Winnipeg",11,172,110,17,2,312,532
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 12","Winnipeg",15,127,119,7,0,268,428
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 13","Winnipeg",21,92,61,13,0,187,353
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 14","Winnipeg",20,82,41,2,0,145,290
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 15","Winnipeg",28,35,55,9,1,128,249
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 16","Winnipeg",11,137,93,13,4,258,439
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 17","Winnipeg",12,147,87,6,1,253,423
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 18","Winnipeg",21,102,104,24,0,251,405
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 19","Winnipeg",18,97,108,15,0,238,366
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 20","Winnipeg",24,77,91,22,0,214,361
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 21","Winnipeg",26,89,84,9,3,211,328
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 22","Winnipeg",30,81,91,20,0,222,350
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 23","Winnipeg",49,64,73,11,0,197,435
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 24","Winnipeg",29,60,74,12,0,175,329
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 25","Winnipeg",20,68,63,7,1,159,273
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 26","Winnipeg",27,112,98,7,2,246,407
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 27","Winnipeg",24,111,89,7,0,231,394
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 28","Winnipeg",26,99,63,15,1,204,395
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 29","Winnipeg",25,70,75,11,0,181,308
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 30","Winnipeg",14,72,64,6,1,157,326
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 31","Winnipeg",13,85,106,17,1,222,329
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 32","Winnipeg",14,65,133,10,0,222,330
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 33","Winnipeg",12,110,100,9,1,232,345
