Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Jean,John Malcolm,Shawn Reimer,Dylan Richards,Jacob Strydhorst,Mark Voyageur,John Webb,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 1","Garden Creek",15,0,0,1,0,8,4,0,28,75
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 2","Chipewyan Lakes ",Merged with No. 1/Fusionné avec le nº 1,,,,,,,,,10
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 3","Peerless Lake ",Void/Supprimé,,,,,,,,,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 4","Peerless Lake ",25,0,0,3,2,9,2,0,41,222
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 5","Loon Lake",9,0,0,0,0,11,4,0,24,228
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 6","Red Earth Creek ",75,1,3,1,2,9,6,1,98,249
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 7","Trout Lake",17,1,0,1,0,4,7,0,30,168
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 8","Atikameg",22,2,0,0,0,5,9,0,38,369
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9A","Wabasca",60,1,0,4,0,26,27,0,118,552
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9B","Wabasca",44,2,1,10,2,35,20,0,114,552
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 9C","Wabasca",Merged with No. 10/Fusionné avec le nº 10,,,,,,,,,222
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 10","Wabasca",23,0,1,4,1,19,7,0,55,317
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 11","Sandy Lake ",13,0,1,2,0,6,4,0,26,211
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 12","Calling Lake ",66,4,0,8,2,26,16,0,122,411
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 13","Fitzgerald",Merged with No. 14/Fusionné avec le nº 14,,,,,,,,,111
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 14","Fort Chipewyan",26,2,1,5,1,88,18,1,142,273
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 15","Fort Chipewyan",Merged with No. 14/Fusionné avec le nº 14,,,,,,,,,174
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 16","Fort McKay",17,5,0,2,0,16,12,0,52,259
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 17","Saprae Creek",170,0,14,5,2,18,14,1,224,552
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 18A","Anzac ",73,7,3,5,1,21,7,0,117,358
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 18B","Anzac ",80,7,2,9,0,17,8,0,123,372
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 19","Janvier--Chard",35,7,1,1,0,8,5,1,58,199
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 20","Conklin",16,7,0,5,0,9,20,1,58,142
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21","Fort McMurray",86,0,0,6,0,12,19,0,123,394
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-1","Wood Buffalo",91,0,1,5,0,13,18,0,128,434
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-2","Wood Buffalo",111,2,1,14,1,27,30,0,186,624
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-3","Wood Buffalo",59,1,0,1,0,19,17,0,97,389
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-4","Wood Buffalo",64,0,2,6,1,6,12,0,91,323
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-5","Wood Buffalo",Merged with No. 21-7C/Fusionné avec le nº 21-7C,,,,,,,,,132
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-6","Wood Buffalo",74,0,0,4,0,12,15,0,105,252
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-7A","Wood Buffalo",68,0,1,4,2,6,16,0,97,404
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-7B","Wood Buffalo",Merged with No. 21-6/Fusionné avec le nº 21-6,,,,,,,,,124
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 21-7C","Wood Buffalo",50,1,1,4,0,19,5,0,80,222
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 22","Fort McMurray",77,0,2,13,0,25,12,0,129,656
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 22-1","Wood Buffalo",42,0,0,3,0,13,7,0,65,482
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 22-2","Wood Buffalo",73,0,1,6,0,12,12,0,104,376
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 23","Fort McMurray",88,0,0,4,0,17,11,0,120,477
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 23-1","Wood Buffalo",82,0,1,8,1,13,15,0,120,437
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 24","Fort McMurray",60,0,3,4,2,21,8,0,98,605
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 24-1","Wood Buffalo",60,1,4,5,0,7,12,1,90,384
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 24-2","Wood Buffalo",70,0,2,2,0,11,12,0,97,622
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 24-3","Wood Buffalo",53,0,0,5,0,13,8,1,80,286
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 25","Fort McMurray",153,1,3,3,0,13,20,0,193,495
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 26","Fort McMurray",124,2,1,7,1,16,23,0,174,408
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 27","Fort McMurray",106,0,2,4,0,11,12,1,136,338
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 28","Fort McMurray",123,0,2,8,2,16,25,1,177,218
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 29","Fort McMurray",111,0,3,6,3,15,21,1,160,473
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 30","Fort McMurray",121,1,2,17,0,18,28,1,188,464
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 30-1","Wood Buffalo",58,1,1,2,2,7,14,0,85,328
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 30-2","Wood Buffalo",63,3,1,6,0,12,13,1,99,268
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 30-3","Wood Buffalo",22,1,0,3,0,7,7,0,40,193
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 30-4","Wood Buffalo",50,0,0,9,1,16,12,2,90,322
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 31","Fort McMurray",Merged with No. 28/Fusionné avec le nº 28,,,,,,,,,212
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 32","Fort McMurray",117,0,5,12,2,17,24,0,177,585
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 33","Fort McMurray",73,0,1,9,1,15,20,1,120,352
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 34","Fort McMurray",94,3,5,4,1,20,18,1,146,507
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 35","Fort McMurray",95,0,5,7,0,15,21,0,143,413
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 36","Fort McMurray",131,0,2,4,0,8,10,0,155,569
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 36-1","Wood Buffalo",73,0,3,4,1,18,23,0,122,448
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 37","Fort McMurray",104,0,2,8,2,14,19,0,149,480
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 38","Fort McMurray",99,0,2,5,3,18,30,0,157,642
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 39","Fort McMurray",71,0,8,6,4,21,20,0,130,481
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 40","Fort McMurray",99,0,4,6,1,17,15,0,142,450
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 41","Fort McMurray",98,1,7,12,0,12,16,1,147,398
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 42","Fort McMurray",78,0,2,13,0,24,22,0,139,415
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 43","Fort McMurray",97,1,3,10,3,20,18,1,153,438
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 44","Fort McMurray",Merged with No. 46/Fusionné avec le nº 46,,,,,,,,,187
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 45","Fort McMurray",101,0,6,9,0,23,22,2,163,475
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 46","Fort McMurray",42,1,1,5,1,10,16,0,76,298
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 47","Fort McMurray",73,0,7,9,0,17,14,1,121,419
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 48","Fort McMurray",57,0,2,5,3,29,13,0,109,345
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 49","Fort McMurray",41,2,1,11,1,16,19,0,91,435
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 50","Fort McMurray",53,1,0,9,0,13,19,0,95,337
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 51","Fort McMurray",53,1,0,6,0,12,9,1,82,409
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 52","Fort McMurray",108,1,1,10,4,16,21,0,161,445
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 53","Fort McMurray",107,1,8,3,1,25,18,0,163,457
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 54","Fort McMurray",73,2,1,8,2,12,18,0,116,429
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 55","Fort McMurray",114,3,8,11,1,24,21,0,182,428
