Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Burkhart,Peter Johnston,Brent Rathgeber,Sam Sleiman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 1A","St. Albert",26,18,165,30,2,241,401
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 1B","St. Albert",19,16,168,23,1,227,376
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 2","St. Albert",39,23,178,31,0,271,510
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 3","St. Albert",40,18,146,19,2,225,414
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 4","St. Albert",21,9,90,12,0,132,217
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 5","St. Albert",21,18,100,29,0,168,318
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 6","St. Albert",34,34,209,25,0,302,519
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 7","St. Albert",30,26,170,33,1,260,468
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 8","St. Albert",49,19,161,26,0,255,464
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 9","St. Albert",38,23,156,25,1,243,470
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 10","St. Albert",37,26,204,31,0,298,589
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 10-1","St-Albert",34,23,225,32,1,315,587
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 10-2","St-Albert",38,20,139,24,0,221,412
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 11","St. Albert",23,20,124,24,0,191,351
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 12","St. Albert",14,9,116,13,0,152,290
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 12-1","St-Albert",27,14,214,30,1,286,528
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 13","St. Albert",34,16,108,20,0,178,313
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 14","St. Albert",46,15,113,23,0,197,362
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 15","St. Albert",35,19,160,43,1,258,409
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 16","St. Albert",50,26,134,21,0,231,393
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 17","St. Albert",41,32,143,36,1,253,426
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 18","St. Albert",27,17,120,39,0,203,407
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 19","St. Albert",28,26,151,19,0,224,371
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 20","St. Albert",38,20,108,33,0,199,328
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 21","St. Albert",29,12,128,26,1,196,339
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 22","St. Albert",36,17,109,19,0,181,330
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 23","St. Albert",31,27,127,31,0,216,471
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 24","St. Albert",28,22,140,32,0,222,450
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 25","St. Albert",40,23,163,37,0,263,496
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 26","St. Albert",35,23,146,31,1,236,425
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 27A","St. Albert",25,16,124,21,0,186,376
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 27B","St. Albert",12,13,112,20,0,157,323
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 28","St. Albert",33,20,173,38,0,264,425
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 29","St. Albert",26,21,136,22,0,205,387
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 30","St. Albert",16,20,168,26,0,230,401
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 31","St. Albert",24,9,135,16,0,184,392
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 31-1","St. Albert",18,12,148,35,0,213,403
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 31-2","St-Albert",32,10,220,35,0,297,609
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 31-3","St-Albert",35,14,175,36,0,260,452
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 32","St. Albert",31,10,152,41,0,234,449
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 33","St. Albert",21,12,158,23,0,214,383
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 34","St. Albert",32,13,221,38,2,306,559
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 35","St. Albert",21,14,114,19,0,168,347
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 36","St. Albert",35,22,207,36,0,300,560
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 37","St. Albert",9,6,91,14,0,120,258
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 37-1","St-Albert",21,18,189,31,1,260,468
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 38","St. Albert",11,9,132,28,1,181,263
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 39","St. Albert",32,9,46,15,0,102,373
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 40","St. Albert",25,30,161,25,1,242,403
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 41","St. Albert",31,18,82,15,0,146,240
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 42","St. Albert",20,25,108,16,3,172,276
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 43","St. Albert",40,22,140,36,0,238,378
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 44","St. Albert",43,11,106,16,0,176,334
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 45","St. Albert",43,18,179,40,2,282,466
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 46","St. Albert",14,15,186,29,0,244,436
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 46-1","St. Albert",13,7,174,22,0,216,433
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 46-2A","St-Albert",20,8,113,23,0,164,320
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 46-2B","St-Albert",19,8,133,24,0,184,324
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 47","St. Albert",17,12,85,22,0,136,269
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 48","St. Albert",36,23,115,7,0,181,345
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 49","St. Albert",38,21,115,28,0,202,338
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 50","St. Albert",61,25,113,9,0,208,388
