Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adele Boucher Rymhs,Liliane Maisonneuve,Edwin Siggelkow,Mélanie Simard,Jennifer Villebrun,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,Peace River/Peace River,1,Bistcho Lake,13,4,0,0,3,26,0,46,106
48022,Peace River/Peace River,2,Habay,16,66,2,4,5,18,1,112,502
48022,Peace River/Peace River,3,Rainbow Lake,19,17,1,0,19,109,1,166,504
48022,Peace River/Peace River,4,Rainbow Lake,6,2,0,1,0,38,1,48,107
48022,Peace River/Peace River,5,High Level,23,9,0,1,5,33,0,71,422
48022,Peace River/Peace River,6,Meander River,26,27,0,4,6,11,0,74,119
48022,Peace River/Peace River,7,High Level,41,12,3,2,9,84,1,152,472
48022,Peace River/Peace River,8,High Level,41,19,2,3,8,124,2,199,555
48022,Peace River/Peace River, 8-1,High Level,25,13,0,2,11,85,0,136,340
48022,Peace River/Peace River,9,High Level,3,2,0,0,2,21,0,28,80
48022,Peace River/Peace River,10,High Level,21,6,0,0,5,52,0,84,250
48022,Peace River/Peace River, 10-1,High Level,10,3,0,1,0,15,0,29,154
48022,Peace River/Peace River,11,High Level,16,10,2,2,5,57,0,92,241
48022,Peace River/Peace River,12,Bushe River,30,11,3,0,8,156,1,209,471
48022,Peace River/Peace River,13,Rocky Lane,2,8,1,1,7,51,0,70,240
48022,Peace River/Peace River,14,Child Lake 164A,12,8,1,1,2,6,0,30,73
48022,Peace River/Peace River,15,Boyer 164,8,8,0,0,1,2,0,19,80
48022,Peace River/Peace River,16,Boyer Settlement,10,6,0,1,3,32,0,52,155
48022,Peace River/Peace River,17,Jean d'Or Prairie 215,32,62,0,2,1,19,0,116,324
48022,Peace River/Peace River,18,Fox Lake,31,62,1,2,8,60,4,168,644
48022,Peace River/Peace River,19,Tall Cree 173A,8,4,0,0,0,31,0,43,198
48022,Peace River/Peace River, 19-1,Tall Cree 173A,10,5,0,0,0,0,0,15,47
48022,Peace River/Peace River,20,Tall Cree 173,16,3,0,1,3,1,0,24,85
48022,Peace River/Peace River,21,Fort Vermilion,49,13,0,2,11,60,2,137,685
