Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Blaine Calkins,Rita Katherine Dillon,Shawn Mann,Les Parsons,Tim Robson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48026,"Wetaskiwin/Wetaskiwin"," 1","Berrymoor",152,2,2,15,11,0,182,319
48026,"Wetaskiwin/Wetaskiwin"," 2","Lindale",150,2,1,5,21,1,180,303
48026,"Wetaskiwin/Wetaskiwin"," 3","Genesee",91,3,2,19,7,0,122,234
48026,"Wetaskiwin/Wetaskiwin"," 4","Buck Creek",180,3,2,21,15,0,221,418
48026,"Wetaskiwin/Wetaskiwin"," 5","Carnwood Hall",122,3,4,16,7,0,152,264
48026,"Wetaskiwin/Wetaskiwin"," 6","Alsike",94,5,1,11,14,0,125,237
48026,"Wetaskiwin/Wetaskiwin"," 7A","Warburg",146,3,2,10,18,0,179,342
48026,"Wetaskiwin/Wetaskiwin"," 7B ","Mobile poll/Bureau itinérant",36,8,1,5,2,0,52,49
48026,"Wetaskiwin/Wetaskiwin"," 8","Warburg",190,8,2,22,30,2,254,552
48026,"Wetaskiwin/Wetaskiwin"," 9","Breton",174,12,1,9,9,0,205,339
48026,"Wetaskiwin/Wetaskiwin"," 10A","Breton",161,10,1,15,21,0,208,557
48026,"Wetaskiwin/Wetaskiwin"," 10B","Mobile poll/Bureau itinérant",Merged with No. 7B/Fusionné avec le nº 7B,,,,,,,24
48026,"Wetaskiwin/Wetaskiwin"," 11","Alder Flats",197,7,2,15,9,1,231,430
48026,"Wetaskiwin/Wetaskiwin"," 12","Buck Lake",219,18,1,24,13,1,276,478
48026,"Wetaskiwin/Wetaskiwin"," 13","Pendryl",188,16,1,21,19,0,245,472
48026,"Wetaskiwin/Wetaskiwin"," 14","Yeoford",109,4,2,15,8,0,138,204
48026,"Wetaskiwin/Wetaskiwin"," 15A","Winfield",138,11,1,15,17,0,182,299
48026,"Wetaskiwin/Wetaskiwin"," 15B","Mobile poll/Bureau itinérant",Merged with No. 7B/Fusionné avec le nº 7B,,,,,,,30
48026,"Wetaskiwin/Wetaskiwin"," 16","Mission Beach",150,7,1,17,12,0,187,274
48026,"Wetaskiwin/Wetaskiwin"," 17","Sunnybrook",164,6,3,20,28,0,221,367
48026,"Wetaskiwin/Wetaskiwin"," 18","Telfordville",131,4,2,8,9,0,154,245
48026,"Wetaskiwin/Wetaskiwin"," 19","Buford",193,6,0,21,14,0,234,373
48026,"Wetaskiwin/Wetaskiwin"," 20","Thorsby",114,4,0,10,15,0,143,210
48026,"Wetaskiwin/Wetaskiwin"," 21","Thorsby",252,13,4,28,42,2,341,815
48026,"Wetaskiwin/Wetaskiwin"," 22","Thorsby",128,4,5,17,25,0,179,334
