Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harjit Daudharia,Sukh Dhaliwal,James William Miller-Cousineau,Sandeep Pandher,John Shavluk,Teresa Townsley,Liz Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Newton--North Delta/Newton--Delta-Nord"," 1","Delta",0,47,0,76,2,80,21,3,229,350
59016,"Newton--North Delta/Newton--Delta-Nord"," 2","Delta",0,40,1,95,1,93,31,0,261,423
59016,"Newton--North Delta/Newton--Delta-Nord"," 3","Delta",2,52,2,105,1,95,15,0,272,432
59016,"Newton--North Delta/Newton--Delta-Nord"," 4A","Delta",2,53,1,105,3,76,29,0,269,414
59016,"Newton--North Delta/Newton--Delta-Nord"," 4B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,13
59016,"Newton--North Delta/Newton--Delta-Nord"," 5","Delta",0,30,0,84,1,91,23,3,232,366
59016,"Newton--North Delta/Newton--Delta-Nord"," 6","Delta",0,57,1,82,2,97,17,0,256,443
59016,"Newton--North Delta/Newton--Delta-Nord"," 7","Delta",1,61,0,74,0,101,19,2,258,416
59016,"Newton--North Delta/Newton--Delta-Nord"," 8","Delta",2,65,1,56,0,69,18,0,211,438
59016,"Newton--North Delta/Newton--Delta-Nord"," 9","Delta",0,69,1,66,0,86,13,1,236,414
59016,"Newton--North Delta/Newton--Delta-Nord"," 10","Delta",0,35,2,77,1,126,26,0,267,453
59016,"Newton--North Delta/Newton--Delta-Nord"," 11","Delta",0,47,2,65,0,83,14,2,213,399
59016,"Newton--North Delta/Newton--Delta-Nord"," 12","Delta",1,71,0,100,0,60,11,3,246,440
59016,"Newton--North Delta/Newton--Delta-Nord"," 13","Delta",0,55,2,67,0,61,13,1,199,352
59016,"Newton--North Delta/Newton--Delta-Nord"," 14","Delta",0,71,0,79,1,99,13,0,263,522
59016,"Newton--North Delta/Newton--Delta-Nord"," 15","Delta",1,36,1,44,2,65,8,0,157,339
59016,"Newton--North Delta/Newton--Delta-Nord"," 16","Delta",0,49,1,58,0,74,8,1,191,393
59016,"Newton--North Delta/Newton--Delta-Nord"," 17","Delta",3,126,3,78,1,98,18,3,330,568
59016,"Newton--North Delta/Newton--Delta-Nord"," 18","Delta",0,33,2,48,1,68,13,0,165,420
59016,"Newton--North Delta/Newton--Delta-Nord"," 19","Delta",0,46,1,79,0,80,21,3,230,461
59016,"Newton--North Delta/Newton--Delta-Nord"," 20","Delta",0,27,0,69,1,83,18,0,198,351
59016,"Newton--North Delta/Newton--Delta-Nord"," 21","Delta",1,73,2,115,1,99,32,3,326,536
59016,"Newton--North Delta/Newton--Delta-Nord"," 22","Delta",0,62,1,104,0,75,12,0,254,421
59016,"Newton--North Delta/Newton--Delta-Nord"," 23","Delta",2,65,1,91,1,95,26,0,281,421
59016,"Newton--North Delta/Newton--Delta-Nord"," 24","Delta",0,49,2,64,0,69,13,0,197,346
59016,"Newton--North Delta/Newton--Delta-Nord"," 25","Delta",1,68,1,77,1,99,15,0,262,465
59016,"Newton--North Delta/Newton--Delta-Nord"," 26","Delta",0,49,0,68,0,83,13,2,215,418
59016,"Newton--North Delta/Newton--Delta-Nord"," 27","Delta",0,61,0,77,0,76,11,1,226,422
59016,"Newton--North Delta/Newton--Delta-Nord"," 28","Delta",2,61,1,67,1,70,15,2,219,355
59016,"Newton--North Delta/Newton--Delta-Nord"," 29","Delta",0,68,2,91,2,129,27,2,321,565
59016,"Newton--North Delta/Newton--Delta-Nord"," 30","Delta",1,50,0,69,0,66,13,1,200,375
59016,"Newton--North Delta/Newton--Delta-Nord"," 31","Delta",0,63,0,49,0,71,10,0,193,366
59016,"Newton--North Delta/Newton--Delta-Nord"," 32","Delta",1,64,1,80,2,72,12,2,234,391
59016,"Newton--North Delta/Newton--Delta-Nord"," 33","Delta",0,83,2,72,0,84,18,0,259,470
59016,"Newton--North Delta/Newton--Delta-Nord"," 34","Delta",1,74,1,71,1,59,6,1,214,450
59016,"Newton--North Delta/Newton--Delta-Nord"," 35","Delta",0,84,1,45,0,77,12,0,219,429
59016,"Newton--North Delta/Newton--Delta-Nord"," 36","Delta",1,55,1,73,1,52,14,1,198,379
59016,"Newton--North Delta/Newton--Delta-Nord"," 37","Delta",0,104,0,88,0,59,12,1,264,469
59016,"Newton--North Delta/Newton--Delta-Nord"," 38","Delta",0,51,4,58,0,102,31,1,247,508
59016,"Newton--North Delta/Newton--Delta-Nord"," 39","Delta",0,28,0,51,1,40,8,1,129,243
59016,"Newton--North Delta/Newton--Delta-Nord"," 40","Delta",0,54,0,104,0,104,28,0,290,464
59016,"Newton--North Delta/Newton--Delta-Nord"," 41","Delta",0,45,1,106,1,80,25,0,258,394
59016,"Newton--North Delta/Newton--Delta-Nord"," 42","Delta",0,50,1,91,2,108,22,4,278,461
59016,"Newton--North Delta/Newton--Delta-Nord"," 43","Delta",2,56,3,83,0,131,22,0,297,465
59016,"Newton--North Delta/Newton--Delta-Nord"," 44","Delta",1,62,1,95,1,107,22,0,289,473
59016,"Newton--North Delta/Newton--Delta-Nord"," 45","Delta",0,48,2,75,1,69,14,3,212,405
59016,"Newton--North Delta/Newton--Delta-Nord"," 46","Delta",0,73,1,77,1,83,19,2,256,491
59016,"Newton--North Delta/Newton--Delta-Nord"," 47","Delta",2,52,2,82,1,93,13,3,248,402
59016,"Newton--North Delta/Newton--Delta-Nord"," 48","Delta",0,32,1,88,1,64,15,1,202,303
59016,"Newton--North Delta/Newton--Delta-Nord"," 49","Delta",2,33,0,96,1,66,18,0,216,338
59016,"Newton--North Delta/Newton--Delta-Nord"," 50","Delta",0,55,1,117,2,65,20,1,261,400
59016,"Newton--North Delta/Newton--Delta-Nord"," 51","Delta",0,38,0,91,0,74,6,1,210,326
59016,"Newton--North Delta/Newton--Delta-Nord"," 52","Delta",2,39,1,70,0,62,15,2,191,366
59016,"Newton--North Delta/Newton--Delta-Nord"," 53","Delta",1,95,2,82,2,103,21,2,308,543
59016,"Newton--North Delta/Newton--Delta-Nord"," 54","Delta",1,62,1,79,2,104,18,0,267,485
59016,"Newton--North Delta/Newton--Delta-Nord"," 55","Delta",0,67,1,45,1,68,4,1,187,419
59016,"Newton--North Delta/Newton--Delta-Nord"," 56","Delta",0,74,0,58,0,61,11,0,204,416
59016,"Newton--North Delta/Newton--Delta-Nord"," 57","Delta",1,93,1,54,0,61,7,1,218,448
59016,"Newton--North Delta/Newton--Delta-Nord"," 58","Delta",1,84,0,44,0,65,11,0,205,345
59016,"Newton--North Delta/Newton--Delta-Nord"," 59","Delta",1,67,1,44,3,65,10,0,191,376
59016,"Newton--North Delta/Newton--Delta-Nord"," 60","Delta",1,84,0,76,1,62,15,0,239,432
59016,"Newton--North Delta/Newton--Delta-Nord"," 61","Delta",1,51,2,57,0,69,23,0,203,319
59016,"Newton--North Delta/Newton--Delta-Nord"," 62","Delta",2,86,0,79,1,80,9,0,257,458
59016,"Newton--North Delta/Newton--Delta-Nord"," 63","Delta",1,45,2,104,0,78,20,0,250,436
59016,"Newton--North Delta/Newton--Delta-Nord"," 64","Delta",0,40,0,63,1,57,13,0,174,271
59016,"Newton--North Delta/Newton--Delta-Nord"," 65","Delta",1,53,0,62,1,92,29,0,238,433
59016,"Newton--North Delta/Newton--Delta-Nord"," 66","Delta",0,54,1,68,0,51,13,0,187,373
59016,"Newton--North Delta/Newton--Delta-Nord"," 67","Delta",0,68,2,48,1,39,11,0,169,416
59016,"Newton--North Delta/Newton--Delta-Nord"," 68","Delta",0,69,1,53,0,64,9,0,196,501
59016,"Newton--North Delta/Newton--Delta-Nord"," 69","Delta",0,58,1,102,0,45,13,1,220,434
59016,"Newton--North Delta/Newton--Delta-Nord"," 70","Delta",1,45,0,120,0,38,10,0,214,360
59016,"Newton--North Delta/Newton--Delta-Nord"," 71","Delta",0,66,4,119,1,44,18,2,254,437
59016,"Newton--North Delta/Newton--Delta-Nord"," 72","Delta",0,46,1,116,2,69,21,0,255,415
59016,"Newton--North Delta/Newton--Delta-Nord"," 73","Delta",1,64,1,78,2,45,23,1,215,320
59016,"Newton--North Delta/Newton--Delta-Nord"," 74","Delta",0,31,1,82,0,66,16,0,196,348
59016,"Newton--North Delta/Newton--Delta-Nord"," 75","Delta",0,47,0,91,0,51,11,1,201,335
59016,"Newton--North Delta/Newton--Delta-Nord"," 76","Delta",0,47,0,101,0,43,19,1,211,336
59016,"Newton--North Delta/Newton--Delta-Nord"," 77","Delta",1,51,2,110,0,41,23,0,228,464
59016,"Newton--North Delta/Newton--Delta-Nord"," 78","Delta",0,41,1,113,0,41,16,0,212,404
59016,"Newton--North Delta/Newton--Delta-Nord"," 79","Delta",0,35,1,83,2,68,17,0,206,393
59016,"Newton--North Delta/Newton--Delta-Nord"," 80","Delta",0,35,4,89,0,67,16,0,211,382
59016,"Newton--North Delta/Newton--Delta-Nord"," 81","Delta",1,42,1,119,1,78,13,0,255,449
59016,"Newton--North Delta/Newton--Delta-Nord"," 82","Delta",0,49,0,113,1,47,16,2,228,358
59016,"Newton--North Delta/Newton--Delta-Nord"," 83","Delta",2,68,1,140,0,58,26,0,295,503
59016,"Newton--North Delta/Newton--Delta-Nord"," 84","Delta",0,35,1,131,1,63,31,0,262,399
59016,"Newton--North Delta/Newton--Delta-Nord"," 85","Delta",0,53,0,75,0,60,22,1,211,324
