Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Huguette Allen,Alice Brown,Gordie Campbell,Janna Francis,Colin Mayes,Darren Seymour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 1","Seymour Arm",12,7,0,2,28,0,0,49,50
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 2","Anglemont",29,36,3,22,135,0,0,225,407
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 2-1","Anglemont",46,31,1,24,114,0,0,216,513
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 3A","Scotch Creek",15,28,1,13,93,0,2,152,234
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 3B","Scotch Creek",22,22,1,9,81,1,0,136,211
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 4","Adams River",47,43,2,20,104,1,0,217,378
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 5","Quaaout 1",13,19,0,9,25,1,1,68,137
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 6","Barrière/Louis Creek",Void/Supprimé,,,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 7","Chase",30,71,4,34,109,0,1,249,452
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 8","East Shuswap Rd.",Void/Supprimé,,,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 9","Chase",34,38,2,23,151,0,0,248,471
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 9-1","Chase",14,21,3,16,79,0,1,134,218
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 10A","Chase",12,34,1,9,95,0,0,151,265
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 10B","Chase",13,16,4,12,78,0,1,124,208
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 11A","Chase",15,28,0,14,71,0,0,128,251
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 11B","Chase",20,20,2,12,59,1,1,115,201
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 12","Chase",Void/Supprimé,,,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 13","Pritchard ",Void/Supprimé,,,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 14A","Chase",15,17,1,7,46,1,0,87,254
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 14B","Chase",13,29,1,4,63,0,0,110,259
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 15","Monte Lake--Westwold",Void/Supprimé,,,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 16A","Sorrento",19,30,0,9,112,1,1,172,293
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 16B","Sorrento",22,28,0,11,50,0,0,111,189
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 17","Sorrento",15,35,2,22,143,0,0,217,401
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 18","Notch Hill",11,10,1,5,48,0,0,75,145
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 18-1","Notch Hill",31,38,0,20,168,0,0,257,424
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 19A","Blind Bay",20,28,0,14,89,1,0,152,252
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 19B","Blind Bay",18,18,0,11,81,0,0,128,227
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 20A","Blind Bay",14,31,0,19,93,0,0,157,270
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 20B","Blind Bay",14,15,0,6,78,0,0,113,216
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 21A","Blind Bay",12,10,3,12,114,1,0,152,269
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 21B","Blind Bay",16,24,0,13,104,0,0,157,259
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 21-1A","Blind Bay",14,15,0,14,102,1,0,146,245
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 21-1B","Blind Bay",18,17,0,8,84,0,0,127,218
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 22","Eagle Bay",13,13,1,9,86,0,0,122,251
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 22-1","Eagle Bay",26,42,0,13,97,0,0,178,295
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 23","White Lake",18,37,2,7,77,0,0,141,223
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 23-1","White Lake",30,39,0,15,143,1,0,228,449
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 24","Tappen",36,66,0,19,132,0,1,254,435
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 24-1","Tappen",40,47,3,17,93,0,0,200,349
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 25","Sunnybrae",47,61,2,30,127,0,0,267,447
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 26","Canoe",22,54,0,6,81,0,1,164,298
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 27","Sicamous",23,26,1,17,93,2,0,162,349
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 28","Six Mile Point",21,24,0,4,69,0,0,118,276
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 29","Sicamous",34,47,3,18,149,0,1,252,465
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 30","Sicamous",31,29,1,14,106,0,2,183,344
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 31","Malakwa",40,67,2,15,114,1,2,241,454
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 32","Three Valley",Void/Supprimé,,,,,,,,
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 33","Sicamous",28,45,4,23,124,1,0,225,470
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 33-1","Sicamous",19,20,2,9,65,1,0,116,214
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 34","Sicamous",21,41,2,10,116,0,0,190,367
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 35A","Salmon Arm--Switzemalph",22,34,1,20,73,0,0,150,276
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 35B","Salmon Arm--Switzemalph",12,19,0,16,47,0,0,94,190
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 36A","Salmon Arm",44,43,0,19,109,0,1,216,405
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 36B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,,1
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 36-1","Salmon Arm",13,51,0,9,83,0,1,157,331
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 37","Canoe",35,43,0,24,139,0,1,242,401
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 38","Canoe",39,50,1,17,116,3,0,226,422
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 38-1","Canoe",16,37,0,12,87,0,1,153,237
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 39","Salmon Arm--Lakeshore",27,44,1,35,115,0,1,223,372
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 40","Canoe",28,42,0,25,94,0,1,190,341
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 41","Salmon Arm--Lakeshore",30,60,0,27,121,2,1,241,397
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 42A","Salmon Arm",17,36,0,27,84,0,0,164,275
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 42B","Salmon Arm",16,27,0,15,65,0,0,123,229
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 43","Salmon Arm",20,23,0,11,88,0,0,142,270
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 43-1","Salmon Arm",35,48,1,22,116,2,2,226,454
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 44","Salmon Arm",21,28,0,22,64,0,1,136,242
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 45A","Salmon Arm",31,46,1,21,77,3,0,179,315
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 45B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,,32
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 45-1","Salmon Arm",21,33,1,9,124,1,0,189,376
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 46A","Salmon Arm",19,33,0,7,59,1,0,119,225
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 46B","Salmon Arm",18,27,0,6,62,1,0,114,204
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 47A","Salmon Arm",29,38,0,17,86,0,0,170,274
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 47B","Salmon Arm",19,25,0,7,66,1,0,118,221
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 48","Salmon Arm",54,63,0,11,77,0,1,206,445
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 49","Salmon Arm",39,40,0,22,81,0,0,182,435
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 50","Salmon Arm",42,51,0,24,82,0,1,200,475
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 51","Salmon Arm",33,45,0,42,137,1,2,260,465
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 52","Salmon Arm",44,35,2,22,128,0,1,232,413
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 53","Salmon Arm",29,46,0,10,53,0,5,143,245
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 53-1","Salmon Arm",27,42,0,17,103,3,1,193,328
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 54","Salmon Arm",39,52,2,24,93,1,0,211,424
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 55","Salmon Arm",43,49,2,31,173,0,0,298,515
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 56","Salmon Arm",39,67,0,26,132,2,0,266,437
59018,"Okanagan--Shuswap/Okanagan--Shuswap"," 57","Salmon Arm",15,17,0,5,52,0,2,91,188
