Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hondo Arendt,Nathan Cullen,Mary-Etta Goodacre,Corinna Morhart,Sharon Smith,Rod Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 1","Pleasant Camp",Void/Supprimé,,,,,,,,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 2","Atlin",19,55,3,14,100,5,1,197,351
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 3","Good Hope Lake",4,9,0,4,4,2,0,23,46
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 3-1","Lower Post",0,16,1,2,9,2,0,30,59
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 4","Dease Lake",6,58,0,7,58,2,2,133,278
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 5","Telegraph Creek",0,74,0,8,10,1,0,93,187
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 6","Iskut",3,68,1,1,9,3,0,85,221
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 7","Stewart",4,12,0,5,48,0,0,69,156
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 8","Stewart",5,27,0,9,50,1,1,93,201
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 9","Meziadin Junction",0,2,0,0,3,0,0,5,12
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 10","Fort Babine",0,23,0,1,4,1,0,29,48
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 11","Takla Landing",1,67,0,2,1,0,0,71,118
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 12","Germansen Landing",2,3,0,0,17,0,1,23,46
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 13","Gingolx",10,99,2,5,4,2,0,122,239
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 14","Greenville",4,147,0,2,7,0,0,160,352
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 15","Gitwinksihlkw",1,70,0,3,8,0,0,82,139
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 16","New Aiyansh",7,211,0,5,12,2,0,237,518
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 17","Nass Camp",4,7,0,2,5,0,1,19,33
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 18","Kitwanga",7,62,0,9,10,1,0,89,165
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 19","Kitwanga",6,39,1,6,38,0,0,90,119
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 20","Kispiox 1",1,68,0,1,24,1,0,95,158
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 21","Kispiox 1",4,155,1,3,8,1,1,173,314
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 22","Glen Vowell",1,45,0,3,3,0,0,52,100
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 23","Hazelton",4,115,1,9,22,2,0,153,292
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 24A","Hazelton",5,75,0,1,13,3,0,97,265
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 24B","Hazelton",9,106,0,6,16,2,1,140,290
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 25","New Hazelton",2,105,4,3,50,7,1,172,409
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 26","New Hazelton",2,36,2,5,51,6,1,103,212
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 27","Gitwangak 1",3,113,0,11,6,1,0,134,317
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 28","Gitsegukla 1",4,138,1,8,7,3,2,163,263
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 29A","South Hazelton",9,77,1,7,45,9,0,148,324
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 29B","South Hazelton",3,40,0,4,30,3,0,80,307
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 30","Moricetown 1",7,164,3,8,16,33,0,231,418
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 31","Cerdarvale",0,6,0,0,6,0,0,12,25
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 32","Masset 1",6,101,0,1,6,1,0,115,510
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 33","Masset",21,95,0,9,62,1,1,189,382
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 34","Masset",8,58,0,10,27,0,0,103,192
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 35","Port Clements",10,110,0,13,80,1,1,215,336
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 36","Sewell Inlet",Void/Supprimé,,,,,,,,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 37","Skidegate 1",13,166,0,9,9,0,0,197,398
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 38A","Queen Charlotte City",20,108,0,15,22,1,2,168,295
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 38B","Queen Charlotte City",18,101,0,10,15,2,3,149,295
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 39","Queen Charlotte City",5,39,0,5,10,0,0,59,176
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 40","Sandspit",15,76,1,8,29,0,3,132,257
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 41","Tlell",2,82,0,1,22,0,0,107,163
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 42","Lockeport",Void/Supprimé,,,,,,,,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 43","Lax Kw'alaams",1,121,0,4,7,0,0,133,396
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 44","Metlakatla",1,45,0,0,2,0,0,48,56
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 45","Dodge Cove",1,17,0,2,1,0,0,21,27
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 46","Oona River",0,7,0,0,2,0,0,9,15
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 47","Prince Rupert",17,133,1,18,52,8,0,229,379
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 48","Kitkatla",0,27,1,5,1,1,0,35,207
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 49","Hartley Bay",3,31,0,1,1,0,0,36,95
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 50","Klemtu",1,57,1,11,4,3,0,77,185
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 51","Prince Rupert",9,51,1,24,66,0,0,151,260
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 52","Prince Rupert",15,90,1,9,21,5,0,141,307
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 53","Prince Rupert",9,59,0,11,37,0,1,117,327
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 54","Prince Rupert",16,94,0,12,35,1,0,158,306
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 55","Prince Rupert",17,98,0,13,26,0,0,154,294
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 56","Prince Rupert",12,67,1,5,33,3,0,121,259
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 57","Prince Rupert",12,82,1,11,27,0,0,133,281
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 58","Prince Rupert",11,83,0,14,53,3,0,164,343
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 59","Prince Rupert",6,87,0,5,28,1,0,127,333
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 60","Prince Rupert",10,59,2,19,47,1,3,141,262
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 61","Prince Rupert",9,70,0,27,42,1,0,149,288
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 62","Prince Rupert",6,119,0,8,34,3,0,170,372
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 63","Prince Rupert",20,89,2,21,49,1,1,183,370
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 64","Prince Rupert",7,97,0,8,21,2,0,135,360
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 65","Prince Rupert",11,108,0,11,27,2,1,160,369
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 66","Prince Rupert",5,87,0,10,46,3,0,151,300
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 67","Prince Rupert",11,103,2,13,40,0,1,170,356
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 68","Prince Rupert",8,64,0,11,37,3,0,123,265
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 69","Prince Rupert",7,91,1,7,51,3,0,160,330
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 70","Prince Rupert",9,44,2,1,32,1,1,90,264
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 71","Prince Rupert",9,126,0,16,47,2,0,200,433
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 72","Prince Rupert",19,107,0,14,52,4,0,196,436
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 73","Prince Rupert",8,81,1,7,27,2,0,126,289
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 74","Prince Rupert",6,92,0,5,15,2,0,120,350
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 75","Prince Rupert",9,63,0,11,39,1,0,123,260
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 76","Prince Rupert",5,81,0,10,34,1,0,131,269
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 77","Prince Rupert",7,81,1,15,65,1,0,170,387
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 78","Prince Rupert",13,71,0,9,47,2,0,142,292
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 79","Rosswood",3,25,0,4,19,1,0,52,98
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 80A","Terrace",9,58,0,8,69,10,0,154,239
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 80B","Terrace",5,43,0,3,40,3,0,94,232
