Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Blair,Russ Hiebert,Judy Higginbotham,Brian Marlatt,Peter Prontzos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 1","Surrey",6,84,22,1,10,0,123,216
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 1-1A","Surrey",16,120,47,1,27,1,212,434
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 1-1B","Surrey",15,149,45,1,18,1,229,396
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 2","Surrey",13,115,36,2,42,1,209,381
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 2-1","Surrey",14,169,35,1,24,0,243,434
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 3","Surrey",19,90,29,3,41,0,182,343
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 4","Surrey",15,113,29,1,48,0,206,385
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 5A","Surrey",7,80,13,0,27,0,127,243
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 5B","Surrey",9,74,18,2,22,0,125,237
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 6","Surrey",17,73,25,1,30,0,146,284
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 7","Surrey",25,136,55,1,49,3,269,463
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 8","Surrey",24,137,30,3,54,1,249,403
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 9","Surrey",23,119,55,0,43,0,240,453
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 10A","Surrey",8,103,15,0,24,1,151,272
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 10B","Surrey",7,114,29,1,23,0,174,298
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11A","Surrey",2,101,35,0,18,1,157,280
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11B","Surrey",12,98,44,0,22,0,176,316
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-1A","Surrey",16,176,60,1,44,4,301,505
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-1B","Surrey",16,162,52,1,35,3,269,478
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-1C","Surrey",26,161,42,1,32,0,262,453
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-1D","Surrey",17,188,63,0,52,2,322,530
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11-2","Surrey",5,74,25,0,16,0,120,205
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 12","Surrey",8,84,19,0,32,0,143,263
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 12-1","Surrey",14,93,29,1,40,0,177,285
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 13","Surrey",17,168,43,1,37,0,266,485
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 14","Surrey",23,147,29,0,50,0,249,444
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 15","Surrey",13,69,9,1,38,0,130,297
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 16","Surrey",7,46,12,0,25,0,90,204
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 16-1","Surrey",15,87,23,0,39,2,166,340
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 17","Surrey",11,71,32,0,27,0,141,299
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 18","Surrey",23,105,20,0,19,8,175,307
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 19","Surrey",24,163,36,2,32,0,257,484
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 19-1A","Surrey",6,101,36,1,37,1,182,272
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 19-1B","Surrey",18,105,30,2,24,0,179,316
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 20","Surrey",15,116,27,2,28,5,193,353
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 20-1A","Surrey",16,110,22,2,32,0,182,324
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 20-1B","Surrey",21,126,22,0,17,0,186,304
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 21A","Surrey",8,85,16,0,41,0,150,258
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 21B","Surrey",13,93,21,1,24,1,153,274
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 21-1","Surrey",18,69,33,1,38,0,159,281
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 22","Surrey",32,147,28,1,69,0,277,485
