Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kimball Cariou,Don Davies,Matt Kadioglu,Donna Petersen,Salomon Rayek,Doug Warkentin,Wendy Yuan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59032,"Vancouver Kingsway/Vancouver Kingsway"," 1","Vancouver",0,68,0,2,73,39,78,0,260,455
59032,"Vancouver Kingsway/Vancouver Kingsway"," 2","Vancouver",0,77,0,0,31,16,51,1,176,293
59032,"Vancouver Kingsway/Vancouver Kingsway"," 3","Vancouver",0,111,0,1,49,32,82,0,275,488
59032,"Vancouver Kingsway/Vancouver Kingsway"," 4","Vancouver",0,55,2,0,32,19,43,2,153,284
59032,"Vancouver Kingsway/Vancouver Kingsway"," 5","Vancouver",1,92,3,0,89,46,118,0,349,608
59032,"Vancouver Kingsway/Vancouver Kingsway"," 6","Vancouver",1,63,1,0,64,33,84,0,246,398
59032,"Vancouver Kingsway/Vancouver Kingsway"," 7","Vancouver",1,84,0,1,41,34,53,0,214,340
59032,"Vancouver Kingsway/Vancouver Kingsway"," 8","Vancouver",0,45,0,0,64,16,68,0,193,378
59032,"Vancouver Kingsway/Vancouver Kingsway"," 9","Vancouver",0,73,2,0,91,21,104,2,293,441
59032,"Vancouver Kingsway/Vancouver Kingsway"," 10","Vancouver",0,22,2,0,35,12,47,0,118,229
59032,"Vancouver Kingsway/Vancouver Kingsway"," 11","Vancouver",0,31,1,0,99,8,83,2,224,422
59032,"Vancouver Kingsway/Vancouver Kingsway"," 12","Vancouver",0,27,0,1,56,9,62,2,157,323
59032,"Vancouver Kingsway/Vancouver Kingsway"," 13","Vancouver",1,27,1,2,100,3,79,0,213,418
59032,"Vancouver Kingsway/Vancouver Kingsway"," 13-1","Vancouver",0,36,2,0,83,12,65,2,200,450
59032,"Vancouver Kingsway/Vancouver Kingsway"," 14","Vancouver",1,85,1,0,37,28,62,0,214,336
59032,"Vancouver Kingsway/Vancouver Kingsway"," 15","Vancouver",0,56,1,0,46,29,51,0,183,332
59032,"Vancouver Kingsway/Vancouver Kingsway"," 16","Vancouver",0,85,0,0,44,28,64,2,223,365
59032,"Vancouver Kingsway/Vancouver Kingsway"," 17","Vancouver",0,102,0,0,45,25,81,0,253,417
59032,"Vancouver Kingsway/Vancouver Kingsway"," 18","Vancouver",0,76,0,0,60,29,99,1,265,435
59032,"Vancouver Kingsway/Vancouver Kingsway"," 19","Vancouver",0,69,3,0,67,31,97,4,271,452
59032,"Vancouver Kingsway/Vancouver Kingsway"," 20","Vancouver",1,83,1,0,52,34,48,1,220,396
59032,"Vancouver Kingsway/Vancouver Kingsway"," 21","Vancouver",0,87,0,1,22,25,53,0,188,371
59032,"Vancouver Kingsway/Vancouver Kingsway"," 22","Vancouver",0,98,1,0,44,40,79,0,262,442
59032,"Vancouver Kingsway/Vancouver Kingsway"," 23","Vancouver",4,147,1,1,43,36,77,1,310,536
59032,"Vancouver Kingsway/Vancouver Kingsway"," 24","Vancouver",1,94,0,0,48,23,52,0,218,463
59032,"Vancouver Kingsway/Vancouver Kingsway"," 25","Vancouver",3,67,1,1,39,9,69,1,190,382
59032,"Vancouver Kingsway/Vancouver Kingsway"," 26","Vancouver",2,100,1,0,31,25,54,1,214,358
59032,"Vancouver Kingsway/Vancouver Kingsway"," 27","Vancouver",1,86,2,3,25,21,52,0,190,326
59032,"Vancouver Kingsway/Vancouver Kingsway"," 28","Vancouver",0,148,3,2,55,23,71,1,303,501
59032,"Vancouver Kingsway/Vancouver Kingsway"," 29","Vancouver",0,88,2,0,41,15,53,0,199,405
59032,"Vancouver Kingsway/Vancouver Kingsway"," 30","Vancouver",3,93,1,0,82,22,77,5,283,474
59032,"Vancouver Kingsway/Vancouver Kingsway"," 31","Vancouver",1,78,0,1,51,14,61,1,207,383
59032,"Vancouver Kingsway/Vancouver Kingsway"," 32","Vancouver",0,72,0,3,45,15,28,6,169,362
59032,"Vancouver Kingsway/Vancouver Kingsway"," 33","Vancouver",1,106,3,2,61,24,82,3,282,494
59032,"Vancouver Kingsway/Vancouver Kingsway"," 34","Vancouver",1,74,6,1,69,15,65,3,234,431
59032,"Vancouver Kingsway/Vancouver Kingsway"," 35","Vancouver",0,129,4,0,65,30,55,1,284,419
59032,"Vancouver Kingsway/Vancouver Kingsway"," 36","Vancouver",0,115,3,1,70,29,64,1,283,489
59032,"Vancouver Kingsway/Vancouver Kingsway"," 37","Vancouver",1,134,1,2,68,29,48,3,286,468
59032,"Vancouver Kingsway/Vancouver Kingsway"," 38","Vancouver",1,111,1,0,36,21,62,0,232,411
59032,"Vancouver Kingsway/Vancouver Kingsway"," 39","Vancouver",0,46,0,0,36,12,31,0,125,256
59032,"Vancouver Kingsway/Vancouver Kingsway"," 40","Vancouver",1,72,0,0,37,12,49,0,171,308
59032,"Vancouver Kingsway/Vancouver Kingsway"," 41","Vancouver",3,70,3,2,37,11,94,2,222,427
59032,"Vancouver Kingsway/Vancouver Kingsway"," 42","Vancouver",1,50,3,0,81,26,82,1,244,498
59032,"Vancouver Kingsway/Vancouver Kingsway"," 43","Vancouver",0,50,2,0,89,14,102,1,258,453
59032,"Vancouver Kingsway/Vancouver Kingsway"," 44","Vancouver",1,119,1,1,67,30,79,2,300,502
59032,"Vancouver Kingsway/Vancouver Kingsway"," 45","Vancouver",2,72,0,0,35,18,57,1,185,282
59032,"Vancouver Kingsway/Vancouver Kingsway"," 46","Vancouver",1,116,2,0,62,26,80,0,287,468
59032,"Vancouver Kingsway/Vancouver Kingsway"," 47","Vancouver",4,97,0,1,46,18,73,3,242,422
59032,"Vancouver Kingsway/Vancouver Kingsway"," 48","Vancouver",1,114,7,1,50,28,99,4,304,498
59032,"Vancouver Kingsway/Vancouver Kingsway"," 49","Vancouver",1,98,2,2,48,33,47,1,232,367
59032,"Vancouver Kingsway/Vancouver Kingsway"," 50","Vancouver",0,131,0,3,59,35,103,0,331,508
59032,"Vancouver Kingsway/Vancouver Kingsway"," 50-1","Vancouver",3,94,2,0,47,24,61,0,231,396
59032,"Vancouver Kingsway/Vancouver Kingsway"," 51","Vancouver",2,27,0,0,94,7,53,0,183,428
59032,"Vancouver Kingsway/Vancouver Kingsway"," 52","Vancouver",2,35,2,0,105,15,82,1,242,476
59032,"Vancouver Kingsway/Vancouver Kingsway"," 53","Vancouver",0,58,0,0,72,18,84,2,234,420
59032,"Vancouver Kingsway/Vancouver Kingsway"," 54","Vancouver",1,51,1,0,24,9,22,2,110,301
59032,"Vancouver Kingsway/Vancouver Kingsway"," 55","Vancouver",1,92,2,3,67,22,57,2,246,421
59032,"Vancouver Kingsway/Vancouver Kingsway"," 56","Vancouver",1,120,0,0,57,9,72,0,259,454
59032,"Vancouver Kingsway/Vancouver Kingsway"," 57A","Vancouver",0,74,3,2,56,14,74,1,224,297
59032,"Vancouver Kingsway/Vancouver Kingsway"," 57B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,112
59032,"Vancouver Kingsway/Vancouver Kingsway"," 58","Vancouver",2,106,0,0,91,21,84,0,304,521
59032,"Vancouver Kingsway/Vancouver Kingsway"," 59","Vancouver",2,103,1,0,65,30,70,0,271,496
59032,"Vancouver Kingsway/Vancouver Kingsway"," 60","Vancouver",3,119,0,1,54,12,73,1,263,495
59032,"Vancouver Kingsway/Vancouver Kingsway"," 61","Vancouver",2,90,0,1,54,27,67,0,241,418
59032,"Vancouver Kingsway/Vancouver Kingsway"," 62","Vancouver",0,48,1,1,74,12,94,2,232,416
59032,"Vancouver Kingsway/Vancouver Kingsway"," 63","Vancouver",1,103,2,0,49,22,73,1,251,431
59032,"Vancouver Kingsway/Vancouver Kingsway"," 64","Vancouver",0,92,2,0,59,16,31,2,202,382
59032,"Vancouver Kingsway/Vancouver Kingsway"," 65","Vancouver",2,108,1,0,56,15,71,1,254,455
59032,"Vancouver Kingsway/Vancouver Kingsway"," 65-1","Vancouver",0,77,2,0,43,11,47,0,180,372
