Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norris Barens,David Caplan,Dan Grice,Deborah Meredith,Joyce Murray,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59033,Vancouver Quadra/Vancouver Quadra,1,University Endowment Lands,0,10,17,44,56,0,127,318
59033,Vancouver Quadra/Vancouver Quadra, 1-1,University Endowment Lands,2,14,10,78,102,0,206,406
59033,Vancouver Quadra/Vancouver Quadra, 1-2,University Endowment Lands,1,42,58,74,177,3,355,514
59033,Vancouver Quadra/Vancouver Quadra, 1-3,University Endowment Lands,3,64,66,85,193,2,413,478
59033,Vancouver Quadra/Vancouver Quadra,2,University Endowment Lands,4,60,58,89,220,0,431,642
59033,Vancouver Quadra/Vancouver Quadra,3,University Endowment Lands,1,6,10,88,82,0,187,401
59033,Vancouver Quadra/Vancouver Quadra,4,University Endowment Lands,2,6,23,73,107,0,211,353
59033,Vancouver Quadra/Vancouver Quadra,5,University Endowment Lands,1,8,11,36,67,0,123,341
59033,Vancouver Quadra/Vancouver Quadra,6,University Endowment Lands,1,21,23,27,53,0,125,314
59033,Vancouver Quadra/Vancouver Quadra, 6-1,University Endowment Lands,1,13,14,37,58,0,123,301
59033,Vancouver Quadra/Vancouver Quadra,7,University Endowment Lands,4,32,36,50,128,1,251,420
59033,Vancouver Quadra/Vancouver Quadra,8,University Endowment Lands,0,28,36,39,78,0,181,342
59033,Vancouver Quadra/Vancouver Quadra,9,University Endowment Lands,0,35,21,77,81,3,217,484
59033,Vancouver Quadra/Vancouver Quadra,10,University Endowment Lands,0,8,9,64,61,1,143,319
59033,Vancouver Quadra/Vancouver Quadra,11,University Endowment Lands,0,11,7,55,74,1,148,401
59033,Vancouver Quadra/Vancouver Quadra,12,University Endowment Lands,1,2,5,83,66,1,158,331
59033,Vancouver Quadra/Vancouver Quadra,13,University Endowment Lands,1,12,5,46,57,1,122,219
59033,Vancouver Quadra/Vancouver Quadra, 13-1,University Endowment Lands,2,43,34,68,130,3,280,522
59033,Vancouver Quadra/Vancouver Quadra, 13-2,University Endowment Lands,3,42,53,52,113,0,263,441
59033,Vancouver Quadra/Vancouver Quadra, 13-3,University Endowment Lands,4,23,22,91,152,2,294,514
59033,Vancouver Quadra/Vancouver Quadra,14,Vancouver,0,5,16,106,109,0,236,471
59033,Vancouver Quadra/Vancouver Quadra,15,Vancouver,2,6,10,62,98,0,178,317
59033,Vancouver Quadra/Vancouver Quadra,16,Vancouver,1,3,20,96,79,0,199,352
59033,Vancouver Quadra/Vancouver Quadra,17,Vancouver,2,15,25,95,143,0,280,435
59033,Vancouver Quadra/Vancouver Quadra,18,Vancouver,1,23,17,59,100,0,200,399
59033,Vancouver Quadra/Vancouver Quadra,19,Vancouver,0,22,27,65,152,1,267,436
59033,Vancouver Quadra/Vancouver Quadra,20,Vancouver,3,8,25,82,128,1,247,399
59033,Vancouver Quadra/Vancouver Quadra,21,Vancouver,1,22,16,62,77,0,178,363
59033,Vancouver Quadra/Vancouver Quadra,22,Vancouver,1,15,15,41,85,0,157,381
59033,Vancouver Quadra/Vancouver Quadra,23,Vancouver,0,18,32,57,99,1,207,366
59033,Vancouver Quadra/Vancouver Quadra,24,Vancouver,1,17,34,83,128,0,263,444
59033,Vancouver Quadra/Vancouver Quadra,25,Vancouver,5,18,19,52,137,0,231,380
59033,Vancouver Quadra/Vancouver Quadra,26,Vancouver,1,24,20,71,104,0,220,388
59033,Vancouver Quadra/Vancouver Quadra,27,Vancouver,0,13,32,54,128,0,227,363
59033,Vancouver Quadra/Vancouver Quadra,28,Vancouver,0,12,12,60,121,0,205,361
59033,Vancouver Quadra/Vancouver Quadra,29,Vancouver,1,18,24,80,140,0,263,455
59033,Vancouver Quadra/Vancouver Quadra,30,Vancouver,0,23,17,73,135,0,248,434
59033,Vancouver Quadra/Vancouver Quadra,31,Vancouver,0,14,13,97,130,0,254,444
59033,Vancouver Quadra/Vancouver Quadra,32,Vancouver,1,14,28,71,85,0,199,340
59033,Vancouver Quadra/Vancouver Quadra,33,Vancouver,1,10,20,59,124,0,214,364
59033,Vancouver Quadra/Vancouver Quadra,34,Vancouver,2,17,18,60,88,3,188,387
59033,Vancouver Quadra/Vancouver Quadra,35,Vancouver,0,6,18,62,93,0,179,315
59033,Vancouver Quadra/Vancouver Quadra,36,Vancouver,0,22,22,67,116,0,227,379
59033,Vancouver Quadra/Vancouver Quadra,37,Vancouver,5,28,29,59,123,0,244,407
59033,Vancouver Quadra/Vancouver Quadra,38,Vancouver,7,54,36,54,86,3,240,371
59033,Vancouver Quadra/Vancouver Quadra,39,Vancouver,1,11,25,54,108,0,199,379
59033,Vancouver Quadra/Vancouver Quadra,40,Vancouver,1,16,27,52,113,1,210,356
59033,Vancouver Quadra/Vancouver Quadra,41,Vancouver,0,13,31,75,128,0,247,434
59033,Vancouver Quadra/Vancouver Quadra,42,Vancouver,0,29,18,52,133,0,232,461
59033,Vancouver Quadra/Vancouver Quadra,43,Vancouver,1,25,34,53,148,1,262,451
59033,Vancouver Quadra/Vancouver Quadra,44,Vancouver,3,31,44,66,123,2,269,487
59033,Vancouver Quadra/Vancouver Quadra,45,Vancouver,1,17,30,47,141,0,236,444
59033,Vancouver Quadra/Vancouver Quadra,46,Vancouver,3,35,29,56,90,1,214,372
59033,Vancouver Quadra/Vancouver Quadra,47,Vancouver,0,37,29,51,104,1,222,408
59033,Vancouver Quadra/Vancouver Quadra,48,Vancouver,2,20,24,51,118,0,215,341
59033,Vancouver Quadra/Vancouver Quadra,49,Vancouver,2,17,18,43,128,0,208,340
59033,Vancouver Quadra/Vancouver Quadra,50,Vancouver,0,25,24,38,128,2,217,340
59033,Vancouver Quadra/Vancouver Quadra,51,Vancouver,1,24,29,44,120,0,218,370
59033,Vancouver Quadra/Vancouver Quadra,52,Vancouver,0,16,24,39,102,0,181,328
59033,Vancouver Quadra/Vancouver Quadra,53,Vancouver,1,15,33,38,109,2,198,322
59033,Vancouver Quadra/Vancouver Quadra,54,Vancouver,4,30,34,55,117,0,240,413
59033,Vancouver Quadra/Vancouver Quadra,55,Vancouver,3,32,41,50,118,0,244,419
59033,Vancouver Quadra/Vancouver Quadra,56,Vancouver,4,17,27,40,120,0,208,372
59033,Vancouver Quadra/Vancouver Quadra,57,Vancouver,5,36,57,58,146,2,304,561
59033,Vancouver Quadra/Vancouver Quadra,58,Vancouver,1,19,14,50,86,0,170,311
59033,Vancouver Quadra/Vancouver Quadra,59,Vancouver,2,20,26,69,133,0,250,440
59033,Vancouver Quadra/Vancouver Quadra,60,Vancouver,2,19,24,81,97,0,223,435
59033,Vancouver Quadra/Vancouver Quadra,61,Vancouver,0,26,32,52,91,1,202,388
59033,Vancouver Quadra/Vancouver Quadra,62,Vancouver,2,34,38,41,94,2,211,409
59033,Vancouver Quadra/Vancouver Quadra,63,Vancouver,1,31,22,21,73,0,148,322
59033,Vancouver Quadra/Vancouver Quadra,64,Vancouver,5,27,29,80,139,0,280,454
59033,Vancouver Quadra/Vancouver Quadra,65,Vancouver,2,33,41,39,133,1,249,409
59033,Vancouver Quadra/Vancouver Quadra,66,Vancouver,1,36,30,54,110,0,231,388
59033,Vancouver Quadra/Vancouver Quadra,67,Vancouver,0,37,26,45,106,0,214,376
59033,Vancouver Quadra/Vancouver Quadra,68,Vancouver,2,32,19,68,112,1,234,366
59033,Vancouver Quadra/Vancouver Quadra,69,Vancouver,1,35,27,59,145,0,267,435
59033,Vancouver Quadra/Vancouver Quadra,70,Vancouver,3,21,30,47,101,0,202,384
59033,Vancouver Quadra/Vancouver Quadra,71,Vancouver,2,36,29,38,100,1,206,358
59033,Vancouver Quadra/Vancouver Quadra,72,Vancouver,1,32,34,51,97,0,215,374
59033,Vancouver Quadra/Vancouver Quadra,73,Vancouver,3,36,35,33,114,1,222,420
59033,Vancouver Quadra/Vancouver Quadra,74,Vancouver,0,30,35,36,99,0,200,352
59033,Vancouver Quadra/Vancouver Quadra,75,Vancouver,0,39,35,38,107,1,220,363
59033,Vancouver Quadra/Vancouver Quadra,76,Vancouver,2,32,29,57,117,1,238,419
59033,Vancouver Quadra/Vancouver Quadra,77,Vancouver,2,20,28,33,73,1,157,275
59033,Vancouver Quadra/Vancouver Quadra,78,Vancouver,2,53,32,48,98,1,234,431
59033,Vancouver Quadra/Vancouver Quadra,79,Vancouver,1,38,38,54,118,1,250,408
59033,Vancouver Quadra/Vancouver Quadra,80,Vancouver,2,36,41,49,120,0,248,388
59033,Vancouver Quadra/Vancouver Quadra,81,Vancouver,1,42,42,61,147,4,297,504
59033,Vancouver Quadra/Vancouver Quadra,82,Vancouver,0,31,24,65,141,0,261,401
59033,Vancouver Quadra/Vancouver Quadra,83,Vancouver,4,38,31,66,112,1,252,457
59033,Vancouver Quadra/Vancouver Quadra,84,Vancouver,0,30,28,70,134,0,262,465
59033,Vancouver Quadra/Vancouver Quadra,85,Vancouver,2,32,40,59,130,0,263,434
59033,Vancouver Quadra/Vancouver Quadra,86,Vancouver,1,39,41,51,99,1,232,451
59033,Vancouver Quadra/Vancouver Quadra,87,Vancouver,1,28,22,53,106,3,213,441
59033,Vancouver Quadra/Vancouver Quadra,88,Vancouver,5,10,21,78,116,0,230,410
59033,Vancouver Quadra/Vancouver Quadra, 88-1,Vancouver,4,29,25,66,128,0,252,452
59033,Vancouver Quadra/Vancouver Quadra,89,Vancouver,0,24,28,59,124,0,235,384
59033,Vancouver Quadra/Vancouver Quadra,90,Vancouver,4,43,28,101,129,0,305,469
59033,Vancouver Quadra/Vancouver Quadra,91,Vancouver,0,30,32,90,115,0,267,441
59033,Vancouver Quadra/Vancouver Quadra,92,Vancouver,0,28,29,55,145,1,258,467
59033,Vancouver Quadra/Vancouver Quadra,93,Vancouver,0,17,40,89,143,0,289,504
59033,Vancouver Quadra/Vancouver Quadra,94,Vancouver,2,29,20,77,125,0,253,436
59033,Vancouver Quadra/Vancouver Quadra,95,Vancouver,2,24,26,78,120,1,251,424
59033,Vancouver Quadra/Vancouver Quadra,96,Vancouver,3,17,32,97,150,2,301,517
59033,Vancouver Quadra/Vancouver Quadra,97,Vancouver,2,22,27,73,128,0,252,372
59033,Vancouver Quadra/Vancouver Quadra,98,Vancouver,2,19,18,82,150,0,271,438
59033,Vancouver Quadra/Vancouver Quadra,99,Vancouver,1,11,13,84,126,0,235,371
59033,Vancouver Quadra/Vancouver Quadra,100,Vancouver,2,16,20,45,94,0,177,340
59033,Vancouver Quadra/Vancouver Quadra,101,Vancouver,0,13,21,52,81,0,167,306
59033,Vancouver Quadra/Vancouver Quadra,102,Vancouver,0,18,26,44,144,0,232,380
59033,Vancouver Quadra/Vancouver Quadra,103,Vancouver,1,22,29,60,134,1,247,397
59033,Vancouver Quadra/Vancouver Quadra,104,Vancouver,1,19,21,87,141,0,269,436
59033,Vancouver Quadra/Vancouver Quadra,105,Vancouver,0,19,22,79,161,0,281,437
59033,Vancouver Quadra/Vancouver Quadra,106,Vancouver,0,15,21,107,138,0,281,415
59033,Vancouver Quadra/Vancouver Quadra,107,Vancouver,0,8,13,113,86,0,220,432
59033,Vancouver Quadra/Vancouver Quadra,108,Vancouver,0,12,28,102,116,0,258,448
59033,Vancouver Quadra/Vancouver Quadra,109,Vancouver,1,22,24,85,100,0,232,438
59033,Vancouver Quadra/Vancouver Quadra,110,Vancouver,0,10,19,117,127,0,273,446
59033,Vancouver Quadra/Vancouver Quadra,111,Vancouver,1,17,23,67,120,0,228,396
59033,Vancouver Quadra/Vancouver Quadra,112,Vancouver,1,18,29,97,136,0,281,499
59033,Vancouver Quadra/Vancouver Quadra,113,Vancouver,1,12,12,97,141,1,264,440
59033,Vancouver Quadra/Vancouver Quadra,114,Vancouver,0,11,18,96,125,1,251,444
59033,Vancouver Quadra/Vancouver Quadra,115,Vancouver,0,6,10,158,95,0,269,454
59033,Vancouver Quadra/Vancouver Quadra,116,Vancouver,1,13,16,100,122,0,252,411
59033,Vancouver Quadra/Vancouver Quadra,117,Vancouver,2,9,17,111,91,0,230,367
59033,Vancouver Quadra/Vancouver Quadra,118,Vancouver,0,12,6,126,107,0,251,437
59033,Vancouver Quadra/Vancouver Quadra,119,Vancouver,2,13,15,81,105,0,216,435
59033,Vancouver Quadra/Vancouver Quadra,120,Vancouver,0,12,9,88,85,0,194,359
59033,Vancouver Quadra/Vancouver Quadra,121,Vancouver,2,23,12,122,98,3,260,465
59033,Vancouver Quadra/Vancouver Quadra,122,Vancouver,5,17,21,94,126,0,263,485
59033,Vancouver Quadra/Vancouver Quadra,123,Vancouver,1,20,10,76,100,1,208,458
59033,Vancouver Quadra/Vancouver Quadra,124,Vancouver,2,7,6,104,61,1,181,427
59033,Vancouver Quadra/Vancouver Quadra,125,Vancouver,1,4,4,115,72,0,196,443
59033,Vancouver Quadra/Vancouver Quadra,126,Vancouver,1,16,16,109,110,0,252,386
59033,Vancouver Quadra/Vancouver Quadra,127,Vancouver,3,15,21,82,100,0,221,444
59033,Vancouver Quadra/Vancouver Quadra,128,Vancouver,5,15,9,91,103,0,223,442
59033,Vancouver Quadra/Vancouver Quadra,129,Vancouver,1,8,10,131,88,1,239,461
59033,Vancouver Quadra/Vancouver Quadra,130,Vancouver,0,11,19,110,106,0,246,478
59033,Vancouver Quadra/Vancouver Quadra,131,Vancouver,3,6,3,96,90,0,198,385
59033,Vancouver Quadra/Vancouver Quadra,132,Vancouver,0,9,15,104,121,0,249,426
59033,Vancouver Quadra/Vancouver Quadra,133,Vancouver,1,20,9,126,106,0,262,465
59033,Vancouver Quadra/Vancouver Quadra,134,Vancouver,1,13,12,112,109,0,247,438
59033,Vancouver Quadra/Vancouver Quadra,135,Vancouver,0,4,2,105,65,0,176,366
59033,Vancouver Quadra/Vancouver Quadra,136,Vancouver,1,9,14,123,114,0,261,426
59033,Vancouver Quadra/Vancouver Quadra,137,Vancouver,0,8,16,113,74,0,211,407
59033,Vancouver Quadra/Vancouver Quadra,138,Vancouver,1,11,11,106,136,0,265,507
59033,Vancouver Quadra/Vancouver Quadra,139,Vancouver,2,11,9,101,123,0,246,445
59033,Vancouver Quadra/Vancouver Quadra,140,Vancouver,3,19,12,82,114,1,231,437
59033,Vancouver Quadra/Vancouver Quadra,141,Vancouver,0,14,9,107,98,2,230,429
59033,Vancouver Quadra/Vancouver Quadra,142,Vancouver,0,12,13,100,86,0,211,450
