Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Judy Foote,Tanya Gutmanis,Stella Magalios,John Ottenheimer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 1","Mainland",38,0,45,31,0,114,242
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 2","Three Rock Cove",19,1,11,19,0,50,103
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 3","Lourdes",75,5,35,28,3,146,498
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 4","Lourdes",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 5","Black Duck Brook",19,0,12,20,0,51,241
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 6","Fox Island River--Point au Mal",16,2,36,27,0,81,124
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 7","West Bay",31,1,20,40,0,92,197
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 8","Piccadilly",46,3,40,35,1,125,328
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 9","Boswarlos",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 10","Noels Pond--Cold Brook",41,4,35,41,1,122,299
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 11","Cape St. George--Grand Jardin--De Grau",62,3,62,76,1,204,506
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 12","Marches Point--Red Brook",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 13","Cape St. George--Red Brook--Marches Point",25,2,32,23,0,82,237
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 14","Sheaves Cove",23,1,7,15,0,46,71
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 15","Ship Cove--Lower Cove",24,4,9,29,0,66,227
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 16","Campbells Creek",19,2,2,12,0,35,61
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 17","Felix Cove",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 18","Port au Port West",35,2,30,36,1,104,279
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 18-1","Aguathuna--Felix Cove--Boswarlos",35,1,35,32,0,103,364
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 19","Berry Head--Port au Port East",43,4,29,38,0,114,256
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 20","Port au Port East",37,7,38,51,0,133,250
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 21","Kippens",77,2,48,50,0,177,365
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 22","Kippens",57,2,22,43,1,125,213
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 22-1","Kippens",98,2,46,62,0,208,372
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 23","Kippens",53,2,33,43,0,131,317
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 23-1","Kippens",50,2,29,39,0,120,224
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 24","Stephenville",90,2,57,75,0,224,512
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 24-1","Stephenville",85,3,43,57,0,188,425
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 25","Stephenville",50,2,38,38,0,128,369
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 26","Stephenville",59,1,37,39,0,136,404
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 26-1","Stephenville",25,1,21,15,0,62,196
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 27","Stephenville",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 28","Stephenville",57,3,38,54,0,152,458
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 29","Stephenville",96,4,49,65,2,216,474
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 30","Stephenville",Void/Supprimé,,,,,,
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 31","Stephenville",94,3,45,61,1,204,469
10005,"Random--Burin--St. George's/Random--Burin--St. George's"," 32","Stephenville",23,1,26,26,0,76,313
