Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Allan,Jerry Byrne,Jack Harris,Robert Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 1","Pouch Cove",8,34,104,0,0,146,238
10006,"St. John's East/St. John's-Est"," 2","Pouch Cove",7,42,148,3,0,200,433
10006,"St. John's East/St. John's-Est"," 3","Pouch Cove",11,67,173,3,0,254,502
10006,"St. John's East/St. John's-Est"," 4","Pouch Cove",5,38,97,1,1,142,274
10006,"St. John's East/St. John's-Est"," 5","Bauline",6,42,128,2,1,179,353
10006,"St. John's East/St. John's-Est"," 6","Flatrock",7,74,131,1,1,214,361
10006,"St. John's East/St. John's-Est"," 7","Flatrock",4,54,158,2,0,218,400
10006,"St. John's East/St. John's-Est"," 7-1","Flatrock",2,37,132,1,3,175,296
10006,"St. John's East/St. John's-Est"," 8","Torbay",3,53,114,1,0,171,369
10006,"St. John's East/St. John's-Est"," 9","Torbay",9,67,182,6,3,267,515
10006,"St. John's East/St. John's-Est"," 10","Torbay",2,65,146,5,1,219,442
10006,"St. John's East/St. John's-Est"," 11","Torbay",6,57,137,2,0,202,416
10006,"St. John's East/St. John's-Est"," 12","Torbay",9,36,135,6,1,187,371
10006,"St. John's East/St. John's-Est"," 13","Torbay",12,30,94,0,0,136,294
10006,"St. John's East/St. John's-Est"," 13-1A","Torbay",10,27,121,0,0,158,327
10006,"St. John's East/St. John's-Est"," 13-1B","Torbay",7,39,112,2,1,161,305
10006,"St. John's East/St. John's-Est"," 14A","Torbay",8,44,114,2,1,169,293
10006,"St. John's East/St. John's-Est"," 14B","Torbay",2,25,103,1,0,131,287
10006,"St. John's East/St. John's-Est"," 15","Torbay",10,53,149,0,1,213,409
10006,"St. John's East/St. John's-Est"," 16","Torbay",12,67,178,1,0,258,532
10006,"St. John's East/St. John's-Est"," 17","Torbay",5,52,135,2,1,195,426
10006,"St. John's East/St. John's-Est"," 17-1","Torbay",14,65,105,1,0,185,378
10006,"St. John's East/St. John's-Est"," 18","Logy Bay-Middle Cove-Outer Cove",9,55,150,2,1,217,347
10006,"St. John's East/St. John's-Est"," 19","Logy Bay-Middle Cove-Outer Cove",6,59,169,2,2,238,435
10006,"St. John's East/St. John's-Est"," 20","Logy Bay-Middle Cove-Outer Cove",3,38,63,0,0,104,192
10006,"St. John's East/St. John's-Est"," 20-1","Logy Bay-Middle Cove-Outer Cove",9,76,164,2,1,252,417
10006,"St. John's East/St. John's-Est"," 21","Logy Bay-Middle Cove-Outer Cove",13,82,179,2,0,276,442
10006,"St. John's East/St. John's-Est"," 22","Wabana",5,42,69,0,0,116,332
10006,"St. John's East/St. John's-Est"," 23","Wabana",6,45,52,0,0,103,340
10006,"St. John's East/St. John's-Est"," 24","Wabana",2,41,90,0,0,133,374
10006,"St. John's East/St. John's-Est"," 25","Wabana",2,31,81,0,0,114,278
10006,"St. John's East/St. John's-Est"," 26","Wabana",3,27,79,0,0,109,324
10006,"St. John's East/St. John's-Est"," 27","Wabana",2,59,85,0,1,147,310
10006,"St. John's East/St. John's-Est"," 28","Freshwater",6,43,75,0,0,124,345
10006,"St. John's East/St. John's-Est"," 29","Portugal Cove-St. Philips",8,48,190,1,0,247,544
10006,"St. John's East/St. John's-Est"," 30","Portugal Cove-St. Philips",2,23,100,3,0,128,298
10006,"St. John's East/St. John's-Est"," 31","Portugal Cove-St. Philips",8,48,204,6,4,270,477
10006,"St. John's East/St. John's-Est"," 32","Portugal Cove-St. Philips",7,24,162,3,1,197,388
10006,"St. John's East/St. John's-Est"," 33","Portugal Cove-St. Philips",9,42,218,4,1,274,550
10006,"St. John's East/St. John's-Est"," 34","Portugal Cove-St. Philips",10,46,187,0,0,243,487
10006,"St. John's East/St. John's-Est"," 35","Portugal Cove-St. Philips",10,37,121,2,0,170,333
10006,"St. John's East/St. John's-Est"," 36","Portugal Cove-St. Philips",16,35,148,1,0,200,398
10006,"St. John's East/St. John's-Est"," 36-1","Portugal Cove-St. Philips",11,27,117,0,0,155,336
10006,"St. John's East/St. John's-Est"," 37","Portugal Cove-St. Philips",11,41,117,1,1,171,335
10006,"St. John's East/St. John's-Est"," 37-1","Portugal Cove-St. Philips",4,23,102,0,0,129,305
10006,"St. John's East/St. John's-Est"," 38","Portugal Cove-St. Philips",13,23,152,1,0,189,385
10006,"St. John's East/St. John's-Est"," 38-1","Portugal Cove-St. Philips",5,25,118,1,1,150,247
10006,"St. John's East/St. John's-Est"," 38-2","Portugal Cove-St. Philips",10,63,181,1,1,256,451
10006,"St. John's East/St. John's-Est"," 39","Paradise",9,26,130,0,0,165,324
10006,"St. John's East/St. John's-Est"," 39-1","Paradise",9,41,157,2,0,209,547
10006,"St. John's East/St. John's-Est"," 40","Paradise",Void/Supprimé,,,,,,
10006,"St. John's East/St. John's-Est"," 41","Paradise",5,35,171,1,1,213,468
10006,"St. John's East/St. John's-Est"," 41-1","Paradise",8,26,110,3,0,147,332
10006,"St. John's East/St. John's-Est"," 42A","Paradise",12,47,144,2,1,206,394
10006,"St. John's East/St. John's-Est"," 42B","Paradise",9,45,149,0,0,203,414
10006,"St. John's East/St. John's-Est"," 42-1","Paradise",14,45,177,0,0,236,495
10006,"St. John's East/St. John's-Est"," 43","Paradise",9,47,170,0,0,226,511
10006,"St. John's East/St. John's-Est"," 43-1","Paradise",8,38,145,1,1,193,443
10006,"St. John's East/St. John's-Est"," 44","Paradise",18,49,133,1,1,202,448
10006,"St. John's East/St. John's-Est"," 44-1","Paradise",10,31,133,0,0,174,418
10006,"St. John's East/St. John's-Est"," 44-2","Paradise",4,42,124,2,0,172,397
10006,"St. John's East/St. John's-Est"," 45","Paradise",5,46,176,0,0,227,428
10006,"St. John's East/St. John's-Est"," 45-1","Paradise",8,28,132,0,1,169,355
10006,"St. John's East/St. John's-Est"," 45-2","Paradise",7,40,212,3,0,262,481
10006,"St. John's East/St. John's-Est"," 46","Paradise",6,32,107,1,0,146,405
10006,"St. John's East/St. John's-Est"," 46-1","Paradise",5,37,120,0,0,162,296
10006,"St. John's East/St. John's-Est"," 47","Paradise",10,43,181,1,1,236,487
10006,"St. John's East/St. John's-Est"," 48","Paradise",11,47,142,1,0,201,482
10006,"St. John's East/St. John's-Est"," 49","Paradise",14,32,165,1,0,212,509
10006,"St. John's East/St. John's-Est"," 49-1","Paradise",9,38,174,1,1,223,455
10006,"St. John's East/St. John's-Est"," 49-2","Paradise",17,54,200,0,0,271,584
10006,"St. John's East/St. John's-Est"," 49-3","Paradise",5,21,88,0,1,115,234
10006,"St. John's East/St. John's-Est"," 50","Paradise",11,48,225,3,0,287,551
10006,"St. John's East/St. John's-Est"," 50-1A","Paradise",8,76,171,2,1,258,538
10006,"St. John's East/St. John's-Est"," 50-1B","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,69
10006,"St. John's East/St. John's-Est"," 50-2","Paradise",7,19,110,1,1,138,321
10006,"St. John's East/St. John's-Est"," 50-3","Paradise",9,22,86,0,0,117,232
10006,"St. John's East/St. John's-Est"," 51","Paradise",22,75,192,1,0,290,517
10006,"St. John's East/St. John's-Est"," 51-1","Paradise",12,36,112,3,0,163,352
10006,"St. John's East/St. John's-Est"," 52","St. John's",6,18,99,3,0,126,327
10006,"St. John's East/St. John's-Est"," 53","St. John's",7,31,141,0,0,179,463
10006,"St. John's East/St. John's-Est"," 54","St. John's",11,20,88,0,1,120,287
10006,"St. John's East/St. John's-Est"," 55","St. John's",16,61,226,3,0,306,551
10006,"St. John's East/St. John's-Est"," 56","St. John's",13,45,164,3,1,226,418
10006,"St. John's East/St. John's-Est"," 57","St. John's",27,59,133,1,1,221,364
10006,"St. John's East/St. John's-Est"," 57-1","St. John's",16,34,117,1,0,168,336
10006,"St. John's East/St. John's-Est"," 58","St. John's",14,42,162,2,0,220,370
10006,"St. John's East/St. John's-Est"," 59","St. John's",19,32,127,2,0,180,332
10006,"St. John's East/St. John's-Est"," 60","St. John's",25,49,172,2,0,248,426
10006,"St. John's East/St. John's-Est"," 61","St. John's",31,45,134,3,2,215,400
10006,"St. John's East/St. John's-Est"," 62A","St. John's",19,36,50,1,0,106,172
10006,"St. John's East/St. John's-Est"," 62B","Mobile poll/Bureau itinérant",Merged with No. 504B/Fusionné avec le nº 504B,,,,,,63
10006,"St. John's East/St. John's-Est"," 63","St. John's",10,33,196,2,1,242,385
10006,"St. John's East/St. John's-Est"," 64","St. John's",3,18,102,1,1,125,252
10006,"St. John's East/St. John's-Est"," 64-1","St. John's",15,25,109,3,1,153,348
10006,"St. John's East/St. John's-Est"," 65","St. John's",22,44,146,1,1,214,373
10006,"St. John's East/St. John's-Est"," 66A","St. John's",24,52,137,2,0,215,406
10006,"St. John's East/St. John's-Est"," 66B","Mobile poll/Bureau itinérant",Merged with No. 504A/Fusionné avec le nº 504A,,,,,,105
10006,"St. John's East/St. John's-Est"," 67","St. John's",9,28,123,3,0,163,254
10006,"St. John's East/St. John's-Est"," 68","St. John's",23,47,187,0,0,257,473
10006,"St. John's East/St. John's-Est"," 68-1","St. John's",24,49,226,6,0,305,552
10006,"St. John's East/St. John's-Est"," 68-2","St. John's",Void/Supprimé,,,,,,
10006,"St. John's East/St. John's-Est"," 69","St. John's",10,47,175,6,0,238,451
