Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Chisholm,Mike Savage,Paul Shreenan,Wanda Webber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 1","Halifax",49,24,3,28,0,104,377
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 2","Halifax",28,50,2,41,0,121,223
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 3","Halifax",41,65,4,36,1,147,278
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 4","Halifax",71,116,6,46,0,239,400
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 5","Halifax",49,117,3,42,0,211,414
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 5-1","Halifax",51,126,2,57,0,236,473
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 6","Halifax",55,60,6,41,0,162,271
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 7","Halifax",68,82,4,50,2,206,461
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 8","Halifax",58,67,11,44,1,181,349
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 9","Halifax",42,86,6,72,0,206,365
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 10","Halifax",76,98,3,34,0,211,414
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 11","Halifax",59,139,8,54,0,260,489
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 12","Halifax",68,63,5,67,0,203,383
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 13","Halifax",80,86,10,53,2,231,412
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 14","Halifax",55,85,6,33,1,180,291
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 15","Halifax",88,73,9,35,0,205,398
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 16","Halifax",74,61,9,33,0,177,391
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 17","Halifax",51,29,3,20,2,105,335
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 18","Halifax",36,65,9,20,2,132,234
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 19","Halifax",46,55,4,25,1,131,267
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 20","Halifax",52,46,7,35,1,141,311
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 21","Halifax",44,10,4,10,1,69,349
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 22","Halifax",38,18,10,11,0,77,306
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 22-1","Halifax",41,33,4,21,0,99,205
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 23","Halifax",40,18,5,12,0,75,270
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 24","Halifax",58,23,1,19,0,101,300
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 25","Halifax",48,29,9,24,1,111,277
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 26","Halifax",Void/Supprimé,,,,,,
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 27","Halifax",74,15,7,25,1,122,308
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 28","Halifax",65,24,3,22,1,115,366
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 29","Halifax",43,16,6,13,0,78,294
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 30","Halifax",51,21,6,8,23,109,306
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 31","Halifax",63,23,10,15,2,113,349
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 32","Halifax",54,32,5,35,0,126,323
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 33","Halifax",47,19,5,35,0,106,271
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 34","Halifax",66,38,5,15,1,125,332
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 35","Halifax",100,22,5,31,1,159,475
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 36","Halifax",63,17,6,19,1,106,399
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 37","Halifax",77,23,6,22,1,129,340
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 38","Halifax",77,23,7,21,2,130,435
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 39","Halifax",60,13,9,24,0,106,384
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 40","Halifax",61,12,7,25,1,106,403
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 41","Halifax",57,74,5,28,0,164,263
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 41-1","Halifax",76,78,7,40,2,203,377
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 42","Halifax",53,73,11,45,0,182,450
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 42-1","Halifax",66,88,1,60,1,216,464
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 43","Halifax",58,54,5,48,0,165,371
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 44","Halifax",51,74,2,54,0,181,346
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 45","Halifax",79,105,10,35,0,229,410
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 46","Halifax",90,126,3,40,2,261,411
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 47","Halifax",73,102,7,28,2,212,356
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 48","Halifax",44,97,1,44,0,186,320
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 49","Halifax",75,67,7,47,1,197,320
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 50","Halifax",52,66,6,24,2,150,260
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 51","Halifax",53,58,6,39,2,158,333
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 52","Halifax",58,52,4,42,2,158,320
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 53","Halifax",80,94,10,34,1,219,420
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 54","Halifax",83,33,2,14,1,133,377
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 55","Halifax",84,67,13,44,0,208,421
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 56","Halifax",Void/Supprimé,,,,,,
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 57","Halifax",63,46,3,32,0,144,384
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 58","Halifax",36,19,4,17,0,76,302
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 58-1","Halifax",40,19,11,22,0,92,268
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 59","Halifax",37,16,7,33,2,95,255
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 59-1","Halifax",81,39,11,26,0,157,355
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 60","Halifax",104,34,8,30,0,176,366
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 61","Halifax",64,23,13,24,1,125,265
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 62","Halifax",46,24,5,22,0,97,237
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 63","Halifax",66,26,9,15,0,116,220
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 64","Halifax",67,33,8,17,1,126,252
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 65","Halifax",69,73,5,43,0,190,346
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 66","Halifax",60,54,8,47,2,171,334
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 67","Halifax",42,58,3,58,2,163,307
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 68","Halifax",81,52,8,49,1,191,347
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 69","Halifax",44,51,1,68,1,165,317
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 69-1","Halifax",45,54,5,33,1,138,295
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 70","Halifax",61,64,10,34,1,170,291
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 71","Halifax",59,60,4,43,0,166,313
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 72","Halifax",70,51,8,40,2,171,324
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 73","Halifax",32,34,3,25,2,96,262
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 74","Halifax",57,24,0,26,0,107,305
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 75","Halifax",48,57,5,20,1,131,265
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 76","Halifax",56,96,10,34,3,199,350
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 77","Halifax",81,50,5,36,1,173,260
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 78","Halifax",52,81,11,44,2,190,314
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 79","Halifax",58,96,9,40,2,205,327
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 80","Halifax",97,82,5,53,0,237,433
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 81","Halifax",53,20,5,18,0,96,305
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 81-1","Halifax",49,18,6,16,1,90,212
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 82","Halifax",102,96,12,51,2,263,421
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 83","Halifax",100,114,17,42,0,273,446
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 84","Halifax",54,48,6,22,3,133,241
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 85","Halifax",80,48,4,12,1,145,263
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 86","Halifax",103,76,14,22,2,217,377
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 87","Halifax",98,78,12,23,3,214,439
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 88","Halifax",84,67,9,13,1,174,363
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 89","Halifax",44,36,4,30,1,115,284
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 89-1","Halifax",46,31,7,18,0,102,243
12003,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 90","Halifax",108,86,22,24,1,241,360
