Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gregor Ash,Bruce Robert Pretty,Geoff Regan,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Halifax West/Halifax-Ouest"," 1A","Pockwock",41,57,44,8,0,150,306
12005,"Halifax West/Halifax-Ouest"," 1B","Pockwock",31,47,50,5,0,133,318
12005,"Halifax West/Halifax-Ouest"," 2A","Lucasville",65,61,51,6,1,184,327
12005,"Halifax West/Halifax-Ouest"," 2B","Lucasville",43,44,37,4,0,128,273
12005,"Halifax West/Halifax-Ouest"," 2-1","Glen Arbour",70,35,60,5,2,172,405
12005,"Halifax West/Halifax-Ouest"," 2-2A","White Hills",34,52,47,8,1,142,263
12005,"Halifax West/Halifax-Ouest"," 2-2B","White Hills",41,53,50,9,1,154,259
12005,"Halifax West/Halifax-Ouest"," 3","Lucasville",107,55,41,13,0,216,400
12005,"Halifax West/Halifax-Ouest"," 4","Upper Hammonds Plains",71,71,75,4,0,221,330
12005,"Halifax West/Halifax-Ouest"," 5","English Corner",99,79,78,19,2,277,510
12005,"Halifax West/Halifax-Ouest"," 6","Highland Park",66,85,68,18,0,237,483
12005,"Halifax West/Halifax-Ouest"," 7A","Hammond Plains",24,52,20,5,0,101,220
12005,"Halifax West/Halifax-Ouest"," 7B","Hammond Plains",25,47,34,4,0,110,222
12005,"Halifax West/Halifax-Ouest"," 7C","Hammond Plains",26,36,18,2,0,82,177
12005,"Halifax West/Halifax-Ouest"," 8","Kingswood",47,71,52,7,1,178,305
12005,"Halifax West/Halifax-Ouest"," 9A","Kingswood",55,67,67,11,0,200,331
12005,"Halifax West/Halifax-Ouest"," 9B","Kingswood",33,78,70,5,1,187,316
12005,"Halifax West/Halifax-Ouest"," 10","Kingswood",39,90,82,8,3,222,400
12005,"Halifax West/Halifax-Ouest"," 11A","Kingswood",48,51,55,7,1,162,266
12005,"Halifax West/Halifax-Ouest"," 11B","Kingswood",31,61,48,4,2,146,279
12005,"Halifax West/Halifax-Ouest"," 12","Kingswood",77,83,78,12,2,252,444
12005,"Halifax West/Halifax-Ouest"," 13","Highland Park",92,77,81,5,1,256,440
12005,"Halifax West/Halifax-Ouest"," 14","Highland Park",65,99,90,4,2,260,485
12005,"Halifax West/Halifax-Ouest"," 15","Stillwater Lake",45,48,35,4,0,132,256
12005,"Halifax West/Halifax-Ouest"," 15-1A","Stillwater Lake",69,54,53,5,2,183,304
12005,"Halifax West/Halifax-Ouest"," 15-1B","Stillwater Lake",60,74,41,5,1,181,324
12005,"Halifax West/Halifax-Ouest"," 15-2","Stillwater Lake",67,72,51,10,1,201,418
12005,"Halifax West/Halifax-Ouest"," 16","Stillwater Lake",58,67,59,11,1,196,368
12005,"Halifax West/Halifax-Ouest"," 17A","Sandy Lake ",39,55,56,7,0,157,309
12005,"Halifax West/Halifax-Ouest"," 17B","Sandy Lake ",31,54,49,3,1,138,292
12005,"Halifax West/Halifax-Ouest"," 18","Bedford",47,82,114,10,3,256,411
12005,"Halifax West/Halifax-Ouest"," 19","Bedford",35,32,25,7,1,100,198
12005,"Halifax West/Halifax-Ouest"," 20A","Bedford",30,54,72,2,2,160,287
12005,"Halifax West/Halifax-Ouest"," 20B","Bedford",29,48,92,7,1,177,297
12005,"Halifax West/Halifax-Ouest"," 21","Bedford",32,106,70,7,0,215,367
12005,"Halifax West/Halifax-Ouest"," 22","Bedford",29,66,148,5,0,248,418
12005,"Halifax West/Halifax-Ouest"," 23","Bedford",63,62,103,15,0,243,476
12005,"Halifax West/Halifax-Ouest"," 24A","Bedford",8,42,62,5,0,117,249
12005,"Halifax West/Halifax-Ouest"," 24B","Bedford",11,29,61,2,2,105,238
12005,"Halifax West/Halifax-Ouest"," 25A","Bedford",40,59,57,13,0,169,323
12005,"Halifax West/Halifax-Ouest"," 25B","Bedford",43,50,68,3,0,164,331
12005,"Halifax West/Halifax-Ouest"," 26","Bedford",34,59,94,11,4,202,393
12005,"Halifax West/Halifax-Ouest"," 27","Bedford",29,63,99,6,1,198,416
12005,"Halifax West/Halifax-Ouest"," 28","Bedford",40,62,118,9,1,230,412
12005,"Halifax West/Halifax-Ouest"," 29","Bedford",71,64,83,12,0,230,460
12005,"Halifax West/Halifax-Ouest"," 30A","Bedford",38,34,63,5,1,141,250
12005,"Halifax West/Halifax-Ouest"," 30B","Bedford",43,29,62,5,0,139,248
12005,"Halifax West/Halifax-Ouest"," 31","Bedford",40,25,72,6,1,144,261
12005,"Halifax West/Halifax-Ouest"," 32","Bedford",44,88,106,9,3,250,372
12005,"Halifax West/Halifax-Ouest"," 33","Bedford",39,32,97,6,0,174,355
12005,"Halifax West/Halifax-Ouest"," 34","Bedford",24,70,77,0,0,171,396
12005,"Halifax West/Halifax-Ouest"," 35A","Bedford",45,41,47,3,2,138,262
12005,"Halifax West/Halifax-Ouest"," 35B","Bedford",27,39,56,1,0,123,250
12005,"Halifax West/Halifax-Ouest"," 36","Bedford",48,60,99,9,2,218,372
12005,"Halifax West/Halifax-Ouest"," 37","Bedford",35,26,50,4,0,115,243
12005,"Halifax West/Halifax-Ouest"," 38","Bedford",52,53,61,10,0,176,364
12005,"Halifax West/Halifax-Ouest"," 39","Bedford",62,43,76,5,2,188,403
12005,"Halifax West/Halifax-Ouest"," 40A","Bedford",42,61,33,8,2,146,269
12005,"Halifax West/Halifax-Ouest"," 40B","Bedford",40,39,54,4,0,137,257
12005,"Halifax West/Halifax-Ouest"," 41A","Bedford",45,82,89,4,1,221,416
12005,"Halifax West/Halifax-Ouest"," 41B","Bedford",56,62,115,3,0,236,493
12005,"Halifax West/Halifax-Ouest"," 41C","Bedford",36,70,83,3,3,195,393
12005,"Halifax West/Halifax-Ouest"," 42","Bedford",38,92,113,11,1,255,448
12005,"Halifax West/Halifax-Ouest"," 43A","Bedford",35,25,66,3,2,131,285
12005,"Halifax West/Halifax-Ouest"," 43B","Bedford",32,45,60,5,0,142,279
12005,"Halifax West/Halifax-Ouest"," 44A","Bedford",25,37,49,9,0,120,256
12005,"Halifax West/Halifax-Ouest"," 44B","Bedford",36,45,67,8,0,156,258
12005,"Halifax West/Halifax-Ouest"," 45","Bedford",65,49,74,7,0,195,442
12005,"Halifax West/Halifax-Ouest"," 46A","Halifax",59,31,41,4,1,136,299
12005,"Halifax West/Halifax-Ouest"," 46B","Halifax",45,26,33,7,2,113,298
12005,"Halifax West/Halifax-Ouest"," 46-1A","Halifax",44,51,63,8,1,167,367
12005,"Halifax West/Halifax-Ouest"," 46-1B","Halifax",40,63,75,3,1,182,358
12005,"Halifax West/Halifax-Ouest"," 46-1C","Halifax",38,53,56,5,0,152,299
12005,"Halifax West/Halifax-Ouest"," 46-2A","Halifax",73,70,128,20,0,291,507
12005,"Halifax West/Halifax-Ouest"," 46-2B","Halifax",68,85,114,12,1,280,527
12005,"Halifax West/Halifax-Ouest"," 46-3A","Kearney Lake",54,39,47,9,0,149,337
12005,"Halifax West/Halifax-Ouest"," 46-3B","Kearney Lake",61,37,40,11,0,149,317
12005,"Halifax West/Halifax-Ouest"," 47","Halifax",57,29,40,4,0,130,357
12005,"Halifax West/Halifax-Ouest"," 48A","Halifax",41,51,59,7,0,158,268
12005,"Halifax West/Halifax-Ouest"," 48B","Halifax",27,41,62,6,1,137,246
12005,"Halifax West/Halifax-Ouest"," 49","Halifax",55,62,93,6,0,216,432
12005,"Halifax West/Halifax-Ouest"," 49-1A","Halifax",50,36,35,12,0,133,301
12005,"Halifax West/Halifax-Ouest"," 49-1B","Halifax",35,28,32,8,0,103,241
12005,"Halifax West/Halifax-Ouest"," 50","Halifax",Void/Supprimé,,,,,,
12005,"Halifax West/Halifax-Ouest"," 51","Halifax",Void/Supprimé,,,,,,
12005,"Halifax West/Halifax-Ouest"," 52","Halifax",48,49,90,3,0,190,333
12005,"Halifax West/Halifax-Ouest"," 53","Halifax",Void/Supprimé,,,,,,
12005,"Halifax West/Halifax-Ouest"," 53-1A","Halifax",32,45,86,8,2,173,294
12005,"Halifax West/Halifax-Ouest"," 53-1B","Halifax",31,55,78,8,1,173,304
12005,"Halifax West/Halifax-Ouest"," 54A","Halifax",36,33,69,4,0,142,221
12005,"Halifax West/Halifax-Ouest"," 54B","Halifax",48,43,42,3,0,136,217
12005,"Halifax West/Halifax-Ouest"," 55","Halifax",51,51,58,6,0,166,337
12005,"Halifax West/Halifax-Ouest"," 56","Halifax",67,49,86,7,1,210,410
12005,"Halifax West/Halifax-Ouest"," 56-1","Halifax",32,14,26,1,0,73,228
12005,"Halifax West/Halifax-Ouest"," 57","Halifax",52,29,55,7,1,144,261
12005,"Halifax West/Halifax-Ouest"," 58","Halifax",61,51,65,9,0,186,393
12005,"Halifax West/Halifax-Ouest"," 59","Halifax",70,42,45,12,2,171,404
12005,"Halifax West/Halifax-Ouest"," 60","Halifax",20,37,84,1,1,143,269
12005,"Halifax West/Halifax-Ouest"," 61","Halifax",30,46,93,3,0,172,335
12005,"Halifax West/Halifax-Ouest"," 62","Halifax",29,18,25,2,0,74,214
12005,"Halifax West/Halifax-Ouest"," 62-1","Halifax",61,54,66,9,2,192,404
12005,"Halifax West/Halifax-Ouest"," 62-2","Halifax",67,33,64,6,0,170,364
12005,"Halifax West/Halifax-Ouest"," 63","Halifax",63,56,98,13,1,231,398
12005,"Halifax West/Halifax-Ouest"," 64","Halifax",59,50,73,21,7,210,432
12005,"Halifax West/Halifax-Ouest"," 64-1","Halifax",57,49,49,9,0,164,309
12005,"Halifax West/Halifax-Ouest"," 65","Halifax",11,25,41,0,0,77,141
12005,"Halifax West/Halifax-Ouest"," 65-1","Halifax",22,42,69,2,0,135,320
12005,"Halifax West/Halifax-Ouest"," 66","Halifax",56,78,88,10,1,233,395
12005,"Halifax West/Halifax-Ouest"," 67","Halifax",41,58,72,6,0,177,304
12005,"Halifax West/Halifax-Ouest"," 68","Halifax",78,36,44,6,0,164,374
12005,"Halifax West/Halifax-Ouest"," 69","Halifax",56,21,43,7,0,127,282
12005,"Halifax West/Halifax-Ouest"," 70","Halifax",55,47,50,14,0,166,287
12005,"Halifax West/Halifax-Ouest"," 71","Halifax",57,66,50,4,0,177,316
12005,"Halifax West/Halifax-Ouest"," 72","Halifax",62,41,72,4,1,180,408
12005,"Halifax West/Halifax-Ouest"," 73","Halifax",63,70,89,12,1,235,393
12005,"Halifax West/Halifax-Ouest"," 74","Halifax",57,54,63,4,1,179,312
12005,"Halifax West/Halifax-Ouest"," 75A","Halifax",57,39,38,8,0,142,261
12005,"Halifax West/Halifax-Ouest"," 75B","Halifax",55,27,64,2,0,148,256
12005,"Halifax West/Halifax-Ouest"," 76","Halifax",61,56,78,11,1,207,444
12005,"Halifax West/Halifax-Ouest"," 77","Halifax",53,62,120,7,1,243,423
12005,"Halifax West/Halifax-Ouest"," 78A","Halifax",41,33,44,8,2,128,259
12005,"Halifax West/Halifax-Ouest"," 78B","Halifax",48,26,48,3,0,125,231
12005,"Halifax West/Halifax-Ouest"," 79","Halifax",43,33,51,15,1,143,386
12005,"Halifax West/Halifax-Ouest"," 80A","Halifax",49,37,36,6,0,128,284
12005,"Halifax West/Halifax-Ouest"," 80B","Halifax",38,23,31,6,0,98,240
12005,"Halifax West/Halifax-Ouest"," 81","Halifax",61,22,29,9,2,123,389
12005,"Halifax West/Halifax-Ouest"," 82","Halifax",57,17,22,8,0,104,286
12005,"Halifax West/Halifax-Ouest"," 83","Halifax",37,22,17,5,0,81,269
12005,"Halifax West/Halifax-Ouest"," 84","Halifax",58,48,25,6,1,138,289
12005,"Halifax West/Halifax-Ouest"," 85","Halifax",56,30,25,6,0,117,243
12005,"Halifax West/Halifax-Ouest"," 86","Halifax",78,52,71,12,1,214,473
12005,"Halifax West/Halifax-Ouest"," 87","Halifax",78,16,27,7,0,128,447
12005,"Halifax West/Halifax-Ouest"," 88","Halifax",64,45,21,18,2,150,300
12005,"Halifax West/Halifax-Ouest"," 89","Halifax",70,45,55,9,0,179,360
12005,"Halifax West/Halifax-Ouest"," 90","Halifax",71,47,62,8,0,188,319
12005,"Halifax West/Halifax-Ouest"," 91","Halifax",66,18,26,7,0,117,339
12005,"Halifax West/Halifax-Ouest"," 92","Halifax",61,31,38,8,1,139,329
12005,"Halifax West/Halifax-Ouest"," 93","Halifax",90,43,36,3,0,172,452
12005,"Halifax West/Halifax-Ouest"," 94","Halifax",61,28,35,8,2,134,297
12005,"Halifax West/Halifax-Ouest"," 95","Halifax",90,32,45,17,1,185,403
12005,"Halifax West/Halifax-Ouest"," 96","Halifax",126,60,69,11,1,267,456
12005,"Halifax West/Halifax-Ouest"," 97","Halifax",62,38,70,10,0,180,339
12005,"Halifax West/Halifax-Ouest"," 98","Halifax",76,55,41,14,0,186,373
12005,"Halifax West/Halifax-Ouest"," 99","Halifax",61,70,78,9,0,218,382
12005,"Halifax West/Halifax-Ouest"," 100","Halifax",41,53,94,6,0,194,332
12005,"Halifax West/Halifax-Ouest"," 101","Halifax",48,40,73,7,1,169,346
12005,"Halifax West/Halifax-Ouest"," 102","Halifax",48,60,74,7,0,189,404
12005,"Halifax West/Halifax-Ouest"," 102-1","Halifax",63,51,85,6,1,206,440
12005,"Halifax West/Halifax-Ouest"," 102-2","Halifax",41,36,41,4,0,122,337
12005,"Halifax West/Halifax-Ouest"," 102-3","Halifax",37,53,43,6,0,139,365
12005,"Halifax West/Halifax-Ouest"," 103A","Halifax",43,75,67,3,0,188,361
12005,"Halifax West/Halifax-Ouest"," 103B","Halifax",43,59,65,8,2,177,365
12005,"Halifax West/Halifax-Ouest"," 103-1A","Halifax",45,47,62,3,1,158,281
12005,"Halifax West/Halifax-Ouest"," 103-1B","Halifax",35,71,48,3,4,161,283
12005,"Halifax West/Halifax-Ouest"," 103-2","Halifax",53,28,35,3,0,119,271
12005,"Halifax West/Halifax-Ouest"," 103-3","Halifax",34,59,49,4,1,147,289
12005,"Halifax West/Halifax-Ouest"," 103-4A","Halifax",48,35,48,4,0,135,282
12005,"Halifax West/Halifax-Ouest"," 103-4B","Halifax",57,52,43,4,1,157,298
12005,"Halifax West/Halifax-Ouest"," 104A","Halifax",44,27,23,3,0,97,266
12005,"Halifax West/Halifax-Ouest"," 104B","Halifax",41,19,21,4,2,87,265
12005,"Halifax West/Halifax-Ouest"," 105","Halifax",Void/Supprimé,,,,,,
12005,"Halifax West/Halifax-Ouest"," 105-1","Halifax",60,35,36,9,1,141,445
12005,"Halifax West/Halifax-Ouest"," 106","Halifax",51,34,28,5,0,118,297
12005,"Halifax West/Halifax-Ouest"," 107A","Halifax",61,39,43,7,0,150,347
12005,"Halifax West/Halifax-Ouest"," 107B","Halifax",33,46,44,8,1,132,322
12005,"Halifax West/Halifax-Ouest"," 108","Halifax",10,11,7,1,0,29,121
12005,"Halifax West/Halifax-Ouest"," 109","Halifax",45,31,45,1,0,122,271
12005,"Halifax West/Halifax-Ouest"," 110","Halifax",56,41,76,14,0,187,417
12005,"Halifax West/Halifax-Ouest"," 111","Halifax",56,32,34,3,0,125,402
12005,"Halifax West/Halifax-Ouest"," 112A","Halifax",108,60,85,9,0,262,583
12005,"Halifax West/Halifax-Ouest"," 112B","Halifax",90,60,81,16,1,248,616
12005,"Halifax West/Halifax-Ouest"," 113","Timberlea",87,77,80,19,1,264,488
