Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Hemming,Adam Mimnagh,John Percy,Peter Stoffer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 1","Beaver Bank Villa",Void/Supprimé,,,,,,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 2","Beaver Bank",6,23,3,54,1,87,184
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 2-1","Beaver Bank",17,52,4,73,0,146,279
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 3","Beaver Bank Lake",25,55,7,133,1,221,390
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 4","Kinsac",16,48,14,75,0,153,280
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 4-1","Kinsac",19,37,5,110,1,172,360
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 5","Beaver Bank",18,53,9,92,2,174,319
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 6","Halifax",16,46,3,92,0,157,288
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 6-1","Halifax",12,61,14,92,0,179,315
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 7","Halifax",23,66,15,128,0,232,453
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 8","Halifax",16,71,9,87,0,183,332
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 9","Halifax",20,89,9,101,1,220,351
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 9-1","Halifax",30,80,13,103,1,227,418
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 10","Halifax",11,20,6,85,1,123,316
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 11","Halifax",7,28,4,89,1,129,344
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 12","Halifax",11,19,6,93,0,129,326
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 13A","Halifax",20,49,1,68,1,139,253
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 13B","Halifax",24,42,1,68,1,136,258
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 14","Lewis Lake",18,44,12,89,0,163,348
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 15","Springfield Lake",12,45,4,69,0,130,231
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 15-1","Halifax",20,47,8,109,0,184,333
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 16","Springfield Lake",42,83,9,121,0,255,450
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 16-1","Halifax",15,32,12,80,0,139,251
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 17","Springfield Lake",27,64,10,89,0,190,386
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 18","Springfield Lake",17,51,6,97,0,171,349
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 19","Springfield Lake",14,43,12,97,0,166,386
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 20","Upper Sackville",13,47,4,53,0,117,215
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 20-1","Halifax",10,36,2,61,0,109,231
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 21","Halifax",21,56,9,75,1,162,339
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 22A","Halifax",7,39,2,82,0,130,252
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 22B","Halifax",10,49,3,75,1,138,275
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 22-1","Halifax",19,40,6,97,0,162,286
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 23","Halifax",8,36,3,76,0,123,252
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 23-1","Halifax",24,74,3,122,2,225,408
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 24","Halifax",16,64,3,126,2,211,422
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 25","Halifax",14,65,9,79,1,168,269
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 26","Halifax",11,38,5,81,3,138,273
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 26-1","Halifax",24,28,2,61,0,115,224
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 27","Halifax",12,22,2,76,1,113,257
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 27-1","Halifax",17,51,1,93,0,162,296
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 28","Halifax",11,57,3,111,0,182,429
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 29","Halifax",16,33,7,78,0,134,256
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 30","Halifax",17,36,7,77,1,138,255
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 31","Halifax",28,31,5,106,0,170,272
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 32","Halifax",9,39,1,80,1,130,339
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 33","Halifax",14,41,0,146,0,201,409
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 34","Halifax",4,18,4,65,1,92,312
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 35","Halifax",5,28,5,79,1,118,287
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 36","Halifax",26,75,5,125,0,231,382
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 37","Halifax",15,64,4,91,1,175,406
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 38","Halifax",20,46,4,79,1,150,347
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 39","Halifax",23,70,8,114,0,215,371
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 39-1","Halifax",27,88,10,138,1,264,505
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 40","Halifax",13,32,15,107,3,170,349
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 41","Halifax",23,57,8,98,1,187,390
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 42","Halifax",11,38,6,124,0,179,306
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 43","Halifax",13,45,6,120,0,184,317
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 44","Halifax",12,68,5,109,1,195,314
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 45","Halifax",13,37,3,90,0,143,259
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 46","Halifax",19,28,6,75,1,129,281
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 47","Halifax",9,30,6,90,1,136,252
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 48","Halifax",16,48,4,133,1,202,338
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 49","Halifax",19,37,5,86,1,148,341
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 50","Halifax",15,43,9,126,2,195,332
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 51","Halifax",12,43,7,82,0,144,323
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 52","Halifax",13,34,10,77,2,136,255
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 53","Halifax",11,30,4,78,1,124,253
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 54","Halifax",14,46,8,114,0,182,368
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 55","Halifax",11,46,7,73,2,139,301
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 56","Halifax",19,33,1,78,1,132,331
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 57","Halifax",10,37,8,86,0,141,291
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 58","Halifax",16,37,4,90,0,147,301
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 59","Halifax",15,34,6,79,0,134,283
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 60","Halifax",18,44,8,68,0,138,263
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 61","Halifax",15,45,7,102,0,169,339
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 62","Halifax",9,26,7,64,2,108,329
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 63","Halifax",8,30,7,97,0,142,322
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 64","Halifax",20,33,3,73,0,129,299
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 65","Halifax",10,9,5,30,0,54,229
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 66","Halifax",10,23,5,60,0,98,338
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 67","Halifax",9,23,4,69,1,106,333
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 68","Halifax",9,45,8,76,1,139,319
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 69","Halifax",12,52,0,86,0,150,237
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 70","Halifax",39,80,5,111,2,237,408
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 71","Halifax",9,22,4,105,0,140,296
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 72","Halifax",24,51,12,116,2,205,412
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 73","Halifax",21,50,4,77,1,153,269
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 74","Halifax",24,46,15,130,2,217,337
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 75","Halifax",21,45,8,122,1,197,373
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 76","Halifax",19,61,12,134,0,226,370
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 77","Halifax",34,46,7,104,1,192,376
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 78","Halifax",20,47,3,95,0,165,275
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 79","Halifax",23,42,6,61,0,132,388
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 79-1A","Halifax",13,20,7,69,2,111,270
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 79-1B","Halifax",17,38,4,57,0,116,279
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 80","Halifax",9,76,5,87,0,177,329
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 81","Halifax",15,49,10,99,2,175,325
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 82","Frenchmans Road",28,75,22,116,2,243,449
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 83","Grand Lake Station",23,82,8,110,0,223,332
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 83-1","Grand Lake Station",10,38,4,54,0,106,191
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 84","Fletchers Lake",21,39,10,96,1,167,320
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 85","Wellington",31,69,7,120,1,228,400
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 86","Wellington Station",29,62,10,122,2,225,355
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 87","Wellington",17,93,16,137,2,265,455
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 88","Fall River",28,93,16,123,1,261,460
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 88-1","Fall River",35,57,11,85,2,190,316
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 89","Fletchers Lake",35,65,12,84,2,198,406
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 90","Fall River",39,108,8,127,1,283,439
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 91","Fall River",12,35,3,76,4,130,244
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 92","Fall River",22,80,6,105,0,213,341
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 93","Fall River West",42,107,11,118,0,278,463
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 94","Fall River West",9,33,6,63,0,111,203
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 95","Fall River West",17,48,7,102,0,174,265
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 96","Windsor Junction",30,35,6,113,0,184,308
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 97","Windsor Junction",4,38,5,74,2,123,229
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 98","Windsor Junction",26,47,9,85,0,167,348
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 99","Fall River West",36,84,9,137,2,268,458
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 100","Fall River West",20,70,6,133,0,229,386
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 101","Waverley",15,40,10,65,2,132,223
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 101-1","Waverley",28,56,7,90,2,183,371
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 102","Waverley",18,56,16,105,1,196,342
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 103","Lakeview",19,81,11,169,0,280,433
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 104","Waverley",9,44,2,50,0,105,239
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 105","Waverley",23,58,7,100,0,188,289
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 105-1","Waverley",24,30,5,62,0,121,188
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 106","Portobello",15,43,9,73,3,143,250
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 107","North Preston",8,0,1,13,0,22,183
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 108","Halifax",31,60,5,83,0,179,328
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 109","Halifax",29,86,5,76,4,200,358
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 109-1","Halifax",24,54,7,90,0,175,371
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 110","Cherry Brook--Lake Major",18,16,6,42,0,82,216
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 111","North Preston",21,7,4,54,2,88,379
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 111-1","North Preston",7,3,2,20,0,32,156
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 112","Montague Gold Mines",27,46,8,83,2,166,319
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 113","Loon Lake",22,71,15,83,1,192,376
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 114","Humber Park",20,41,4,86,4,155,304
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 115","Cherry Brook",19,27,4,51,0,101,261
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 116","Lake Major",23,51,6,74,2,156,326
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 117","Preston",24,19,4,64,1,112,251
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 118","East Preston",24,19,4,50,0,97,288
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 118-1","East Preston",19,9,2,57,0,87,274
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 119","Lake Echo",24,49,11,59,0,143,267
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 119-1","Lake Echo",12,32,9,51,0,104,193
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 120","Lake Echo",16,48,10,107,0,181,341
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 121","Lake Echo",18,74,9,109,0,210,399
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 122","Halifax",8,65,3,52,0,128,323
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 123","Halifax",2,31,0,18,0,51,125
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 123-1","Halifax",Void/Supprimé,,,,,,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 124","Halifax",14,42,9,99,1,165,311
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 125","Halifax",18,55,5,74,0,152,405
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 126","Halifax",17,42,5,87,0,151,275
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 126-1","Halifax",6,18,0,52,0,76,219
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 127","Halifax",22,40,3,81,0,146,354
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 128","Halifax",12,18,6,66,0,102,212
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 129","Halifax",23,46,5,101,2,177,342
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 130","Halifax",19,57,12,112,1,201,466
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 131","Halifax",21,57,2,95,1,176,360
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 132","Halifax",14,29,13,81,1,138,292
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 133","Halifax",11,31,10,74,0,126,269
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 134","Halifax",14,25,12,58,3,112,245
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 135","Halifax",13,40,5,83,1,142,300
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 135-1","Halifax",18,40,2,85,2,147,292
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 136","Halifax",10,36,4,86,1,137,294
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 137","Halifax",17,38,6,76,0,137,320
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 137-1","Halifax",16,45,5,110,0,176,401
