Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Marie Gionet,Yvon Godin,Louis Robichaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 1","Pointe-Verte",27,110,21,7,165,256
13001,"Acadie--Bathurst/Acadie--Bathurst"," 2","Pointe-Verte",15,133,24,3,175,269
13001,"Acadie--Bathurst/Acadie--Bathurst"," 3","Pointe-Verte",19,138,14,7,178,271
13001,"Acadie--Bathurst/Acadie--Bathurst"," 4","Petit-Rocher-Nord",17,148,21,3,189,356
13001,"Acadie--Bathurst/Acadie--Bathurst"," 5","Madran",17,181,28,1,227,371
13001,"Acadie--Bathurst/Acadie--Bathurst"," 6","Alcida",14,131,17,0,162,223
13001,"Acadie--Bathurst/Acadie--Bathurst"," 7","Laplante",18,114,21,1,154,257
13001,"Acadie--Bathurst/Acadie--Bathurst"," 8","Petit-Rocher",28,154,40,5,227,372
13001,"Acadie--Bathurst/Acadie--Bathurst"," 9","Petit-Rocher-Sud",26,141,20,6,193,344
13001,"Acadie--Bathurst/Acadie--Bathurst"," 10","Tremblay",18,160,29,5,212,370
13001,"Acadie--Bathurst/Acadie--Bathurst"," 11","Petit-Rocher",39,184,27,1,251,432
13001,"Acadie--Bathurst/Acadie--Bathurst"," 12","Petit-Rocher",25,136,33,3,197,371
13001,"Acadie--Bathurst/Acadie--Bathurst"," 13","Petit-Rocher",28,156,25,3,212,383
13001,"Acadie--Bathurst/Acadie--Bathurst"," 14","Petit-Rocher",37,132,30,0,199,336
13001,"Acadie--Bathurst/Acadie--Bathurst"," 15","Free Grant",32,157,32,1,222,416
13001,"Acadie--Bathurst/Acadie--Bathurst"," 16","Nicholas Denys",20,114,19,1,154,284
13001,"Acadie--Bathurst/Acadie--Bathurst"," 17","Val-Michaud",17,147,35,2,201,316
13001,"Acadie--Bathurst/Acadie--Bathurst"," 18","Robertville",20,161,30,1,212,330
13001,"Acadie--Bathurst/Acadie--Bathurst"," 19","Sainte-Louise",19,138,29,2,188,309
13001,"Acadie--Bathurst/Acadie--Bathurst"," 20","Robertville",29,158,29,8,224,381
13001,"Acadie--Bathurst/Acadie--Bathurst"," 21","Dunlop",19,171,30,1,221,388
13001,"Acadie--Bathurst/Acadie--Bathurst"," 22","Dunlop",14,137,34,1,186,367
13001,"Acadie--Bathurst/Acadie--Bathurst"," 23","Nigadoo",21,214,37,3,275,416
13001,"Acadie--Bathurst/Acadie--Bathurst"," 24","Nigadoo",20,160,42,3,225,356
13001,"Acadie--Bathurst/Acadie--Bathurst"," 25","Beresford",38,176,36,0,250,418
13001,"Acadie--Bathurst/Acadie--Bathurst"," 26A","Beresford",28,116,27,0,171,323
13001,"Acadie--Bathurst/Acadie--Bathurst"," 26B","Mobile poll/Bureau itinérant",Merged with No. 513A/Fusionné avec le nº 513A,,,,,15
13001,"Acadie--Bathurst/Acadie--Bathurst"," 27","Beresford",23,67,10,2,102,197
13001,"Acadie--Bathurst/Acadie--Bathurst"," 28A","Beresford",25,134,24,1,184,340
13001,"Acadie--Bathurst/Acadie--Bathurst"," 28B","Mobile poll/Bureau itinérant",Merged with No. 513A/Fusionné avec le nº 513A,,,,,12
13001,"Acadie--Bathurst/Acadie--Bathurst"," 29","Beresford",37,126,28,0,191,333
13001,"Acadie--Bathurst/Acadie--Bathurst"," 30","Beresford",17,91,33,3,144,274
13001,"Acadie--Bathurst/Acadie--Bathurst"," 31","Beresford",26,139,38,1,204,380
13001,"Acadie--Bathurst/Acadie--Bathurst"," 32","Beresford",25,113,29,5,172,342
13001,"Acadie--Bathurst/Acadie--Bathurst"," 33","Beresford",41,152,38,4,235,418
13001,"Acadie--Bathurst/Acadie--Bathurst"," 34","Beresford",21,114,41,3,179,343
13001,"Acadie--Bathurst/Acadie--Bathurst"," 35","Bathurst",34,110,57,2,203,408
13001,"Acadie--Bathurst/Acadie--Bathurst"," 36","Bathurst",32,94,60,4,190,390
13001,"Acadie--Bathurst/Acadie--Bathurst"," 37","Bathurst",20,103,24,1,148,282
13001,"Acadie--Bathurst/Acadie--Bathurst"," 38","Bathurst",20,91,23,3,137,347
13001,"Acadie--Bathurst/Acadie--Bathurst"," 39","Bathurst",17,82,34,1,134,292
13001,"Acadie--Bathurst/Acadie--Bathurst"," 40","Bathurst",12,114,36,4,166,317
13001,"Acadie--Bathurst/Acadie--Bathurst"," 41","Bathurst",14,96,45,1,156,299
13001,"Acadie--Bathurst/Acadie--Bathurst"," 42","Bathurst",22,87,29,1,139,269
13001,"Acadie--Bathurst/Acadie--Bathurst"," 43","Bathurst",18,110,19,0,147,290
13001,"Acadie--Bathurst/Acadie--Bathurst"," 44","Bathurst",31,98,49,3,181,340
13001,"Acadie--Bathurst/Acadie--Bathurst"," 45","Bathurst",17,105,21,1,144,396
13001,"Acadie--Bathurst/Acadie--Bathurst"," 46","Bathurst",4,63,12,2,81,234
13001,"Acadie--Bathurst/Acadie--Bathurst"," 47","Bathurst",15,72,18,3,108,293
13001,"Acadie--Bathurst/Acadie--Bathurst"," 48","Bathurst",19,72,26,1,118,299
13001,"Acadie--Bathurst/Acadie--Bathurst"," 49","Bathurst",6,61,17,0,84,270
13001,"Acadie--Bathurst/Acadie--Bathurst"," 50","Bathurst",9,65,14,1,89,223
13001,"Acadie--Bathurst/Acadie--Bathurst"," 51","Bathurst",7,54,11,1,73,213
13001,"Acadie--Bathurst/Acadie--Bathurst"," 52","Bathurst",16,96,41,1,154,298
13001,"Acadie--Bathurst/Acadie--Bathurst"," 53","Bathurst",39,76,65,5,185,395
13001,"Acadie--Bathurst/Acadie--Bathurst"," 54","Bathurst",19,52,38,2,111,218
13001,"Acadie--Bathurst/Acadie--Bathurst"," 55","Bathurst",11,75,27,1,114,269
13001,"Acadie--Bathurst/Acadie--Bathurst"," 56","Bathurst",10,69,13,1,93,282
13001,"Acadie--Bathurst/Acadie--Bathurst"," 57","Bathurst",14,76,25,0,115,286
13001,"Acadie--Bathurst/Acadie--Bathurst"," 58","Bathurst",16,46,16,1,79,236
13001,"Acadie--Bathurst/Acadie--Bathurst"," 59","Bathurst",19,59,15,2,95,249
13001,"Acadie--Bathurst/Acadie--Bathurst"," 60","Bathurst",16,38,13,1,68,216
13001,"Acadie--Bathurst/Acadie--Bathurst"," 61","Bathurst",12,98,22,1,133,306
13001,"Acadie--Bathurst/Acadie--Bathurst"," 62","Bathurst",16,87,60,2,165,328
