Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Allen,Chuck Chiasson,Pierre Cyr,Rish McGlynn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 1","Saint-André",62,25,20,3,1,111,195
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 1-1","Saint-André",91,50,50,0,10,201,360
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 2","Saint-André",111,81,54,4,8,258,438
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 3","Saint-André",106,67,54,6,6,239,471
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 4","Saint-André",79,70,47,1,6,203,286
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 5","Drummond",Void/Supprimé,,,,,,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 6","Drummond",111,49,73,7,8,248,406
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 6-1","Drummond",80,33,43,2,5,163,324
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 7","Drummond",103,70,60,1,5,239,428
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 8","Drummond",100,45,45,2,2,194,356
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 9","Drummond",69,51,27,3,3,153,281
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 10","Drummond",118,74,59,4,4,259,503
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 11","New Denmark",76,36,41,4,1,158,281
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 12","Salmonhurst Corner",97,30,49,2,0,178,373
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 13","Grand Falls--Grand-Sault",82,44,33,1,3,163,335
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 14A","Grand Falls--Grand-Sault",119,66,48,4,0,237,493
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 14B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,69
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 15","Grand Falls--Grand-Sault",81,50,69,6,1,207,436
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 16","Grand Falls--Grand-Sault",108,36,48,2,4,198,433
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 17","Grand Falls--Grand-Sault",56,36,46,1,6,145,292
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 18","Grand Falls--Grand-Sault",39,25,26,1,1,92,278
