Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lorraine Banville,Guillaume Berger-Richard,Carl Dubois,Hélène LeBlanc,Yves Le Seigle,Chang-Tao Jimmy Yu,Lise Zarac,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"LaSalle--Émard/LaSalle--Émard"," 1","Montréal",10,1,41,79,0,30,48,1,210,407
24029,"LaSalle--Émard/LaSalle--Émard"," 2","Montréal",5,1,56,98,0,10,17,4,191,399
24029,"LaSalle--Émard/LaSalle--Émard"," 3","Montréal",4,2,45,97,0,12,23,1,184,403
24029,"LaSalle--Émard/LaSalle--Émard"," 4","Montréal",1,1,27,48,0,8,19,2,106,332
24029,"LaSalle--Émard/LaSalle--Émard"," 5","Montréal",6,1,59,99,0,12,26,5,208,459
24029,"LaSalle--Émard/LaSalle--Émard"," 6","Montréal",4,1,30,46,0,11,17,1,110,335
24029,"LaSalle--Émard/LaSalle--Émard"," 7","Montréal",2,0,21,107,0,15,54,0,199,504
24029,"LaSalle--Émard/LaSalle--Émard"," 8","Montréal",8,1,29,71,0,23,47,3,182,518
24029,"LaSalle--Émard/LaSalle--Émard"," 9","Montréal",5,4,26,41,1,8,16,2,103,278
24029,"LaSalle--Émard/LaSalle--Émard"," 10","Montréal",2,2,47,100,0,23,26,2,202,489
24029,"LaSalle--Émard/LaSalle--Émard"," 11","Montréal",2,1,30,50,0,5,23,2,113,262
24029,"LaSalle--Émard/LaSalle--Émard"," 12","Montréal",2,0,22,60,0,6,11,3,104,243
24029,"LaSalle--Émard/LaSalle--Émard"," 13","Montréal",6,4,42,85,0,15,19,7,178,409
24029,"LaSalle--Émard/LaSalle--Émard"," 14","Montréal",3,0,32,61,0,6,23,2,127,237
24029,"LaSalle--Émard/LaSalle--Émard"," 15","Montréal",6,1,48,89,0,10,18,0,172,362
24029,"LaSalle--Émard/LaSalle--Émard"," 16","Montréal",9,2,53,116,1,14,27,6,228,461
24029,"LaSalle--Émard/LaSalle--Émard"," 17","Montréal",5,2,32,59,0,10,9,2,119,227
24029,"LaSalle--Émard/LaSalle--Émard"," 18","Montréal",1,1,41,51,0,8,17,0,119,264
24029,"LaSalle--Émard/LaSalle--Émard"," 19","Montréal",5,4,74,95,1,22,27,3,231,431
24029,"LaSalle--Émard/LaSalle--Émard"," 20","Montréal",2,0,45,0,82,1,17,4,151,247
24029,"LaSalle--Émard/LaSalle--Émard"," 21","Montréal",6,1,36,109,0,20,51,5,228,374
24029,"LaSalle--Émard/LaSalle--Émard"," 22","Montréal",8,4,23,59,2,22,57,4,179,348
24029,"LaSalle--Émard/LaSalle--Émard"," 23","Montréal",6,2,42,78,0,21,45,5,199,401
24029,"LaSalle--Émard/LaSalle--Émard"," 24","Montréal",7,2,39,119,2,15,46,2,232,368
24029,"LaSalle--Émard/LaSalle--Émard"," 25","Montréal",4,0,33,63,0,13,30,5,148,363
24029,"LaSalle--Émard/LaSalle--Émard"," 26","Montréal",8,0,26,98,0,16,42,5,195,423
24029,"LaSalle--Émard/LaSalle--Émard"," 27","LaSalle",3,0,8,60,0,22,52,1,146,359
24029,"LaSalle--Émard/LaSalle--Émard"," 27-1","LaSalle",5,2,18,89,0,48,54,0,216,496
24029,"LaSalle--Émard/LaSalle--Émard"," 27-2","LaSalle",3,4,48,85,1,45,86,10,282,368
24029,"LaSalle--Émard/LaSalle--Émard"," 28","LaSalle",4,0,14,76,0,23,58,0,175,367
24029,"LaSalle--Émard/LaSalle--Émard"," 28-1","LaSalle",4,0,10,53,0,31,42,0,140,271
24029,"LaSalle--Émard/LaSalle--Émard"," 29","LaSalle",9,0,14,135,0,40,66,0,264,596
24029,"LaSalle--Émard/LaSalle--Émard"," 30","LaSalle",6,0,9,44,0,31,89,2,181,388
24029,"LaSalle--Émard/LaSalle--Émard"," 31","LaSalle",4,0,9,59,0,36,49,0,157,336
24029,"LaSalle--Émard/LaSalle--Émard"," 32","LaSalle",1,1,14,65,0,25,54,2,162,421
24029,"LaSalle--Émard/LaSalle--Émard"," 33","LaSalle",3,1,15,91,0,42,69,1,222,442
24029,"LaSalle--Émard/LaSalle--Émard"," 34","LaSalle",6,3,14,94,1,32,83,0,233,421
24029,"LaSalle--Émard/LaSalle--Émard"," 35","LaSalle",2,2,9,63,0,27,59,5,167,366
24029,"LaSalle--Émard/LaSalle--Émard"," 36","LaSalle",5,0,14,80,0,22,72,1,194,414
24029,"LaSalle--Émard/LaSalle--Émard"," 37","LaSalle",4,2,17,61,1,22,68,2,177,410
24029,"LaSalle--Émard/LaSalle--Émard"," 38","LaSalle",2,0,12,73,0,20,52,2,161,363
24029,"LaSalle--Émard/LaSalle--Émard"," 39","LaSalle",4,1,13,62,1,47,70,4,202,406
