Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvon Breton,Nicole Demers,Jocelyne Leduc,Robert Malo,Eva Nassif,José Nunez-Melo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24032,Laval/Laval,1,Laval,0,57,6,30,48,95,1,237,414
24032,Laval/Laval, 1-1,Laval,0,29,3,27,55,70,1,185,350
24032,Laval/Laval,2,Laval,0,86,4,18,18,133,2,261,429
24032,Laval/Laval, 2-1,Laval,0,27,7,18,29,89,4,174,277
24032,Laval/Laval,3,Laval,0,81,13,54,48,128,3,327,551
24032,Laval/Laval,4,Laval,0,53,8,28,34,101,6,230,443
24032,Laval/Laval,5,Laval,0,61,4,35,25,119,4,248,437
24032,Laval/Laval,6,Laval,1,77,7,21,16,90,6,218,416
24032,Laval/Laval,7,Laval,1,47,5,17,8,93,4,175,384
24032,Laval/Laval,8,Laval,0,76,8,25,20,109,3,241,497
24032,Laval/Laval,9,Laval,1,44,5,36,25,97,2,210,368
24032,Laval/Laval,10,Laval,1,39,4,21,37,117,8,227,428
24032,Laval/Laval,11,Laval,1,55,6,35,34,133,2,266,452
24032,Laval/Laval,12,Laval,1,63,8,12,13,122,3,222,405
24032,Laval/Laval,13,Laval,3,30,2,16,22,121,1,195,371
24032,Laval/Laval,14,Laval,1,54,1,13,27,77,4,177,300
24032,Laval/Laval,15,Laval,1,57,5,19,23,82,4,191,331
24032,Laval/Laval,16,Laval,0,47,11,12,22,71,2,165,309
24032,Laval/Laval,17,Laval,0,56,2,18,26,97,3,202,375
24032,Laval/Laval,18,Laval,0,66,2,27,18,151,7,271,456
24032,Laval/Laval,19,Laval,2,68,1,21,34,138,7,271,506
24032,Laval/Laval,20,Laval,1,36,3,21,35,78,6,180,321
24032,Laval/Laval,21,Laval,0,38,2,25,29,107,4,205,437
24032,Laval/Laval,22,Laval,4,43,5,16,15,87,3,173,367
24032,Laval/Laval,23,Laval,1,61,7,13,27,108,4,221,364
24032,Laval/Laval,24,Laval,0,54,5,17,32,100,2,210,369
24032,Laval/Laval,25,Laval,2,67,8,37,31,102,6,253,416
24032,Laval/Laval,26,Laval,0,44,2,30,33,117,3,229,395
24032,Laval/Laval,27,Laval,2,72,4,38,38,147,2,303,549
24032,Laval/Laval,28,Laval,4,54,9,33,46,112,4,262,452
24032,Laval/Laval,29,Laval,1,50,5,16,33,100,8,213,534
24032,Laval/Laval,30,Laval,2,45,3,22,36,118,0,226,414
24032,Laval/Laval,31,Laval,1,79,1,28,49,143,2,303,484
24032,Laval/Laval,32,Laval,0,79,9,32,53,137,3,313,549
24032,Laval/Laval,33,Laval,1,87,3,31,26,128,3,279,435
24032,Laval/Laval,34,Laval,3,65,8,23,16,139,6,260,389
24032,Laval/Laval,35,Laval,3,73,7,28,34,141,5,291,445
24032,Laval/Laval,36,Laval,2,74,2,37,40,126,6,287,461
24032,Laval/Laval,37,Laval,0,25,4,10,21,85,1,146,271
24032,Laval/Laval,38,Laval,3,44,0,16,34,89,1,187,324
24032,Laval/Laval,39,Laval,0,63,4,28,46,130,4,275,481
24032,Laval/Laval,40,Laval,2,42,6,24,39,102,2,217,365
24032,Laval/Laval,41,Laval,1,51,4,17,38,94,4,209,426
24032,Laval/Laval,42,Laval,3,52,5,20,42,95,3,220,377
24032,Laval/Laval,43,Laval,1,41,2,28,39,111,0,222,347
24032,Laval/Laval,44,Laval,1,35,6,45,69,152,5,313,597
24032,Laval/Laval,45,Laval,1,85,4,36,55,149,1,331,486
24032,Laval/Laval,46,Laval,2,27,4,24,31,94,0,182,367
24032,Laval/Laval,47,Laval,3,59,4,22,47,103,5,243,429
24032,Laval/Laval,48,Laval,3,49,3,19,20,86,5,185,400
24032,Laval/Laval,49,Laval,1,55,3,28,57,91,3,238,419
24032,Laval/Laval,50,Laval,1,38,3,28,37,87,4,198,402
24032,Laval/Laval,51,Laval,0,38,1,16,33,71,4,163,334
24032,Laval/Laval,52,Laval,0,33,5,27,41,69,2,177,311
24032,Laval/Laval,53,Laval,1,55,5,44,52,106,6,269,467
24032,Laval/Laval,54,Laval,2,37,11,8,48,99,4,209,375
24032,Laval/Laval,55,Laval,0,45,2,31,37,92,3,210,366
24032,Laval/Laval,56,Laval,0,39,3,21,70,94,1,228,452
24032,Laval/Laval,57,Laval,Void/Supprimé,,,,,,,,
24032,Laval/Laval,58,Laval,0,44,5,21,35,103,5,213,421
24032,Laval/Laval,59,Laval,0,32,2,34,63,64,9,204,390
24032,Laval/Laval,60,Laval,1,50,11,34,66,85,1,248,406
24032,Laval/Laval,61,Laval,0,43,6,31,40,86,3,209,352
24032,Laval/Laval,62,Laval,0,42,6,21,43,82,3,197,327
24032,Laval/Laval,63,Laval,1,50,11,34,66,85,1,248,351
24032,Laval/Laval,64,Laval,0,28,2,21,44,86,3,184,398
24032,Laval/Laval,65,Laval,1,37,3,13,75,71,2,202,463
24032,Laval/Laval,66,Laval,3,39,0,29,53,91,1,216,343
24032,Laval/Laval,67,Laval,0,48,2,37,56,120,3,266,437
