Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Irwin Cotler,Gabriel Dumais,Jeff Itcush,Diane Johnston,Brian Sarwer-Foner,abraham Weizfeld,Saulie Zajdel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Mount Royal/Mont-Royal"," 1","Mont-Royal",125,13,44,0,6,1,44,3,236,379
24044,"Mount Royal/Mont-Royal"," 2","Mont-Royal",114,7,33,0,3,0,43,0,200,302
24044,"Mount Royal/Mont-Royal"," 3","Mont-Royal",62,7,37,0,3,2,28,0,139,308
24044,"Mount Royal/Mont-Royal"," 4","Mont-Royal",103,4,28,1,9,0,26,1,172,363
24044,"Mount Royal/Mont-Royal"," 5","Mont-Royal",104,13,58,1,1,1,34,2,214,324
24044,"Mount Royal/Mont-Royal"," 6","Mont-Royal",92,20,78,0,3,0,22,2,217,437
24044,"Mount Royal/Mont-Royal"," 7A","Mont-Royal",Merged with No. 2/Fusionné avec le nº 2,,,,,,,,,143
24044,"Mount Royal/Mont-Royal"," 7B","Mont-Royal",102,4,75,0,3,0,47,5,236,451
24044,"Mount Royal/Mont-Royal"," 8A","Mont-Royal",Merged with No. 5/Fusionné avec le nº 5,,,,,,,,,80
24044,"Mount Royal/Mont-Royal"," 8B","Mont-Royal",91,12,54,0,7,1,26,1,192,394
24044,"Mount Royal/Mont-Royal"," 9","Mont-Royal",103,10,60,0,12,0,32,1,218,395
24044,"Mount Royal/Mont-Royal"," 10A","Mont-Royal",Merged with No. 20/Fusionné avec le nº 20,,,,,,,,,63
24044,"Mount Royal/Mont-Royal"," 10B","Mont-Royal",116,11,45,0,1,0,27,1,201,396
24044,"Mount Royal/Mont-Royal"," 11","Mont-Royal",125,28,51,0,10,0,30,3,247,448
24044,"Mount Royal/Mont-Royal"," 12","Mont-Royal",82,31,64,0,2,0,16,0,195,387
24044,"Mount Royal/Mont-Royal"," 13","Mont-Royal",97,10,31,1,5,1,17,0,162,296
24044,"Mount Royal/Mont-Royal"," 14","Mont-Royal",94,26,53,0,3,3,31,3,213,409
24044,"Mount Royal/Mont-Royal"," 15","Mont-Royal",124,17,40,0,7,0,42,2,232,423
