Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Martin Cauchon,Élise Daoust,Tommy Gaudet,Rodolphe Husny,Thomas Mulcair,Francois Pilon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Outremont/Outremont"," 1","Montréal",2,75,14,3,19,108,3,0,224,459
24047,"Outremont/Outremont"," 1-1","Montréal",2,67,20,2,14,154,6,2,267,447
24047,"Outremont/Outremont"," 2","Montréal",0,24,25,1,7,135,6,1,199,406
24047,"Outremont/Outremont"," 3","Montréal",2,29,23,2,5,220,10,1,292,446
24047,"Outremont/Outremont"," 4","Montréal",4,35,11,2,10,144,7,1,214,383
24047,"Outremont/Outremont"," 5","Montréal",2,40,27,1,14,156,9,3,252,460
24047,"Outremont/Outremont"," 6","Montréal",0,16,15,2,6,138,7,0,184,355
24047,"Outremont/Outremont"," 7","Montréal",1,38,14,0,6,158,5,1,223,388
24047,"Outremont/Outremont"," 8","Montréal",2,38,14,1,7,180,7,2,251,393
24047,"Outremont/Outremont"," 9","Montréal",1,43,18,4,5,187,16,0,274,474
24047,"Outremont/Outremont"," 10","Montréal",0,30,37,0,6,193,6,2,274,469
24047,"Outremont/Outremont"," 11","Montréal",1,35,28,1,6,176,9,1,257,437
24047,"Outremont/Outremont"," 12","Montréal",0,21,28,1,9,151,4,2,216,350
24047,"Outremont/Outremont"," 13","Montréal",1,55,22,0,10,152,4,1,245,457
24047,"Outremont/Outremont"," 14","Montréal",2,83,15,2,7,123,4,2,238,531
24047,"Outremont/Outremont"," 15","Montréal",2,56,12,3,11,166,7,0,257,503
24047,"Outremont/Outremont"," 16","Montréal",1,29,22,1,3,197,14,2,269,563
24047,"Outremont/Outremont"," 17","Montréal",0,62,20,2,9,101,3,4,201,472
24047,"Outremont/Outremont"," 18","Montréal",0,56,15,1,15,191,7,1,286,588
24047,"Outremont/Outremont"," 19","Montréal",2,45,32,1,19,173,7,1,280,577
24047,"Outremont/Outremont"," 20","Montréal",3,35,24,0,10,199,13,2,286,521
24047,"Outremont/Outremont"," 21","Montréal",0,23,36,1,3,126,3,0,192,361
24047,"Outremont/Outremont"," 22","Montréal",5,46,27,3,13,194,14,1,303,540
24047,"Outremont/Outremont"," 23","Montréal",1,57,23,1,15,191,6,3,297,491
24047,"Outremont/Outremont"," 24","Montréal",0,35,21,1,14,191,7,2,271,489
24047,"Outremont/Outremont"," 25","Montréal",2,17,14,2,2,154,8,0,199,424
24047,"Outremont/Outremont"," 26","Montréal",1,29,29,1,7,195,7,1,270,440
24047,"Outremont/Outremont"," 27","Montréal",0,9,11,1,11,62,3,0,97,196
24047,"Outremont/Outremont"," 28","Montréal",0,28,21,0,8,158,9,3,227,415
24047,"Outremont/Outremont"," 29","Montréal",0,27,11,5,7,172,3,0,225,419
24047,"Outremont/Outremont"," 30","Montréal",0,30,11,1,5,163,13,2,225,388
24047,"Outremont/Outremont"," 31","Montréal",1,44,20,0,16,189,13,3,286,552
24047,"Outremont/Outremont"," 32","Montréal",1,38,20,2,7,226,15,1,310,554
24047,"Outremont/Outremont"," 33","Montréal",0,32,11,3,15,186,12,2,261,475
24047,"Outremont/Outremont"," 34","Montréal",4,52,14,2,11,171,9,2,265,450
24047,"Outremont/Outremont"," 35","Montréal",0,41,12,1,15,137,13,2,221,464
24047,"Outremont/Outremont"," 36","Montréal",0,36,1,0,3,32,6,1,79,250
24047,"Outremont/Outremont"," 37","Montréal",2,89,9,1,13,122,5,2,243,470
24047,"Outremont/Outremont"," 38","Outremont",3,66,8,0,14,82,2,2,177,379
24047,"Outremont/Outremont"," 39","Outremont",1,79,14,0,31,111,4,1,241,534
24047,"Outremont/Outremont"," 40","Outremont",0,65,20,1,14,127,4,2,233,557
24047,"Outremont/Outremont"," 41","Outremont",0,48,20,0,6,131,6,1,212,383
24047,"Outremont/Outremont"," 42","Outremont",0,31,10,2,7,160,3,1,214,394
24047,"Outremont/Outremont"," 43","Outremont",0,56,32,0,27,180,6,3,304,569
24047,"Outremont/Outremont"," 44","Outremont",0,50,26,0,10,80,2,1,169,319
24047,"Outremont/Outremont"," 45","Outremont",0,58,24,2,19,77,6,2,188,400
24047,"Outremont/Outremont"," 46","Outremont",0,38,13,0,11,64,0,0,126,270
24047,"Outremont/Outremont"," 47","Outremont",1,99,19,0,9,124,0,0,252,424
24047,"Outremont/Outremont"," 48","Outremont",1,89,18,0,25,99,4,3,239,454
24047,"Outremont/Outremont"," 49","Outremont",0,107,14,1,23,90,0,0,235,515
24047,"Outremont/Outremont"," 50","Outremont",1,62,14,1,11,100,1,0,190,367
24047,"Outremont/Outremont"," 51","Montréal",3,73,8,0,24,84,0,1,193,374
24047,"Outremont/Outremont"," 52","Montréal",5,103,14,1,22,127,5,4,281,602
24047,"Outremont/Outremont"," 53","Outremont",2,57,30,1,9,206,6,2,313,557
24047,"Outremont/Outremont"," 54","Outremont",0,39,36,2,4,189,3,0,273,520
24047,"Outremont/Outremont"," 55","Outremont",0,44,35,2,6,204,5,0,296,467
24047,"Outremont/Outremont"," 56","Outremont",0,29,15,3,10,155,4,0,216,330
24047,"Outremont/Outremont"," 57","Outremont",2,68,32,1,11,136,3,1,254,442
24047,"Outremont/Outremont"," 58","Outremont",0,53,21,0,17,109,3,2,205,352
24047,"Outremont/Outremont"," 59","Outremont",0,50,27,1,15,117,2,3,215,388
