Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vivian Barbot,Shama Chopra,Peter Macrisopoulos,Danny Polifroni,Marcos Radhames Tejada,Justin Trudeau,Joseph Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Papineau/Papineau"," 1","Montréal",18,17,3,4,26,64,0,0,132,398
24048,"Papineau/Papineau"," 2A","Montréal",29,7,0,5,39,64,1,4,149,263
24048,"Papineau/Papineau"," 2B","Montréal",16,5,0,0,42,57,1,3,124,276
24048,"Papineau/Papineau"," 3","Montréal",40,14,1,0,57,88,0,2,202,417
24048,"Papineau/Papineau"," 4","Montréal",35,12,0,6,59,62,0,2,176,393
24048,"Papineau/Papineau"," 5","Montréal",41,11,1,3,67,49,0,0,172,473
24048,"Papineau/Papineau"," 6","Montréal",25,15,2,4,38,62,0,0,146,383
24048,"Papineau/Papineau"," 7","Montréal",33,15,2,4,41,87,0,7,189,446
24048,"Papineau/Papineau"," 8","Montréal",21,12,2,2,30,88,0,3,158,349
24048,"Papineau/Papineau"," 9","Montréal",26,16,4,3,48,74,0,3,174,379
24048,"Papineau/Papineau"," 10","Montréal",34,9,0,5,45,66,0,0,159,395
24048,"Papineau/Papineau"," 11","Montréal",37,13,1,3,47,73,0,0,174,422
24048,"Papineau/Papineau"," 12","Montréal",30,10,0,2,57,62,0,3,164,350
24048,"Papineau/Papineau"," 13","Montréal",44,3,0,1,42,66,0,0,156,368
24048,"Papineau/Papineau"," 14","Montréal",24,8,0,1,37,41,1,3,115,290
24048,"Papineau/Papineau"," 15","Montréal",24,9,0,4,36,63,1,5,142,371
24048,"Papineau/Papineau"," 16","Montréal",39,11,1,3,43,65,1,3,166,433
24048,"Papineau/Papineau"," 17","Montréal",61,10,0,9,65,84,2,3,234,411
24048,"Papineau/Papineau"," 18","Montréal",32,15,1,3,48,95,0,0,194,473
24048,"Papineau/Papineau"," 19","Montréal",21,26,0,1,46,141,1,9,245,440
24048,"Papineau/Papineau"," 20","Montréal",27,17,2,3,60,85,2,4,200,428
24048,"Papineau/Papineau"," 21","Montréal",18,22,0,4,47,109,2,2,204,376
24048,"Papineau/Papineau"," 22","Montréal",23,8,2,1,58,83,2,2,179,368
24048,"Papineau/Papineau"," 23","Montréal",50,9,2,1,31,83,0,2,178,393
24048,"Papineau/Papineau"," 24","Montréal",42,17,0,3,56,102,0,3,223,452
24048,"Papineau/Papineau"," 25","Montréal",50,19,0,5,44,118,1,3,240,412
24048,"Papineau/Papineau"," 26","Montréal",48,20,1,2,38,67,0,2,178,366
24048,"Papineau/Papineau"," 27","Montréal",52,11,3,4,57,91,2,4,224,445
24048,"Papineau/Papineau"," 28A","Montréal",35,14,0,3,48,41,0,0,141,252
24048,"Papineau/Papineau"," 28B","Montréal",36,11,1,0,53,49,0,3,153,254
24048,"Papineau/Papineau"," 29A","Montréal",37,5,1,1,43,43,1,1,132,239
24048,"Papineau/Papineau"," 29B","Montréal",37,6,0,1,38,41,0,4,127,245
24048,"Papineau/Papineau"," 30","Montréal",22,6,1,3,49,68,1,0,150,325
24048,"Papineau/Papineau"," 31","Montréal",51,8,1,6,64,44,0,3,177,442
24048,"Papineau/Papineau"," 32","Montréal",40,5,1,4,47,76,0,1,174,367
24048,"Papineau/Papineau"," 33","Montréal",47,12,0,3,50,103,1,2,218,357
24048,"Papineau/Papineau"," 34","Montréal",38,9,0,5,62,80,0,1,195,366
24048,"Papineau/Papineau"," 35","Montréal",60,12,1,6,45,75,3,6,208,449
24048,"Papineau/Papineau"," 36","Montréal",58,14,0,6,72,50,0,1,201,382
24048,"Papineau/Papineau"," 37","Montréal",80,5,1,6,75,46,0,2,215,371
24048,"Papineau/Papineau"," 38","Montréal",99,9,0,8,102,38,0,9,265,413
24048,"Papineau/Papineau"," 39","Montréal",81,7,2,7,85,77,0,3,262,459
