Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Richard Côté,Claudine Delorme,Élaine Michaud,Réjean Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 1","Stoneham-et-Tewkesbury",32,55,7,100,6,6,206,411
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 2","Stoneham-et-Tewkesbury",49,42,4,94,3,5,197,412
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 3A","Stoneham-et-Tewkesbury",46,22,4,90,13,2,177,410
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 3B","Stoneham-et-Tewkesbury",68,28,9,72,6,9,192,431
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 4","Stoneham-et-Tewkesbury",74,30,5,122,17,2,250,489
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 5","Stoneham-et-Tewkesbury",80,60,11,127,14,2,294,594
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 6","Stoneham-et-Tewkesbury",81,37,3,122,13,5,261,487
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 6-1","Stoneham-et-Tewkesbury",59,26,5,108,15,5,218,423
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 7","Stoneham-et-Tewkesbury",29,21,3,71,10,2,136,310
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 8","Stoneham-et-Tewkesbury",80,85,11,166,20,2,364,635
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 9","Stoneham-et-Tewkesbury",43,28,2,86,12,2,173,360
