Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rhéal Blais,Charles Cartier,Krista Lalonde,Louis Plamondon,Anne-Marie Tanguay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 1","Deschaillons-sur-Saint-Laurent",5,25,43,25,2,4,104,165
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 2","Deschaillons-sur-Saint-Laurent",20,66,59,50,5,1,201,363
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 3","Deschaillons-sur-Saint-Laurent",18,31,65,33,3,1,151,248
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 4","Parisville",29,64,90,68,6,4,261,422
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 5","Fortierville",18,60,76,48,4,4,210,320
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 5-1","Fortierville",10,30,35,43,2,5,125,225
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 6","Sainte-Françoise",30,59,96,42,8,1,236,377
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 7","Saint-Pierre-les-Becquets",18,20,55,51,6,1,151,290
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 8","Saint-Pierre-les-Becquets",28,36,74,50,1,6,195,319
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 9","Saint-Pierre-les-Becquets",5,27,76,78,7,2,195,355
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 10","Sainte-Cécile-de-Lévrard",4,31,69,52,10,2,168,272
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 11","Sainte-Sophie-de-Lévrard",6,18,44,55,1,1,125,237
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 12","Sainte-Sophie-de-Lévrard",20,29,99,56,4,7,215,362
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 13","Saint-Joseph-de-Blandford",8,45,69,52,5,7,186,317
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 14","Manseau",23,42,81,64,4,4,218,399
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 15","Sainte-Marie-de-Blandford",25,42,100,75,6,3,251,406
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 16","Lemieux",19,31,44,45,7,6,152,249
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 17","Bécancour",18,33,101,74,1,3,230,420
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 18","Bécancour",18,71,117,94,9,8,317,493
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 19","Bécancour",19,26,63,90,3,8,209,317
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 20","Bécancour",11,32,88,60,6,0,197,338
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 21","Bécancour",16,26,87,84,9,10,232,414
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 22","Bécancour",16,39,82,62,7,4,210,366
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 23","Bécancour",13,63,86,87,5,2,256,435
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 24","Saint-Sylvère",14,43,74,76,10,2,219,368
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 25","Bécancour",10,18,81,55,1,5,170,365
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 26","Bécancour",18,41,148,94,10,7,318,556
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 27","Bécancour",30,59,116,87,13,4,309,465
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 28","Saint-Sylvère",24,47,83,54,6,11,225,305
24054,"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 29","Bécancour",16,18,82,55,3,1,175,307
