Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Audette,Jacques Grenier,Jean-Yves Laforest,Lise St-Denis,Yves Tousignant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 1","Radisson",5,4,5,17,2,0,33,54
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 2","Obedjiwan 28",4,4,8,127,21,0,164,1057
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 3","Wemotaci",10,12,9,75,44,0,150,650
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 4","Parent",8,14,45,64,5,4,140,280
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 5","Coucoucache 24A",Void/Supprimé,,,,,,,
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 6","La Croche",5,15,62,76,25,6,189,424
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 7","Lac-Édouard",0,16,8,54,12,2,92,134
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 8","La Bostonnais",9,21,70,71,51,10,232,456
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 9","La Tuque",0,13,26,34,20,2,95,217
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 10","La Tuque",6,32,67,101,52,0,258,532
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 11","La Tuque",3,15,49,68,31,6,172,398
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 12","Haute-Mauricie",2,22,34,57,26,5,146,450
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 13","Grande Anse",0,14,15,33,16,1,79,132
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 14","La Tuque",9,24,52,88,55,10,238,467
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 15","Saint-Joseph-de-Mékinac",2,45,38,61,13,4,163,275
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 16","La Tuque",1,7,18,22,13,4,65,293
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 17","La Tuque",4,18,33,48,22,4,129,374
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 18","La Tuque",1,28,58,53,49,2,191,426
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 19","La Tuque",1,16,51,53,40,2,163,341
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 20","La Tuque",4,22,33,39,34,2,134,328
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 21","La Tuque",1,16,39,32,25,3,116,310
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 22","La Tuque",2,14,32,33,17,1,99,337
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 23","La Tuque",0,8,25,38,28,6,105,299
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 24","La Tuque",1,7,18,16,29,0,71,277
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 25","La Tuque",3,15,19,31,13,4,85,267
