Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Braden,Jamilé Ghaddar,Anthony Giles,Nancy MacBain,Peter Michael Ormond,David Sweet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 1","Flamborough",23,0,0,28,5,105,0,161,281
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 2","Flamborough",48,1,0,17,16,95,0,177,335
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 3","Flamborough",25,0,1,32,6,108,0,172,320
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 4A","Flamborough",26,0,1,32,7,94,1,161,325
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 4B","Flamborough",24,0,1,22,14,94,0,155,294
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 5","Flamborough",Void/Supprimé,,,,,,,,
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 6","Flamborough",38,0,1,39,10,138,1,227,370
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 7","Flamborough",46,0,1,21,9,156,0,233,405
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 8","Flamborough",29,0,0,23,9,89,0,150,271
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 9","Flamborough",57,0,0,39,11,160,0,267,453
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 10","Flamborough",32,0,0,9,5,109,1,156,306
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 11","Flamborough",48,0,0,11,8,130,0,197,345
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 12","Flamborough",38,0,0,31,5,141,0,215,400
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 13","Flamborough",38,1,1,12,13,115,1,181,329
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 14","Flamborough",39,0,1,24,16,121,0,201,322
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 15","Flamborough",24,0,0,23,4,94,0,145,332
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 16","Flamborough",17,0,0,30,12,132,0,191,313
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 17","Flamborough",25,0,0,23,5,97,0,150,294
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 18","Flamborough",25,0,0,17,9,128,1,180,305
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 19","Flamborough",51,0,1,38,10,159,0,259,404
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 20","Flamborough",38,0,2,101,26,208,1,376,581
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 21","Flamborough",45,0,1,64,10,263,3,386,551
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 22","Flamborough",40,0,1,35,9,113,0,198,317
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 23","Flamborough",16,1,1,52,9,125,0,204,322
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 24","Flamborough",42,2,1,31,12,197,3,288,475
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 25","Flamborough",25,0,0,14,3,142,0,184,282
