Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Daniel,Mary Trapani Hynes,Ryan Kidd,Yasmin Ratansi,Akil Sadikali,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35016,"Don Valley East/Don Valley-Est"," 1","North York",63,34,0,67,9,2,175,365
35016,"Don Valley East/Don Valley-Est"," 2","North York",56,11,1,58,8,1,135,287
35016,"Don Valley East/Don Valley-Est"," 2-1","North York",80,25,7,66,2,1,181,347
35016,"Don Valley East/Don Valley-Est"," 3","North York",70,36,0,62,13,2,183,377
35016,"Don Valley East/Don Valley-Est"," 4","North York",83,67,3,89,7,3,252,493
35016,"Don Valley East/Don Valley-Est"," 5","North York",94,48,0,86,12,1,241,449
35016,"Don Valley East/Don Valley-Est"," 6","North York",80,61,1,71,7,0,220,455
35016,"Don Valley East/Don Valley-Est"," 7","North York",62,58,0,48,1,0,169,370
35016,"Don Valley East/Don Valley-Est"," 8","North York",53,51,0,36,5,1,146,350
35016,"Don Valley East/Don Valley-Est"," 9","North York",48,77,0,99,5,0,229,453
35016,"Don Valley East/Don Valley-Est"," 10","North York",41,42,0,42,5,0,130,300
35016,"Don Valley East/Don Valley-Est"," 11","North York",63,63,2,74,8,0,210,398
35016,"Don Valley East/Don Valley-Est"," 12","North York",41,37,1,72,8,0,159,334
35016,"Don Valley East/Don Valley-Est"," 13","North York",Void/Supprimé,,,,,,,
35016,"Don Valley East/Don Valley-Est"," 14","North York",81,55,2,82,1,4,225,430
35016,"Don Valley East/Don Valley-Est"," 15","North York",108,49,2,111,9,1,280,501
35016,"Don Valley East/Don Valley-Est"," 16","North York",109,49,4,93,2,1,258,449
35016,"Don Valley East/Don Valley-Est"," 17","North York",62,40,3,62,2,1,170,354
35016,"Don Valley East/Don Valley-Est"," 18","North York",44,44,6,63,2,0,159,353
35016,"Don Valley East/Don Valley-Est"," 19","North York",86,35,13,57,3,1,195,380
35016,"Don Valley East/Don Valley-Est"," 20","North York",58,39,1,66,2,0,166,363
35016,"Don Valley East/Don Valley-Est"," 21","North York",71,46,4,55,4,2,182,370
35016,"Don Valley East/Don Valley-Est"," 22","North York",54,62,0,64,5,2,187,416
35016,"Don Valley East/Don Valley-Est"," 23","North York",74,53,3,61,4,0,195,431
35016,"Don Valley East/Don Valley-Est"," 24","North York",62,49,1,69,3,0,184,470
35016,"Don Valley East/Don Valley-Est"," 25","North York",64,50,1,70,4,0,189,473
35016,"Don Valley East/Don Valley-Est"," 26","North York",79,43,0,51,8,3,184,407
35016,"Don Valley East/Don Valley-Est"," 27","North York",61,51,4,40,6,0,162,403
35016,"Don Valley East/Don Valley-Est"," 28","North York",47,39,0,44,6,4,140,391
35016,"Don Valley East/Don Valley-Est"," 29","North York",64,35,1,92,5,0,197,390
35016,"Don Valley East/Don Valley-Est"," 30","North York",66,31,1,81,5,2,186,378
35016,"Don Valley East/Don Valley-Est"," 31","North York",69,24,5,61,9,1,169,370
35016,"Don Valley East/Don Valley-Est"," 32","North York",66,65,0,101,9,0,241,429
35016,"Don Valley East/Don Valley-Est"," 33","North York",48,41,0,44,6,0,139,338
35016,"Don Valley East/Don Valley-Est"," 34","North York",61,54,4,55,10,0,184,392
35016,"Don Valley East/Don Valley-Est"," 35","North York",76,64,0,64,2,0,206,395
35016,"Don Valley East/Don Valley-Est"," 36","North York",55,79,2,59,1,0,196,477
35016,"Don Valley East/Don Valley-Est"," 37","North York",25,26,1,11,1,0,64,213
35016,"Don Valley East/Don Valley-Est"," 38","North York",48,61,0,35,4,1,149,414
35016,"Don Valley East/Don Valley-Est"," 39","North York",38,68,4,68,5,2,185,404
35016,"Don Valley East/Don Valley-Est"," 40","North York",56,46,2,25,1,0,130,293
35016,"Don Valley East/Don Valley-Est"," 41","North York",52,40,0,48,0,0,140,305
35016,"Don Valley East/Don Valley-Est"," 42","North York",53,59,4,42,1,0,159,361
35016,"Don Valley East/Don Valley-Est"," 43","North York",57,62,1,54,5,3,182,387
35016,"Don Valley East/Don Valley-Est"," 44","North York",51,56,1,30,2,0,140,423
35016,"Don Valley East/Don Valley-Est"," 44-1","North York",48,65,3,73,6,1,196,429
35016,"Don Valley East/Don Valley-Est"," 45","North York",37,33,1,31,4,1,107,237
35016,"Don Valley East/Don Valley-Est"," 46","North York",52,40,0,48,3,0,143,277
35016,"Don Valley East/Don Valley-Est"," 47","North York",66,54,0,61,5,1,187,356
35016,"Don Valley East/Don Valley-Est"," 48","North York",74,47,0,74,6,0,201,390
35016,"Don Valley East/Don Valley-Est"," 49","North York",68,40,0,52,4,0,164,290
35016,"Don Valley East/Don Valley-Est"," 50","North York",74,34,0,68,8,0,184,392
35016,"Don Valley East/Don Valley-Est"," 51","North York",80,40,0,63,7,1,191,372
35016,"Don Valley East/Don Valley-Est"," 52","North York",119,31,1,54,4,1,210,336
35016,"Don Valley East/Don Valley-Est"," 53","North York",95,44,0,67,7,0,213,363
35016,"Don Valley East/Don Valley-Est"," 54","North York",80,44,0,73,4,0,201,359
35016,"Don Valley East/Don Valley-Est"," 55","North York",95,50,0,70,10,0,225,392
35016,"Don Valley East/Don Valley-Est"," 56","North York",77,73,1,41,1,0,193,465
35016,"Don Valley East/Don Valley-Est"," 57","North York",4,8,0,8,1,0,21,89
35016,"Don Valley East/Don Valley-Est"," 58","North York",84,89,2,55,8,0,238,547
35016,"Don Valley East/Don Valley-Est"," 59","North York",21,57,1,42,3,1,125,239
35016,"Don Valley East/Don Valley-Est"," 60","North York",50,36,1,60,3,0,150,257
35016,"Don Valley East/Don Valley-Est"," 61","North York",41,56,2,39,4,0,142,338
35016,"Don Valley East/Don Valley-Est"," 62","North York",82,34,1,83,4,3,207,359
35016,"Don Valley East/Don Valley-Est"," 63","North York",90,43,2,73,3,1,212,385
35016,"Don Valley East/Don Valley-Est"," 64","North York",79,38,2,106,11,5,241,395
35016,"Don Valley East/Don Valley-Est"," 65","North York",82,35,4,62,6,0,189,363
35016,"Don Valley East/Don Valley-Est"," 66","North York",79,50,1,45,7,1,183,324
35016,"Don Valley East/Don Valley-Est"," 67","North York",84,65,1,67,1,0,218,397
35016,"Don Valley East/Don Valley-Est"," 68","North York",45,28,1,86,10,1,171,319
35016,"Don Valley East/Don Valley-Est"," 69","North York",88,40,2,65,7,2,204,399
35016,"Don Valley East/Don Valley-Est"," 70","North York",58,54,0,89,9,0,210,418
35016,"Don Valley East/Don Valley-Est"," 71","North York",114,82,5,92,10,5,308,527
35016,"Don Valley East/Don Valley-Est"," 72","North York",74,56,0,67,5,0,202,383
35016,"Don Valley East/Don Valley-Est"," 73","North York",98,56,2,75,6,0,237,486
35016,"Don Valley East/Don Valley-Est"," 74","North York",45,73,1,81,4,3,207,368
35016,"Don Valley East/Don Valley-Est"," 75","North York",63,69,1,77,8,0,218,467
35016,"Don Valley East/Don Valley-Est"," 76","North York",Void/Supprimé,,,,,,,
35016,"Don Valley East/Don Valley-Est"," 77","North York",Void/Supprimé,,,,,,,
35016,"Don Valley East/Don Valley-Est"," 78","North York",Void/Supprimé,,,,,,,
35016,"Don Valley East/Don Valley-Est"," 79","North York",60,63,0,88,1,0,212,397
35016,"Don Valley East/Don Valley-Est"," 80","North York",108,27,0,76,13,1,225,390
35016,"Don Valley East/Don Valley-Est"," 81","North York",76,41,0,69,6,1,193,378
35016,"Don Valley East/Don Valley-Est"," 82","North York",101,27,0,53,6,0,187,303
35016,"Don Valley East/Don Valley-Est"," 83","North York",122,41,1,77,10,2,253,384
35016,"Don Valley East/Don Valley-Est"," 84","North York",137,36,0,65,17,0,255,404
35016,"Don Valley East/Don Valley-Est"," 85","North York",114,26,0,65,8,1,214,426
35016,"Don Valley East/Don Valley-Est"," 86","North York",91,48,0,86,4,2,231,447
35016,"Don Valley East/Don Valley-Est"," 87","North York",63,54,1,43,4,0,165,348
35016,"Don Valley East/Don Valley-Est"," 88","North York",48,55,2,32,2,0,139,435
35016,"Don Valley East/Don Valley-Est"," 89","North York",52,40,1,45,4,1,143,437
35016,"Don Valley East/Don Valley-Est"," 90","North York",93,28,1,77,6,2,207,323
35016,"Don Valley East/Don Valley-Est"," 90-1","North York",40,50,0,29,6,2,127,259
35016,"Don Valley East/Don Valley-Est"," 91","North York",103,40,1,90,16,3,253,374
35016,"Don Valley East/Don Valley-Est"," 92","North York",56,43,0,61,8,2,170,387
35016,"Don Valley East/Don Valley-Est"," 93","North York",45,50,1,23,5,2,126,236
35016,"Don Valley East/Don Valley-Est"," 93-1","North York",81,41,0,80,3,0,205,453
35016,"Don Valley East/Don Valley-Est"," 93-2","North York",88,49,0,83,8,3,231,479
35016,"Don Valley East/Don Valley-Est"," 94","North York",45,44,2,64,9,1,165,331
35016,"Don Valley East/Don Valley-Est"," 95","North York",59,45,4,73,1,1,183,350
35016,"Don Valley East/Don Valley-Est"," 96","North York",88,46,2,64,5,1,206,369
35016,"Don Valley East/Don Valley-Est"," 97","North York",80,45,0,44,3,0,172,327
35016,"Don Valley East/Don Valley-Est"," 98","North York",60,38,0,58,3,0,159,288
35016,"Don Valley East/Don Valley-Est"," 99","North York",59,61,2,43,3,0,168,313
35016,"Don Valley East/Don Valley-Est"," 100","North York",52,68,1,45,7,1,174,358
35016,"Don Valley East/Don Valley-Est"," 101","North York",58,57,3,39,5,0,162,414
35016,"Don Valley East/Don Valley-Est"," 102","North York",83,43,0,78,4,1,209,380
35016,"Don Valley East/Don Valley-Est"," 103","North York",105,63,1,76,5,2,252,444
