Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Beals,Alicia Gordon,Ted Hsu,Eric Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Kingston and the Islands/Kingston et les Îles"," 1","Kingston",33,89,66,6,0,194,350
35036,"Kingston and the Islands/Kingston et les Îles"," 2","Kingston",31,58,37,1,0,127,261
35036,"Kingston and the Islands/Kingston et les Îles"," 3","Kingston",48,110,55,8,1,222,377
35036,"Kingston and the Islands/Kingston et les Îles"," 4","Kingston",60,119,65,4,1,249,434
35036,"Kingston and the Islands/Kingston et les Îles"," 5","Kingston",40,100,45,7,2,194,356
35036,"Kingston and the Islands/Kingston et les Îles"," 6","Kingston",29,85,42,6,2,164,344
35036,"Kingston and the Islands/Kingston et les Îles"," 7","Kingston",42,63,44,5,0,154,430
35036,"Kingston and the Islands/Kingston et les Îles"," 8","Kingston",40,72,45,8,1,166,322
35036,"Kingston and the Islands/Kingston et les Îles"," 9","Kingston",31,84,43,8,0,166,292
35036,"Kingston and the Islands/Kingston et les Îles"," 10","Kingston",60,96,47,4,0,207,364
35036,"Kingston and the Islands/Kingston et les Îles"," 11","Kingston",45,105,49,4,1,204,320
35036,"Kingston and the Islands/Kingston et les Îles"," 12","Kingston",51,92,63,6,2,214,448
35036,"Kingston and the Islands/Kingston et les Îles"," 13","Kingston",51,83,42,6,0,182,399
35036,"Kingston and the Islands/Kingston et les Îles"," 14","Kingston",28,53,29,9,0,119,283
35036,"Kingston and the Islands/Kingston et les Îles"," 15","Kingston",54,91,41,7,0,193,366
35036,"Kingston and the Islands/Kingston et les Îles"," 16","Kingston",42,94,64,14,0,214,467
35036,"Kingston and the Islands/Kingston et les Îles"," 17","Kingston",60,113,69,7,0,249,455
35036,"Kingston and the Islands/Kingston et les Îles"," 18","Kingston",52,80,76,4,2,214,501
35036,"Kingston and the Islands/Kingston et les Îles"," 18-1","Kingston",54,86,92,6,2,240,598
35036,"Kingston and the Islands/Kingston et les Îles"," 19","Kingston",33,103,71,8,0,215,485
35036,"Kingston and the Islands/Kingston et les Îles"," 19-1","Kingston",32,41,35,7,0,115,233
35036,"Kingston and the Islands/Kingston et les Îles"," 19-2A","Kingston",34,70,55,4,0,163,297
35036,"Kingston and the Islands/Kingston et les Îles"," 19-2B","Kingston",39,61,62,6,0,168,299
35036,"Kingston and the Islands/Kingston et les Îles"," 20","Kingston",45,106,69,5,0,225,439
35036,"Kingston and the Islands/Kingston et les Îles"," 21","Kingston",51,94,78,10,3,236,425
35036,"Kingston and the Islands/Kingston et les Îles"," 22A","Kingston",34,65,33,7,0,139,267
35036,"Kingston and the Islands/Kingston et les Îles"," 22B","Kingston",48,67,36,1,0,152,279
35036,"Kingston and the Islands/Kingston et les Îles"," 23","Kingston",62,92,62,10,0,226,487
35036,"Kingston and the Islands/Kingston et les Îles"," 23-1A","Kingston",23,82,29,1,0,135,287
35036,"Kingston and the Islands/Kingston et les Îles"," 23-1B","Kingston",48,74,39,5,0,166,297
35036,"Kingston and the Islands/Kingston et les Îles"," 24","Kingston",72,96,54,12,0,234,473
35036,"Kingston and the Islands/Kingston et les Îles"," 25","Kingston",81,91,40,11,1,224,529
35036,"Kingston and the Islands/Kingston et les Îles"," 26A","Kingston",67,104,48,13,0,232,541
35036,"Kingston and the Islands/Kingston et les Îles"," 26B","Kingston",Merged with No. 27/Fusionné avec le nº 27,,,,,,20
35036,"Kingston and the Islands/Kingston et les Îles"," 27","Kingston",38,68,58,3,0,167,273
35036,"Kingston and the Islands/Kingston et les Îles"," 27-1","Kingston",42,82,87,10,0,221,496
35036,"Kingston and the Islands/Kingston et les Îles"," 27-2","Kingston",44,84,46,3,1,178,308
35036,"Kingston and the Islands/Kingston et les Îles"," 28","Kingston",47,73,85,2,1,208,515
35036,"Kingston and the Islands/Kingston et les Îles"," 29","Kingston",49,72,84,7,2,214,474
35036,"Kingston and the Islands/Kingston et les Îles"," 30","Kingston",43,73,82,8,0,206,392
35036,"Kingston and the Islands/Kingston et les Îles"," 31","Kingston",45,72,65,14,1,197,379
35036,"Kingston and the Islands/Kingston et les Îles"," 32","Kingston",42,71,92,1,0,206,389
35036,"Kingston and the Islands/Kingston et les Îles"," 33","Kingston",21,75,81,4,3,184,336
35036,"Kingston and the Islands/Kingston et les Îles"," 34","Kingston",36,80,107,12,0,235,422
35036,"Kingston and the Islands/Kingston et les Îles"," 35","Kingston",33,82,60,3,0,178,346
35036,"Kingston and the Islands/Kingston et les Îles"," 36","Kingston",48,52,84,4,0,188,378
35036,"Kingston and the Islands/Kingston et les Îles"," 37","Kingston",27,87,73,6,0,193,356
35036,"Kingston and the Islands/Kingston et les Îles"," 38","Kingston",42,122,116,8,0,288,519
35036,"Kingston and the Islands/Kingston et les Îles"," 39","Kingston",56,95,77,2,0,230,453
35036,"Kingston and the Islands/Kingston et les Îles"," 40","Kingston",71,82,68,11,0,232,373
35036,"Kingston and the Islands/Kingston et les Îles"," 41","Kingston",78,80,69,15,0,242,557
35036,"Kingston and the Islands/Kingston et les Îles"," 42","Kingston",Merged with No. 43/Fusionné avec le nº 43,,,,,,199
35036,"Kingston and the Islands/Kingston et les Îles"," 43","Kingston",71,95,70,10,0,246,299
35036,"Kingston and the Islands/Kingston et les Îles"," 44","Kingston",59,65,39,2,2,167,390
35036,"Kingston and the Islands/Kingston et les Îles"," 45","Kingston",62,69,25,5,1,162,411
35036,"Kingston and the Islands/Kingston et les Îles"," 46","Kingston",85,50,55,8,0,198,377
35036,"Kingston and the Islands/Kingston et les Îles"," 47","Kingston",73,55,35,3,0,166,425
35036,"Kingston and the Islands/Kingston et les Îles"," 48","Kingston",56,49,43,3,0,151,422
35036,"Kingston and the Islands/Kingston et les Îles"," 49","Kingston",33,28,29,5,1,96,315
35036,"Kingston and the Islands/Kingston et les Îles"," 50","Kingston",65,68,39,11,0,183,443
35036,"Kingston and the Islands/Kingston et les Îles"," 51","Kingston",52,60,31,4,1,148,339
35036,"Kingston and the Islands/Kingston et les Îles"," 52","Kingston",40,33,19,4,0,96,383
35036,"Kingston and the Islands/Kingston et les Îles"," 53","Kingston",56,26,21,6,0,109,483
35036,"Kingston and the Islands/Kingston et les Îles"," 54","Kingston",70,42,26,5,0,143,455
35036,"Kingston and the Islands/Kingston et les Îles"," 55","Kingston",58,46,38,1,1,144,438
35036,"Kingston and the Islands/Kingston et les Îles"," 56","Kingston",78,90,38,5,1,212,524
35036,"Kingston and the Islands/Kingston et les Îles"," 56-1","Kingston",Void/Supprimé,,,,,,
35036,"Kingston and the Islands/Kingston et les Îles"," 57A","Kingston",55,50,43,7,1,156,290
35036,"Kingston and the Islands/Kingston et les Îles"," 57B","Kingston",44,47,46,7,0,144,287
35036,"Kingston and the Islands/Kingston et les Îles"," 58","Kingston",52,65,30,4,1,152,409
35036,"Kingston and the Islands/Kingston et les Îles"," 59","Kingston",52,46,39,9,0,146,399
35036,"Kingston and the Islands/Kingston et les Îles"," 60","Kingston",46,66,76,15,1,204,406
35036,"Kingston and the Islands/Kingston et les Îles"," 61","Kingston",82,61,56,7,2,208,458
35036,"Kingston and the Islands/Kingston et les Îles"," 62","Kingston",41,29,38,4,0,112,316
35036,"Kingston and the Islands/Kingston et les Îles"," 63","Kingston",46,49,25,10,0,130,313
35036,"Kingston and the Islands/Kingston et les Îles"," 64","Kingston",67,32,51,7,0,157,395
35036,"Kingston and the Islands/Kingston et les Îles"," 65","Kingston",66,64,48,8,0,186,536
35036,"Kingston and the Islands/Kingston et les Îles"," 66","Kingston",74,64,29,11,1,179,549
35036,"Kingston and the Islands/Kingston et les Îles"," 67","Kingston",Void/Supprimé,,,,,,
35036,"Kingston and the Islands/Kingston et les Îles"," 68","Kingston",52,79,53,17,0,201,410
35036,"Kingston and the Islands/Kingston et les Îles"," 69","Kingston",60,58,69,7,0,194,378
35036,"Kingston and the Islands/Kingston et les Îles"," 70","Kingston",65,64,39,10,0,178,388
35036,"Kingston and the Islands/Kingston et les Îles"," 71","Kingston",38,72,81,8,0,199,418
35036,"Kingston and the Islands/Kingston et les Îles"," 72","Kingston",61,88,69,9,0,227,450
35036,"Kingston and the Islands/Kingston et les Îles"," 73","Kingston",41,65,65,1,1,173,372
35036,"Kingston and the Islands/Kingston et les Îles"," 74","Kingston",64,84,72,4,0,224,389
35036,"Kingston and the Islands/Kingston et les Îles"," 75","Kingston",55,51,57,7,2,172,331
35036,"Kingston and the Islands/Kingston et les Îles"," 76","Kingston",49,32,33,5,1,120,339
35036,"Kingston and the Islands/Kingston et les Îles"," 77","Kingston",53,77,84,6,1,221,356
35036,"Kingston and the Islands/Kingston et les Îles"," 78","Kingston",60,103,67,13,0,243,444
35036,"Kingston and the Islands/Kingston et les Îles"," 79","Kingston",59,105,80,13,0,257,435
35036,"Kingston and the Islands/Kingston et les Îles"," 80","Kingston",31,95,72,4,0,202,383
35036,"Kingston and the Islands/Kingston et les Îles"," 81","Kingston",45,104,80,11,0,240,429
35036,"Kingston and the Islands/Kingston et les Îles"," 82","Kingston",43,84,62,10,1,200,385
35036,"Kingston and the Islands/Kingston et les Îles"," 83","Kingston",50,113,75,7,0,245,542
35036,"Kingston and the Islands/Kingston et les Îles"," 84","Kingston",43,90,57,8,1,199,440
35036,"Kingston and the Islands/Kingston et les Îles"," 85","Kingston",28,47,40,5,0,120,258
35036,"Kingston and the Islands/Kingston et les Îles"," 86A","Kingston",37,70,65,6,0,178,296
35036,"Kingston and the Islands/Kingston et les Îles"," 86B","Kingston",26,74,77,11,1,189,284
35036,"Kingston and the Islands/Kingston et les Îles"," 87","Kingston",48,78,38,7,1,172,295
35036,"Kingston and the Islands/Kingston et les Îles"," 88","Kingston",51,46,78,9,0,184,344
