Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Albert Ashley,Lorne Bruce,Bob Rosehart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 1","Floradale",96,4,15,23,0,138,327
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 2","Woolwich",60,4,17,17,0,98,256
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 3","West Montrose",129,13,18,37,0,197,429
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 4","Winterbourne",181,7,32,107,0,327,574
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 5","Winterbourne",144,11,25,63,0,243,446
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 6","Maryhill",168,11,44,47,2,272,443
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 7","Maryhill",159,9,43,52,0,263,412
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 8","Breslau",68,7,8,17,0,100,178
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 9A","Breslau",121,10,41,42,1,215,380
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 9B","Breslau",129,4,38,31,0,202,359
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 10A","Breslau",159,12,39,47,0,257,443
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 10B","Breslau",150,17,48,58,0,273,451
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 11","Bloomingdale",126,6,36,39,0,207,329
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 12","Conestogo",154,20,45,68,1,288,472
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 13","Woolwich",101,2,21,22,2,148,289
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 13-1","Woolwich",79,5,23,22,0,129,263
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 14","St. Jacobs",118,7,14,48,1,188,263
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 15","St. Jacobs",230,8,61,108,0,407,594
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 16","St. Jacobs",90,12,39,46,1,188,291
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 17","Woolwich",58,4,16,25,0,103,206
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 18","Woolwich",56,4,11,19,0,90,194
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 19","Heidelberg",208,15,50,79,0,352,577
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 20","Woolwich",42,1,4,15,0,62,294
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 21","Woolwich",160,10,57,32,2,261,439
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 22","Woolwich",111,6,44,34,0,195,350
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 23","Woolwich",136,13,35,38,2,224,388
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 24","Woolwich",79,7,31,32,0,149,296
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 25","Woolwich",151,15,74,53,0,293,536
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 26","Woolwich",196,11,70,66,0,343,563
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 26-1","Woolwich",192,10,70,36,0,308,603
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 27","Woolwich",130,9,34,53,1,227,423
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 28","Woolwich",122,5,33,38,0,198,371
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 29","Woolwich",122,5,21,34,0,182,328
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 30","Woolwich",117,4,17,26,0,164,321
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 31","Woolwich",132,8,38,37,1,216,401
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 32","Woolwich",100,9,39,24,1,173,352
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 33","Woolwich",87,5,32,25,0,149,298
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 34","Woolwich",91,14,43,27,0,175,378
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 35A","Woolwich",127,4,26,26,1,184,369
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 35B","Woolwich",121,4,20,31,0,176,320
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 36","Woolwich",112,4,35,31,0,182,325
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 37","Wellesley",118,5,14,20,1,158,357
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 38","Wellesley",23,3,6,5,0,37,323
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 39","Linwood",112,9,27,24,2,174,386
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 40","Linwood",105,6,46,38,1,196,468
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 41","Wellesley",32,3,6,10,0,51,221
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 42","Wellesley",65,7,15,9,0,96,282
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 43","Wellesley",118,8,39,49,0,214,341
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 43-1","Wellesley",141,11,49,51,1,253,397
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 44","Wellesley",166,15,72,47,1,301,460
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 45","Wellesley",150,13,43,30,1,237,355
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 45-1","Wellesley",189,7,32,66,0,294,490
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 46","Wellesley",95,9,19,22,0,145,326
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 47","Wellesley",130,7,28,49,0,214,480
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 48","St. Clements",171,9,34,28,1,243,368
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 49","St. Clements",182,15,33,46,1,277,467
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 50","Wellesley",178,9,41,63,0,291,519
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 51","Wilmot",127,6,14,42,1,190,311
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 52","Wilmot",147,18,33,34,0,232,380
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 53A","Wilmot",111,9,44,35,2,201,375
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 53B","Wilmot",112,11,43,19,0,185,357
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 53C","Wilmot",104,9,39,38,0,190,373
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 54","Wilmot",184,3,29,110,0,326,420
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 55","St. Agatha",137,9,42,52,0,240,393
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 56","Wilmot",121,14,39,40,0,214,331
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 57","Wilmot",144,7,53,36,0,240,412
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 58","Mannheim",211,10,23,75,4,323,577
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 59","Wilmot",118,8,28,47,1,202,372
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 60","Baden",140,12,55,34,0,241,421
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 60-1","Baden",94,9,39,22,2,166,328
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 61","Baden",121,6,51,30,0,208,380
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 61-1","Baden",131,5,64,47,0,247,434
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 62","Baden",150,11,55,40,0,256,507
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 63","Haysville",149,17,49,60,1,276,438
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 63-1","Haysville",168,3,31,79,1,282,400
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 64","Wilmot",126,11,22,41,0,200,314
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 65","New Dundee",216,14,43,65,1,339,502
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 66","New Dundee",49,15,36,18,0,118,177
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 67","New Dundee",193,4,19,40,1,257,377
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 67-1","Wilmot",134,11,27,35,1,208,330
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 68","New Hamburg",196,15,69,48,2,330,561
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 68-1","New Hamburg",97,9,48,34,0,188,394
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 69","New Hamburg",87,9,50,26,0,172,364
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 70","New Hamburg",148,10,51,30,0,239,497
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 71","New Hamburg",149,6,56,38,0,249,473
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 72","New Hamburg",101,9,46,41,0,197,347
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 73","New Hamburg",26,4,9,7,0,46,126
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 74","New Hamburg",110,4,22,41,1,178,303
