Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mauril Bélanger,Trevor Haché,Christian Legeais,Caroline Rioux,Rem Westland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35065,"Ottawa--Vanier/Ottawa--Vanier"," 1A","Gloucester",63,57,0,5,58,0,183,330
35065,"Ottawa--Vanier/Ottawa--Vanier"," 1B","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,,85
35065,"Ottawa--Vanier/Ottawa--Vanier"," 1-1","Gloucester",47,51,0,7,68,0,173,306
35065,"Ottawa--Vanier/Ottawa--Vanier"," 2","Gloucester",88,55,0,5,87,1,236,410
35065,"Ottawa--Vanier/Ottawa--Vanier"," 3","Gloucester",117,40,2,15,101,1,276,451
35065,"Ottawa--Vanier/Ottawa--Vanier"," 4","Gloucester",89,52,0,9,90,2,242,360
35065,"Ottawa--Vanier/Ottawa--Vanier"," 5","Gloucester",83,45,0,14,103,0,245,369
35065,"Ottawa--Vanier/Ottawa--Vanier"," 6","Gloucester",70,55,1,9,82,0,217,376
35065,"Ottawa--Vanier/Ottawa--Vanier"," 7","Gloucester",49,27,0,6,61,0,143,241
35065,"Ottawa--Vanier/Ottawa--Vanier"," 8","Gloucester",44,26,1,1,69,1,142,234
35065,"Ottawa--Vanier/Ottawa--Vanier"," 9","Gloucester",78,72,0,16,94,1,261,393
35065,"Ottawa--Vanier/Ottawa--Vanier"," 10","Gloucester",74,52,0,14,75,1,216,401
35065,"Ottawa--Vanier/Ottawa--Vanier"," 11","Gloucester",95,53,0,14,83,1,246,383
35065,"Ottawa--Vanier/Ottawa--Vanier"," 12","Gloucester",104,34,1,8,91,0,238,430
35065,"Ottawa--Vanier/Ottawa--Vanier"," 13","Gloucester",78,56,0,8,90,1,233,374
35065,"Ottawa--Vanier/Ottawa--Vanier"," 14","Gloucester",50,51,1,9,55,2,168,319
35065,"Ottawa--Vanier/Ottawa--Vanier"," 14-1","Gloucester",33,29,1,3,36,0,102,259
35065,"Ottawa--Vanier/Ottawa--Vanier"," 15","Gloucester",64,67,0,10,64,1,206,367
35065,"Ottawa--Vanier/Ottawa--Vanier"," 16","Gloucester",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 17","Gloucester",72,58,0,5,54,0,189,352
35065,"Ottawa--Vanier/Ottawa--Vanier"," 18","Gloucester",33,38,0,2,48,1,122,263
35065,"Ottawa--Vanier/Ottawa--Vanier"," 19","Gloucester",57,62,0,5,58,1,183,415
35065,"Ottawa--Vanier/Ottawa--Vanier"," 20","Gloucester",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 21","Gloucester",83,75,0,16,78,0,252,440
35065,"Ottawa--Vanier/Ottawa--Vanier"," 22","Gloucester",110,39,1,10,101,0,261,456
35065,"Ottawa--Vanier/Ottawa--Vanier"," 23","Gloucester",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 24","Ottawa",119,72,0,17,62,2,272,471
35065,"Ottawa--Vanier/Ottawa--Vanier"," 25","Ottawa",50,77,0,11,38,1,177,331
35065,"Ottawa--Vanier/Ottawa--Vanier"," 25-1","Ottawa",49,42,1,5,24,0,121,229
35065,"Ottawa--Vanier/Ottawa--Vanier"," 26","Ottawa",59,49,0,9,39,0,156,370
35065,"Ottawa--Vanier/Ottawa--Vanier"," 27","Ottawa",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 28","Ottawa",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 29","Ottawa",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 30","Ottawa",64,68,1,12,72,2,219,480
35065,"Ottawa--Vanier/Ottawa--Vanier"," 31","Ottawa",86,55,0,7,55,0,203,344
35065,"Ottawa--Vanier/Ottawa--Vanier"," 32","Ottawa",91,67,0,9,72,2,241,450
35065,"Ottawa--Vanier/Ottawa--Vanier"," 33","Ottawa",58,68,0,9,43,0,178,561
35065,"Ottawa--Vanier/Ottawa--Vanier"," 33-1","Ottawa",93,44,0,4,44,0,185,278
35065,"Ottawa--Vanier/Ottawa--Vanier"," 34","Ottawa",45,43,0,9,53,2,152,270
35065,"Ottawa--Vanier/Ottawa--Vanier"," 35","Ottawa",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 36","Ottawa",54,65,0,2,29,1,151,242
35065,"Ottawa--Vanier/Ottawa--Vanier"," 37","Ottawa",62,29,0,1,34,1,127,259
35065,"Ottawa--Vanier/Ottawa--Vanier"," 38","Ottawa",39,44,0,3,33,0,119,375
35065,"Ottawa--Vanier/Ottawa--Vanier"," 39","Ottawa",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 40","Ottawa",86,35,1,2,50,7,181,267
35065,"Ottawa--Vanier/Ottawa--Vanier"," 41","Ottawa",96,51,1,9,49,3,209,447
35065,"Ottawa--Vanier/Ottawa--Vanier"," 41-1","Ottawa",145,39,2,5,92,0,283,482
35065,"Ottawa--Vanier/Ottawa--Vanier"," 42","Ottawa",43,63,1,11,76,0,194,323
35065,"Ottawa--Vanier/Ottawa--Vanier"," 43","Ottawa",63,42,2,2,47,1,157,333
35065,"Ottawa--Vanier/Ottawa--Vanier"," 44","Ottawa",28,27,1,1,14,4,75,214
35065,"Ottawa--Vanier/Ottawa--Vanier"," 45","Ottawa",39,53,0,5,76,0,173,264
35065,"Ottawa--Vanier/Ottawa--Vanier"," 46","Ottawa",26,29,0,4,36,1,96,230
35065,"Ottawa--Vanier/Ottawa--Vanier"," 47","Ottawa",75,49,0,7,45,0,176,313
35065,"Ottawa--Vanier/Ottawa--Vanier"," 47-1","Ottawa",74,30,0,14,58,1,177,269
35065,"Ottawa--Vanier/Ottawa--Vanier"," 48","Ottawa",112,40,0,20,43,0,215,336
35065,"Ottawa--Vanier/Ottawa--Vanier"," 49","Rockcliffe Park",116,18,0,16,131,1,282,457
35065,"Ottawa--Vanier/Ottawa--Vanier"," 50","Rockcliffe Park",100,15,0,13,86,0,214,390
35065,"Ottawa--Vanier/Ottawa--Vanier"," 51","Ottawa",140,65,0,14,56,2,277,422
35065,"Ottawa--Vanier/Ottawa--Vanier"," 52","Ottawa",139,48,0,17,67,2,273,377
35065,"Ottawa--Vanier/Ottawa--Vanier"," 53","Ottawa",43,64,0,6,47,0,160,314
35065,"Ottawa--Vanier/Ottawa--Vanier"," 54","Rockcliffe Park",99,37,0,8,49,0,193,320
35065,"Ottawa--Vanier/Ottawa--Vanier"," 55","Rockcliffe Park",74,20,1,9,65,0,169,311
35065,"Ottawa--Vanier/Ottawa--Vanier"," 56","Ottawa",111,45,0,10,48,0,214,378
35065,"Ottawa--Vanier/Ottawa--Vanier"," 57","Ottawa",93,39,0,9,40,1,182,364
35065,"Ottawa--Vanier/Ottawa--Vanier"," 58","Ottawa",90,47,0,33,41,2,213,339
35065,"Ottawa--Vanier/Ottawa--Vanier"," 59","Ottawa",114,77,0,32,62,0,285,513
35065,"Ottawa--Vanier/Ottawa--Vanier"," 60","Ottawa",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 61","Ottawa",65,53,0,20,29,0,167,304
35065,"Ottawa--Vanier/Ottawa--Vanier"," 62","Ottawa",27,14,1,5,11,0,58,118
35065,"Ottawa--Vanier/Ottawa--Vanier"," 63","Ottawa",87,53,0,13,58,0,211,364
35065,"Ottawa--Vanier/Ottawa--Vanier"," 64","Ottawa",71,86,1,23,47,1,229,370
35065,"Ottawa--Vanier/Ottawa--Vanier"," 65","Ottawa",97,79,0,17,51,1,245,424
35065,"Ottawa--Vanier/Ottawa--Vanier"," 66","Ottawa",163,72,0,29,60,2,326,520
35065,"Ottawa--Vanier/Ottawa--Vanier"," 67","Vanier",46,55,0,5,33,1,140,319
35065,"Ottawa--Vanier/Ottawa--Vanier"," 68","Vanier",30,42,1,6,28,0,107,248
35065,"Ottawa--Vanier/Ottawa--Vanier"," 69","Vanier",38,39,0,12,33,1,123,249
35065,"Ottawa--Vanier/Ottawa--Vanier"," 70","Vanier",101,110,1,9,83,2,306,441
35065,"Ottawa--Vanier/Ottawa--Vanier"," 71","Ottawa",90,53,0,7,61,0,211,391
35065,"Ottawa--Vanier/Ottawa--Vanier"," 72","Ottawa",44,58,0,8,45,2,157,344
35065,"Ottawa--Vanier/Ottawa--Vanier"," 73","Vanier",29,37,0,6,32,0,104,214
35065,"Ottawa--Vanier/Ottawa--Vanier"," 74","Vanier",79,87,0,11,43,0,220,450
35065,"Ottawa--Vanier/Ottawa--Vanier"," 75","Vanier",46,71,2,12,31,0,162,390
35065,"Ottawa--Vanier/Ottawa--Vanier"," 76","Vanier",51,49,0,13,33,0,146,325
35065,"Ottawa--Vanier/Ottawa--Vanier"," 77","Vanier",38,40,0,12,18,0,108,266
35065,"Ottawa--Vanier/Ottawa--Vanier"," 78","Vanier",28,42,0,7,37,2,116,246
35065,"Ottawa--Vanier/Ottawa--Vanier"," 79","Vanier",42,48,0,3,57,0,150,397
35065,"Ottawa--Vanier/Ottawa--Vanier"," 80","Vanier",45,48,0,8,42,0,143,345
35065,"Ottawa--Vanier/Ottawa--Vanier"," 81","Vanier",27,47,0,6,34,0,114,291
35065,"Ottawa--Vanier/Ottawa--Vanier"," 82","Vanier",80,88,2,6,55,4,235,348
35065,"Ottawa--Vanier/Ottawa--Vanier"," 83","Vanier",66,66,2,13,45,0,192,398
35065,"Ottawa--Vanier/Ottawa--Vanier"," 84","Vanier",46,50,1,5,26,1,129,337
35065,"Ottawa--Vanier/Ottawa--Vanier"," 85","Vanier",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 86","Vanier",33,54,0,5,28,1,121,323
35065,"Ottawa--Vanier/Ottawa--Vanier"," 87","Vanier",44,39,0,6,25,0,114,292
35065,"Ottawa--Vanier/Ottawa--Vanier"," 88","Vanier",30,51,1,6,42,1,131,324
35065,"Ottawa--Vanier/Ottawa--Vanier"," 89","Vanier",64,59,0,13,36,0,172,361
35065,"Ottawa--Vanier/Ottawa--Vanier"," 90","Vanier",51,96,0,16,43,1,207,430
35065,"Ottawa--Vanier/Ottawa--Vanier"," 91","Vanier",36,53,1,10,16,0,116,207
35065,"Ottawa--Vanier/Ottawa--Vanier"," 92","Vanier",55,56,0,11,20,0,142,232
35065,"Ottawa--Vanier/Ottawa--Vanier"," 92-1","Vanier",97,102,0,14,72,3,288,444
35065,"Ottawa--Vanier/Ottawa--Vanier"," 93","Vanier",69,49,1,10,36,0,165,374
35065,"Ottawa--Vanier/Ottawa--Vanier"," 94","Vanier",62,68,0,10,39,1,180,379
35065,"Ottawa--Vanier/Ottawa--Vanier"," 95","Vanier",28,47,0,6,22,1,104,264
35065,"Ottawa--Vanier/Ottawa--Vanier"," 96","Vanier",28,60,2,7,35,1,133,293
35065,"Ottawa--Vanier/Ottawa--Vanier"," 97","Vanier",27,47,1,4,33,0,112,257
35065,"Ottawa--Vanier/Ottawa--Vanier"," 98","Vanier",33,33,1,4,33,0,104,270
35065,"Ottawa--Vanier/Ottawa--Vanier"," 99","Vanier",33,54,0,4,34,3,128,286
35065,"Ottawa--Vanier/Ottawa--Vanier"," 100","Vanier",41,51,0,5,37,1,135,335
35065,"Ottawa--Vanier/Ottawa--Vanier"," 101A","Vanier",43,72,0,7,35,0,157,314
35065,"Ottawa--Vanier/Ottawa--Vanier"," 101B","Mobile poll/Bureau itinérant",Merged with No. 509/Fusionné avec le nº 509,,,,,,,125
35065,"Ottawa--Vanier/Ottawa--Vanier"," 102","Vanier",41,48,0,12,28,2,131,319
35065,"Ottawa--Vanier/Ottawa--Vanier"," 103","Ottawa",38,78,0,5,62,1,184,430
35065,"Ottawa--Vanier/Ottawa--Vanier"," 104","Ottawa",39,49,0,9,58,0,155,330
35065,"Ottawa--Vanier/Ottawa--Vanier"," 105","Ottawa",69,47,0,9,39,0,164,301
35065,"Ottawa--Vanier/Ottawa--Vanier"," 106","Ottawa",47,41,1,11,67,1,168,307
35065,"Ottawa--Vanier/Ottawa--Vanier"," 107","Ottawa",46,51,0,3,49,0,149,340
35065,"Ottawa--Vanier/Ottawa--Vanier"," 108","Ottawa",40,47,0,6,41,0,134,263
35065,"Ottawa--Vanier/Ottawa--Vanier"," 109","Ottawa",61,72,0,1,63,4,201,489
35065,"Ottawa--Vanier/Ottawa--Vanier"," 110","Ottawa",86,38,1,0,58,3,186,249
35065,"Ottawa--Vanier/Ottawa--Vanier"," 111","Ottawa",32,62,0,1,46,0,141,325
35065,"Ottawa--Vanier/Ottawa--Vanier"," 112","Ottawa",73,67,0,7,60,2,209,426
35065,"Ottawa--Vanier/Ottawa--Vanier"," 113","Ottawa",58,60,0,13,47,0,178,330
35065,"Ottawa--Vanier/Ottawa--Vanier"," 114","Ottawa",64,48,1,5,34,0,152,270
35065,"Ottawa--Vanier/Ottawa--Vanier"," 115","Ottawa",58,70,2,12,55,0,197,394
35065,"Ottawa--Vanier/Ottawa--Vanier"," 116","Gloucester",49,24,0,4,25,1,103,206
35065,"Ottawa--Vanier/Ottawa--Vanier"," 116-1","Gloucester",81,70,1,4,59,1,216,437
35065,"Ottawa--Vanier/Ottawa--Vanier"," 117","Gloucester",118,68,2,12,104,1,305,461
35065,"Ottawa--Vanier/Ottawa--Vanier"," 118","Gloucester",65,41,0,2,73,2,183,304
35065,"Ottawa--Vanier/Ottawa--Vanier"," 119","Gloucester",83,53,0,8,106,0,250,382
35065,"Ottawa--Vanier/Ottawa--Vanier"," 120","Gloucester",54,27,0,8,30,0,119,222
35065,"Ottawa--Vanier/Ottawa--Vanier"," 121","Gloucester",73,94,0,7,79,2,255,429
35065,"Ottawa--Vanier/Ottawa--Vanier"," 122","Gloucester",98,38,1,9,64,2,212,373
35065,"Ottawa--Vanier/Ottawa--Vanier"," 123","Gloucester",69,73,0,5,78,3,228,505
35065,"Ottawa--Vanier/Ottawa--Vanier"," 124","Gloucester",62,42,0,7,36,3,150,339
35065,"Ottawa--Vanier/Ottawa--Vanier"," 125","Gloucester",78,94,0,10,67,1,250,553
35065,"Ottawa--Vanier/Ottawa--Vanier"," 125-1","Gloucester",38,32,1,8,40,2,121,232
35065,"Ottawa--Vanier/Ottawa--Vanier"," 126","Gloucester",56,48,0,8,85,2,199,468
35065,"Ottawa--Vanier/Ottawa--Vanier"," 127","Gloucester",48,49,0,4,64,1,166,327
35065,"Ottawa--Vanier/Ottawa--Vanier"," 128","Gloucester",65,66,0,8,54,0,193,353
35065,"Ottawa--Vanier/Ottawa--Vanier"," 129","Gloucester",66,49,0,7,73,1,196,332
35065,"Ottawa--Vanier/Ottawa--Vanier"," 130","Gloucester",66,39,0,8,70,0,183,338
35065,"Ottawa--Vanier/Ottawa--Vanier"," 131","Gloucester",36,54,0,8,69,0,167,319
35065,"Ottawa--Vanier/Ottawa--Vanier"," 132","Gloucester",70,73,0,6,78,0,227,382
35065,"Ottawa--Vanier/Ottawa--Vanier"," 133","Gloucester",75,71,1,6,93,2,248,456
35065,"Ottawa--Vanier/Ottawa--Vanier"," 134","Gloucester",35,23,0,5,30,0,93,172
35065,"Ottawa--Vanier/Ottawa--Vanier"," 135","Gloucester",101,84,0,9,125,0,319,588
35065,"Ottawa--Vanier/Ottawa--Vanier"," 136","Gloucester",59,91,0,9,88,1,248,494
35065,"Ottawa--Vanier/Ottawa--Vanier"," 137","Gloucester",56,64,0,7,56,0,183,354
35065,"Ottawa--Vanier/Ottawa--Vanier"," 138","Gloucester",47,50,0,6,45,1,149,336
35065,"Ottawa--Vanier/Ottawa--Vanier"," 139","Ottawa",79,81,0,10,58,2,230,456
35065,"Ottawa--Vanier/Ottawa--Vanier"," 140","Ottawa",63,66,0,9,45,0,183,405
35065,"Ottawa--Vanier/Ottawa--Vanier"," 141","Ottawa",50,50,1,6,31,4,142,345
35065,"Ottawa--Vanier/Ottawa--Vanier"," 142","Ottawa",44,46,0,2,22,0,114,299
35065,"Ottawa--Vanier/Ottawa--Vanier"," 143","Ottawa",42,44,1,2,25,2,116,297
35065,"Ottawa--Vanier/Ottawa--Vanier"," 144","Ottawa",60,53,0,7,43,4,167,306
35065,"Ottawa--Vanier/Ottawa--Vanier"," 145","Ottawa",45,44,1,4,33,1,128,319
35065,"Ottawa--Vanier/Ottawa--Vanier"," 146","Ottawa",57,62,0,4,37,1,161,424
35065,"Ottawa--Vanier/Ottawa--Vanier"," 147","Ottawa",45,45,2,2,25,0,119,307
35065,"Ottawa--Vanier/Ottawa--Vanier"," 148","Ottawa",71,55,1,7,29,3,166,389
35065,"Ottawa--Vanier/Ottawa--Vanier"," 149","Ottawa",54,76,0,21,62,2,215,447
35065,"Ottawa--Vanier/Ottawa--Vanier"," 150","Ottawa",77,58,0,15,50,1,201,326
35065,"Ottawa--Vanier/Ottawa--Vanier"," 151","Ottawa",58,76,0,15,55,1,205,375
35065,"Ottawa--Vanier/Ottawa--Vanier"," 152","Ottawa",61,79,0,27,54,0,221,381
35065,"Ottawa--Vanier/Ottawa--Vanier"," 153","Ottawa",87,115,1,23,40,1,267,459
35065,"Ottawa--Vanier/Ottawa--Vanier"," 154","Ottawa",59,67,0,15,25,1,167,298
35065,"Ottawa--Vanier/Ottawa--Vanier"," 155","Ottawa",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 156","Ottawa",100,105,0,17,27,0,249,408
35065,"Ottawa--Vanier/Ottawa--Vanier"," 157","Ottawa",42,28,1,5,22,0,98,178
35065,"Ottawa--Vanier/Ottawa--Vanier"," 158","Ottawa",83,96,1,12,25,1,218,359
35065,"Ottawa--Vanier/Ottawa--Vanier"," 159","Ottawa",43,60,0,10,18,1,132,245
35065,"Ottawa--Vanier/Ottawa--Vanier"," 159-1","Ottawa",63,79,0,8,24,3,177,301
35065,"Ottawa--Vanier/Ottawa--Vanier"," 160","Ottawa",36,66,1,6,24,0,133,231
35065,"Ottawa--Vanier/Ottawa--Vanier"," 161","Ottawa",69,53,0,9,43,0,174,302
35065,"Ottawa--Vanier/Ottawa--Vanier"," 162","Ottawa",65,109,0,28,44,3,249,431
35065,"Ottawa--Vanier/Ottawa--Vanier"," 163","Ottawa",56,85,0,11,22,0,174,301
35065,"Ottawa--Vanier/Ottawa--Vanier"," 164","Ottawa",46,60,0,18,29,0,153,289
35065,"Ottawa--Vanier/Ottawa--Vanier"," 165","Ottawa",83,101,0,29,33,1,247,430
35065,"Ottawa--Vanier/Ottawa--Vanier"," 166","Ottawa",47,67,0,15,27,0,156,298
35065,"Ottawa--Vanier/Ottawa--Vanier"," 167","Ottawa",87,125,1,23,51,0,287,266
35065,"Ottawa--Vanier/Ottawa--Vanier"," 168A","Ottawa",66,95,0,17,37,2,217,473
35065,"Ottawa--Vanier/Ottawa--Vanier"," 168B","Ottawa",81,68,0,6,40,0,195,283
35065,"Ottawa--Vanier/Ottawa--Vanier"," 169","Ottawa",55,63,0,11,17,5,151,335
35065,"Ottawa--Vanier/Ottawa--Vanier"," 170","Ottawa",63,84,0,9,24,0,180,318
35065,"Ottawa--Vanier/Ottawa--Vanier"," 171","Ottawa",48,64,0,8,22,1,143,278
35065,"Ottawa--Vanier/Ottawa--Vanier"," 172","Ottawa",34,63,1,6,25,0,129,242
35065,"Ottawa--Vanier/Ottawa--Vanier"," 173","Ottawa",Merged with No. 167/Fusionné avec le nº 167,,,,,,,32
35065,"Ottawa--Vanier/Ottawa--Vanier"," 174","Ottawa",Merged with No. 167/Fusionné avec le nº 167,,,,,,,23
35065,"Ottawa--Vanier/Ottawa--Vanier"," 175","Ottawa",Merged with No. 167/Fusionné avec le nº 167,,,,,,,29
35065,"Ottawa--Vanier/Ottawa--Vanier"," 176","Ottawa",Merged with No. 167/Fusionné avec le nº 167,,,,,,,121
35065,"Ottawa--Vanier/Ottawa--Vanier"," 177","Ottawa",51,104,0,19,40,0,214,403
35065,"Ottawa--Vanier/Ottawa--Vanier"," 178","Ottawa",82,89,0,12,37,2,222,379
35065,"Ottawa--Vanier/Ottawa--Vanier"," 179","Ottawa",93,133,0,9,29,2,266,491
35065,"Ottawa--Vanier/Ottawa--Vanier"," 180","Ottawa",32,53,1,4,10,3,103,192
35065,"Ottawa--Vanier/Ottawa--Vanier"," 181","Ottawa",67,105,1,4,40,2,219,413
35065,"Ottawa--Vanier/Ottawa--Vanier"," 182","Ottawa",36,34,0,3,23,0,96,214
35065,"Ottawa--Vanier/Ottawa--Vanier"," 183","Ottawa",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 184","Ottawa",94,94,0,19,37,2,246,434
35065,"Ottawa--Vanier/Ottawa--Vanier"," 185A","Ottawa",89,65,2,21,48,1,226,391
35065,"Ottawa--Vanier/Ottawa--Vanier"," 185B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,130
35065,"Ottawa--Vanier/Ottawa--Vanier"," 186","Ottawa",68,97,1,25,30,2,223,393
35065,"Ottawa--Vanier/Ottawa--Vanier"," 187","Ottawa",64,75,1,11,30,0,181,360
35065,"Ottawa--Vanier/Ottawa--Vanier"," 187-1","Ottawa",46,32,0,11,15,1,105,218
35065,"Ottawa--Vanier/Ottawa--Vanier"," 188","Ottawa",66,83,2,9,30,2,192,335
35065,"Ottawa--Vanier/Ottawa--Vanier"," 189","Ottawa",Void/Supprimé,,,,,,,
35065,"Ottawa--Vanier/Ottawa--Vanier"," 190","Ottawa",39,52,0,5,26,1,123,278
35065,"Ottawa--Vanier/Ottawa--Vanier"," 191","Ottawa",49,50,2,3,31,4,139,259
35065,"Ottawa--Vanier/Ottawa--Vanier"," 192","Ottawa",50,74,1,7,24,0,156,373
35065,"Ottawa--Vanier/Ottawa--Vanier"," 193","Ottawa",48,75,1,1,18,1,144,354
35065,"Ottawa--Vanier/Ottawa--Vanier"," 194","Ottawa",54,72,0,6,33,1,166,320
35065,"Ottawa--Vanier/Ottawa--Vanier"," 195","Ottawa",52,57,0,7,17,2,135,344
35065,"Ottawa--Vanier/Ottawa--Vanier"," 195-1","Ottawa",106,90,0,13,46,0,255,435
35065,"Ottawa--Vanier/Ottawa--Vanier"," 196","Ottawa",74,118,0,13,52,0,257,457
35065,"Ottawa--Vanier/Ottawa--Vanier"," 197","Ottawa",45,94,1,7,31,0,178,320
35065,"Ottawa--Vanier/Ottawa--Vanier"," 198","Ottawa",84,98,0,11,27,1,221,389
35065,"Ottawa--Vanier/Ottawa--Vanier"," 199","Ottawa",110,115,0,12,40,0,277,540
