Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Arsenault,Mike Farlow,Tim Lobzun,Dave MacKenzie,John Markus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35067,"Oxford/Oxford"," 1","Uniondale",48,6,20,142,2,0,218,297
35067,"Oxford/Oxford"," 2","Lakeside",68,10,28,129,3,0,238,353
35067,"Oxford/Oxford"," 3","Harrington",56,17,43,150,4,0,270,478
35067,"Oxford/Oxford"," 4","Maplewood",37,9,36,149,10,2,243,349
35067,"Oxford/Oxford"," 5","Cody's Corners",28,7,11,106,4,1,157,288
35067,"Oxford/Oxford"," 6","Embro",31,7,16,109,3,0,166,271
35067,"Oxford/Oxford"," 7","Embro",51,13,22,128,4,0,218,335
35067,"Oxford/Oxford"," 8","Bennington",42,8,26,139,0,3,218,369
35067,"Oxford/Oxford"," 9","Kintore",55,18,28,130,2,0,233,326
35067,"Oxford/Oxford"," 10","Zorra",39,3,16,114,1,0,173,248
35067,"Oxford/Oxford"," 11","Thamesford",38,11,16,85,1,0,151,268
35067,"Oxford/Oxford"," 12","Thamesford",48,9,26,114,2,0,199,360
35067,"Oxford/Oxford"," 13","Zorra",38,8,25,122,1,2,196,302
35067,"Oxford/Oxford"," 14","Thamesford",69,5,10,91,0,2,177,302
35067,"Oxford/Oxford"," 15","Thamesford",65,15,18,123,0,1,222,304
35067,"Oxford/Oxford"," 16","Thamesford",56,4,19,108,0,2,189,316
35067,"Oxford/Oxford"," 16-1","Dicksons Corners",43,4,28,176,10,0,261,395
35067,"Oxford/Oxford"," 17","Rayside",40,9,19,107,5,0,180,330
35067,"Oxford/Oxford"," 18","Tavistock",40,3,30,110,0,1,184,335
35067,"Oxford/Oxford"," 19","Tavistock",46,13,17,141,1,0,218,390
35067,"Oxford/Oxford"," 20","Tavistock",50,4,13,149,2,0,218,353
35067,"Oxford/Oxford"," 21","Tavistock",33,0,15,110,2,0,160,238
35067,"Oxford/Oxford"," 22","Tavistock",35,3,20,116,2,1,177,277
35067,"Oxford/Oxford"," 23","Tavistock",63,7,10,157,3,1,241,397
35067,"Oxford/Oxford"," 24","Tavistock",13,3,36,94,7,1,154,224
35067,"Oxford/Oxford"," 25","Cassel",26,7,18,108,4,0,163,283
35067,"Oxford/Oxford"," 26","Hickson",25,10,7,121,1,0,164,265
35067,"Oxford/Oxford"," 27","Braemar",32,6,12,72,3,0,125,181
35067,"Oxford/Oxford"," 28","Hickson",31,5,7,84,1,0,128,226
35067,"Oxford/Oxford"," 29","Hickson",30,5,13,96,3,0,147,265
35067,"Oxford/Oxford"," 30","Willow Lake",58,10,18,135,1,0,222,325
35067,"Oxford/Oxford"," 31","Woodstock",85,20,41,269,9,2,426,663
35067,"Oxford/Oxford"," 31-1","Tollgate",54,10,20,138,1,1,224,372
35067,"Oxford/Oxford"," 32","East Zorra-Tavistock",39,3,18,134,1,1,196,283
35067,"Oxford/Oxford"," 33","Innerkip",73,6,25,195,2,2,303,468
35067,"Oxford/Oxford"," 34","Innerkip",56,15,18,162,1,1,253,386
35067,"Oxford/Oxford"," 35","Ratho",69,10,23,168,2,0,272,429
35067,"Oxford/Oxford"," 36","Plattsville",22,7,13,73,1,0,116,201
35067,"Oxford/Oxford"," 36-1","Plattsville",25,13,26,78,0,0,142,208
35067,"Oxford/Oxford"," 37","Plattsville",42,7,19,153,2,0,223,341
35067,"Oxford/Oxford"," 37-1","Plattsville",59,12,16,173,3,0,263,393
35067,"Oxford/Oxford"," 38","Washington",29,10,29,137,1,1,207,359
35067,"Oxford/Oxford"," 39","Bright",64,12,22,146,5,0,249,415
35067,"Oxford/Oxford"," 40","Maple Lake Park",26,2,6,89,2,0,125,231
35067,"Oxford/Oxford"," 41","Drumbo",72,19,22,154,4,0,271,504
35067,"Oxford/Oxford"," 42","Wolverton",63,21,35,131,3,2,255,442
35067,"Oxford/Oxford"," 43","Richwood",61,10,28,114,1,1,215,341
35067,"Oxford/Oxford"," 44","Blandford-Blenheim",50,10,20,113,0,2,195,301
35067,"Oxford/Oxford"," 45","Princeton",51,7,9,98,3,2,170,298
35067,"Oxford/Oxford"," 46","Princeton",57,12,18,154,2,3,246,445
35067,"Oxford/Oxford"," 47","Forest Estates",66,8,9,101,1,0,185,344
35067,"Oxford/Oxford"," 48","Woodstock",75,10,29,186,2,4,306,557
35067,"Oxford/Oxford"," 48-1","Woodstock",26,13,21,160,2,0,222,422
35067,"Oxford/Oxford"," 48-2","Bond's Corners",13,5,2,42,0,0,62,120
35067,"Oxford/Oxford"," 48-3","Woodstock",70,10,36,164,2,0,282,508
35067,"Oxford/Oxford"," 49","Eastwood",28,5,16,117,5,0,171,308
35067,"Oxford/Oxford"," 50","Woodstock",66,10,14,90,2,0,182,393
