Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tim Hickey,Daryl Kramp,Patrick Larkin,Michael McMahon,Andrew Skinner,Peter Tinsley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 1","Maynooth",0,97,6,63,1,21,0,188,318
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 2","Maynooth",0,111,3,54,1,15,0,184,334
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 3","Bangor",0,133,5,41,1,21,0,201,325
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 4","Herschel",2,87,2,29,0,6,1,127,235
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 5","Monteagle",1,104,4,35,0,17,1,162,270
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 6","Herschel",1,103,8,57,0,24,2,195,363
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 7","Herschel",1,176,6,70,1,30,1,285,548
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 8","Monteagle",1,60,3,24,0,8,0,96,307
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 9","Monteagle",1,117,13,52,0,25,1,209,428
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 10","Carlow",0,142,10,43,1,16,0,212,320
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 11","Mayo",0,154,6,44,0,21,1,226,360
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 12","Faraday",1,147,6,42,2,19,0,217,452
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 13","Faraday",0,143,6,57,3,21,0,230,378
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 14","Faraday",0,67,8,22,1,15,0,113,248
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 15","Bancroft",1,73,3,26,0,12,1,116,258
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 16","Bancroft",0,44,2,12,0,12,0,70,139
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 17","Bancroft",0,42,2,9,0,6,0,59,192
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 18","Bancroft",2,85,3,60,1,19,0,170,408
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 19","Dungannon",1,90,3,56,0,11,1,162,364
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 20","Bancroft",1,106,2,40,0,19,0,168,375
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 21","Bancroft",0,133,4,38,0,25,4,204,423
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 22","Bancroft",0,73,4,27,0,6,0,110,224
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 23","Dungannon",0,126,3,45,0,17,0,191,381
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 24","Dungannon",1,145,9,75,0,22,0,252,481
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 25","Wollaston",0,100,1,41,1,12,0,155,257
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 26","Limerick",0,55,8,35,0,9,0,107,236
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 27","Tudor and Cashel",0,43,1,15,1,5,0,65,117
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 28","Wollaston",3,150,7,74,2,21,0,257,442
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 29","Tudor and Cashel",2,122,8,41,1,11,0,185,340
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 30","Queensborough",1,46,5,21,1,15,1,90,201
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 31","Marmora and Lake",0,150,11,69,0,32,1,263,489
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 32","Marmora and Lake",0,138,7,66,0,20,2,233,444
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 33","Marmora and Lake",0,147,5,53,0,32,0,237,430
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 34","Marmora",4,78,4,50,0,25,2,163,367
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 35","Marmora",0,139,7,58,0,24,0,228,389
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 36","Marmora",0,88,5,34,0,18,0,145,292
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 37","Deloro",2,140,8,77,1,13,0,241,515
