Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Cameron W. Hastings,Costas Menegakis,Bryon Wilfert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Richmond Hill/Richmond Hill"," 1","Richmond Hill",25,0,74,38,1,138,320
35075,"Richmond Hill/Richmond Hill"," 1-1","Richmond Hill",33,10,118,58,0,219,440
35075,"Richmond Hill/Richmond Hill"," 2","Richmond Hill",63,7,89,91,2,252,507
35075,"Richmond Hill/Richmond Hill"," 2-1","Richmond Hill",49,8,106,47,1,211,490
35075,"Richmond Hill/Richmond Hill"," 3","Richmond Hill",34,10,158,54,0,256,508
35075,"Richmond Hill/Richmond Hill"," 3-1","Richmond Hill",50,9,143,95,1,298,593
35075,"Richmond Hill/Richmond Hill"," 3-2","Richmond Hill",19,5,70,36,0,130,323
35075,"Richmond Hill/Richmond Hill"," 4","Richmond Hill",25,5,165,79,1,275,583
35075,"Richmond Hill/Richmond Hill"," 5","Richmond Hill",35,5,119,77,0,236,471
35075,"Richmond Hill/Richmond Hill"," 6","Richmond Hill",30,3,110,59,0,202,421
35075,"Richmond Hill/Richmond Hill"," 7","Richmond Hill",44,13,120,84,1,262,561
35075,"Richmond Hill/Richmond Hill"," 7-1","Richmond Hill",14,5,62,34,1,116,311
35075,"Richmond Hill/Richmond Hill"," 7-2","Richmond Hill",21,3,90,78,1,193,406
35075,"Richmond Hill/Richmond Hill"," 8","Richmond Hill",28,6,112,64,1,211,447
35075,"Richmond Hill/Richmond Hill"," 8-1","Richmond Hill",44,14,169,102,2,331,609
35075,"Richmond Hill/Richmond Hill"," 9","Richmond Hill",27,5,110,61,0,203,419
35075,"Richmond Hill/Richmond Hill"," 10","Richmond Hill",30,7,132,62,2,233,472
35075,"Richmond Hill/Richmond Hill"," 11","Richmond Hill",47,4,148,96,3,298,573
35075,"Richmond Hill/Richmond Hill"," 11-1","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 12","Richmond Hill",42,2,96,52,0,192,403
35075,"Richmond Hill/Richmond Hill"," 13","Richmond Hill",32,8,66,54,1,161,401
35075,"Richmond Hill/Richmond Hill"," 14","Richmond Hill",27,13,175,118,1,334,591
35075,"Richmond Hill/Richmond Hill"," 15","Richmond Hill",37,15,99,125,3,279,569
35075,"Richmond Hill/Richmond Hill"," 15-1","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 16","Richmond Hill",25,8,182,91,0,306,600
35075,"Richmond Hill/Richmond Hill"," 17","Richmond Hill",44,11,99,90,0,244,413
35075,"Richmond Hill/Richmond Hill"," 18","Richmond Hill",28,9,61,51,0,149,329
35075,"Richmond Hill/Richmond Hill"," 18-1","Richmond Hill",29,4,80,79,1,193,371
35075,"Richmond Hill/Richmond Hill"," 19","Richmond Hill",26,10,53,34,0,123,292
