Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Maureen Harquail,John Kittredge,Jim McGarva,William Molls,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35077,"St. Paul's/St. Paul's"," 1","Toronto",50,40,2,1,31,1,125,354
35077,"St. Paul's/St. Paul's"," 1-1","Toronto",Void/Supprimé,,,,,,,
35077,"St. Paul's/St. Paul's"," 2","Toronto",70,36,4,2,73,0,185,403
35077,"St. Paul's/St. Paul's"," 2-1","Toronto",81,49,5,4,81,8,228,373
35077,"St. Paul's/St. Paul's"," 3","Toronto",47,53,3,4,64,0,171,322
35077,"St. Paul's/St. Paul's"," 4","Toronto",83,49,1,6,57,0,196,389
35077,"St. Paul's/St. Paul's"," 5","Toronto",93,48,2,14,66,8,231,472
35077,"St. Paul's/St. Paul's"," 6","Toronto",70,56,3,9,57,1,196,402
35077,"St. Paul's/St. Paul's"," 7","Toronto",68,44,3,9,84,2,210,514
35077,"St. Paul's/St. Paul's"," 8","Toronto",75,37,3,1,92,6,214,438
35077,"St. Paul's/St. Paul's"," 9","Toronto",79,61,2,3,79,4,228,466
35077,"St. Paul's/St. Paul's"," 10","Toronto",70,42,1,11,73,3,200,434
35077,"St. Paul's/St. Paul's"," 11","Toronto",65,57,2,9,50,0,183,387
35077,"St. Paul's/St. Paul's"," 12","Toronto",77,59,2,5,44,4,191,390
35077,"St. Paul's/St. Paul's"," 13","Toronto",79,75,3,9,102,2,270,528
35077,"St. Paul's/St. Paul's"," 14","Toronto",31,24,2,5,44,1,107,206
35077,"St. Paul's/St. Paul's"," 15","Toronto",60,23,2,1,65,2,153,352
35077,"St. Paul's/St. Paul's"," 16","Toronto",103,66,3,16,60,5,253,514
35077,"St. Paul's/St. Paul's"," 17","Toronto",73,55,2,12,65,1,208,383
35077,"St. Paul's/St. Paul's"," 18","Toronto",71,94,1,8,55,0,229,375
