Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Karygiannis,Nancy Patchell,Pauline Thompson,Harry Tsai,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 1","Scarborough",95,31,5,51,1,183,424
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 2","Scarborough",113,32,0,69,0,214,396
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 3","Scarborough",149,65,4,72,2,292,669
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 4","Scarborough",103,33,3,110,0,249,521
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 5","Scarborough",98,30,4,67,0,199,456
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 6","Scarborough",48,23,2,45,1,119,271
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 6-1","Scarborough",52,33,5,54,0,144,286
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 7","Scarborough",92,39,8,66,1,206,422
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 8","Scarborough",70,30,6,52,0,158,425
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 9","Scarborough",87,21,4,42,0,154,319
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 10","Scarborough",72,25,8,54,1,160,290
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 11","Scarborough",77,17,4,73,1,172,361
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 12","Scarborough",109,25,4,67,0,205,466
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 13","Scarborough",94,25,5,80,3,207,516
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 14","Scarborough",90,39,10,73,1,213,477
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 15","Scarborough",97,26,1,57,1,182,457
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 15-1","Scarborough",68,30,3,42,1,144,413
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 15-2","Scarborough",87,60,3,60,0,210,469
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 16","Scarborough",Void/Supprimé,,,,,,
35080,"Scarborough--Agincourt/Scarborough--Agincourt"," 17","Scarborough",120,41,7,78,4,250,573
