Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis A. Carrière,Yves Fricot,Richard Harvey,Bruce Hyer,Scot Kyle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 1","Armstrong",2,14,25,69,4,0,114,311
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 2","Collins",0,1,4,7,2,0,14,17
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 3","Gull River 55",2,5,1,25,5,0,38,143
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 4","Jellicoe",0,6,36,10,0,1,53,130
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 5","Beardmore",0,4,24,45,1,0,74,234
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 6","Nipigon",0,6,32,27,7,0,72,136
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 7","Lake Helen 53A",2,3,18,52,0,1,76,161
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 8","Nipigon",0,7,67,72,4,0,150,349
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 8-1","Nipigon",0,13,46,46,2,0,107,239
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 9","Nipigon",0,7,65,70,0,1,143,324
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 10","Nipigon",0,5,51,53,1,1,111,220
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 11","Red Rock",Void/Supprimé,,,,,,,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 12","Red Rock",0,19,56,96,5,3,179,359
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 13","Red Rock",1,18,48,113,2,0,182,343
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 14","Hurkett",0,6,34,83,1,0,124,231
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 15","Dorion",1,12,63,72,0,0,148,283
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 16","Macdiarmid",0,0,13,27,0,0,40,111
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 17","Aroland",1,9,8,44,0,1,63,158
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 18","Greenstone-Nakina",1,28,33,114,3,0,179,392
