Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,Lisa Bennett,Bill Greenberg,Marilyn Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Timmins--James Bay/Timmins--Baie James"," 1","Peawanuck",15,0,2,3,0,20,103
35092,"Timmins--James Bay/Timmins--Baie James"," 2","Attawapiskat",180,2,10,4,0,196,646
35092,"Timmins--James Bay/Timmins--Baie James"," 3","Kashechewan",211,5,1,4,2,223,445
35092,"Timmins--James Bay/Timmins--Baie James"," 4","Ogoki Post",23,2,1,6,0,32,52
35092,"Timmins--James Bay/Timmins--Baie James"," 5","Calstock",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 6","Lac-Ste-Thérèse",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 7","Fort Albany 67",132,4,6,13,1,156,321
35092,"Timmins--James Bay/Timmins--Baie James"," 8","Moosonee",212,7,56,25,0,300,922
35092,"Timmins--James Bay/Timmins--Baie James"," 9","Moosonee",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 10","Moosonee",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 11","Moose Factory 68",230,2,17,15,17,281,804
35092,"Timmins--James Bay/Timmins--Baie James"," 12","Factory Island 1",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 13","Smooth Rock Falls",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 14","Glackmeyer",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 15","Glackmeyer",85,1,42,28,0,156,338
35092,"Timmins--James Bay/Timmins--Baie James"," 16","Cochrane",161,6,80,37,1,285,639
35092,"Timmins--James Bay/Timmins--Baie James"," 17","Cochrane",96,3,45,25,0,169,406
35092,"Timmins--James Bay/Timmins--Baie James"," 18","Cochrane",108,2,46,22,0,178,416
35092,"Timmins--James Bay/Timmins--Baie James"," 19","Cochrane",76,0,45,27,1,149,351
35092,"Timmins--James Bay/Timmins--Baie James"," 20","Cochrane",91,2,31,22,3,149,363
35092,"Timmins--James Bay/Timmins--Baie James"," 21","Cochrane",54,4,39,19,0,116,329
35092,"Timmins--James Bay/Timmins--Baie James"," 22","Cochrane",97,4,44,26,0,171,450
35092,"Timmins--James Bay/Timmins--Baie James"," 23","Cochrane",108,3,54,40,1,206,494
35092,"Timmins--James Bay/Timmins--Baie James"," 24","Frederick",62,5,36,13,0,116,237
35092,"Timmins--James Bay/Timmins--Baie James"," 25","Berylvale",89,5,50,18,0,162,358
35092,"Timmins--James Bay/Timmins--Baie James"," 26","Tunis",Void/Supprimé,,,,,,
35092,"Timmins--James Bay/Timmins--Baie James"," 27","Norembega",44,1,17,6,0,68,138
35092,"Timmins--James Bay/Timmins--Baie James"," 28","Shillington",57,7,45,4,1,114,165
35092,"Timmins--James Bay/Timmins--Baie James"," 29","Val Gagné",139,5,44,26,0,214,353
35092,"Timmins--James Bay/Timmins--Baie James"," 30","Matheson",79,6,123,9,1,218,400
35092,"Timmins--James Bay/Timmins--Baie James"," 31","Matheson",63,5,102,20,0,190,390
35092,"Timmins--James Bay/Timmins--Baie James"," 32","Mace",36,6,53,13,0,108,194
35092,"Timmins--James Bay/Timmins--Baie James"," 33","Abitibi 70",28,1,4,3,0,36,55
35092,"Timmins--James Bay/Timmins--Baie James"," 34","Holtyre",42,3,31,7,0,83,143
35092,"Timmins--James Bay/Timmins--Baie James"," 35","Ramore",96,7,53,9,1,166,285
35092,"Timmins--James Bay/Timmins--Baie James"," 36","Iroquois Falls",92,6,49,22,0,169,382
35092,"Timmins--James Bay/Timmins--Baie James"," 37","Iroquois Falls",87,6,57,17,0,167,390
35092,"Timmins--James Bay/Timmins--Baie James"," 38","Iroquois Falls",82,1,33,18,0,134,301
