Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Judi Falardeau,Philip Fernandez,Catherine Holliday,Ellen Michelson,Kevin Moore,Bob Rae,Susan Wallace,Bahman Yazdanfar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,Toronto Centre/Toronto-Centre,1,Toronto,0,1,0,17,70,125,59,1,0,273,419
35093,Toronto Centre/Toronto-Centre,2,Toronto,1,1,0,18,105,157,34,0,2,318,495
35093,Toronto Centre/Toronto-Centre,3,Toronto,1,0,0,24,68,135,22,0,0,250,370
35093,Toronto Centre/Toronto-Centre,4,Toronto,0,0,0,7,96,84,25,0,0,212,387
35093,Toronto Centre/Toronto-Centre,5,Toronto,0,1,0,17,77,112,24,0,2,233,379
35093,Toronto Centre/Toronto-Centre,6,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre,7,Toronto,0,0,0,18,90,111,22,0,0,241,372
35093,Toronto Centre/Toronto-Centre,8,Toronto,0,0,0,10,107,106,21,0,2,246,413
35093,Toronto Centre/Toronto-Centre,9,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre,10,Toronto,0,0,0,11,75,100,20,0,4,210,376
35093,Toronto Centre/Toronto-Centre,11,Toronto,0,1,0,9,142,110,18,0,1,281,403
35093,Toronto Centre/Toronto-Centre,12,Toronto,0,0,0,7,159,87,10,0,0,263,413
35093,Toronto Centre/Toronto-Centre,13,Toronto,1,0,1,6,127,146,16,0,0,297,419
35093,Toronto Centre/Toronto-Centre,14,Toronto,1,0,0,12,101,79,33,0,0,226,433
35093,Toronto Centre/Toronto-Centre,15,Toronto,0,0,0,11,99,118,27,0,0,255,424
35093,Toronto Centre/Toronto-Centre,16,Toronto,0,0,0,16,107,86,20,0,0,229,371
35093,Toronto Centre/Toronto-Centre,17,Toronto,0,0,0,3,111,76,6,0,0,196,328
35093,Toronto Centre/Toronto-Centre,18,Toronto,0,0,1,11,134,94,23,0,1,264,393
35093,Toronto Centre/Toronto-Centre,19,Toronto,2,0,0,8,102,83,5,0,0,200,327
35093,Toronto Centre/Toronto-Centre,20,Toronto,0,0,0,4,71,86,13,0,0,174,310
35093,Toronto Centre/Toronto-Centre,21,Toronto,0,0,0,13,71,93,36,1,0,214,342
35093,Toronto Centre/Toronto-Centre,22,Toronto,0,0,1,11,54,73,17,1,1,158,268
35093,Toronto Centre/Toronto-Centre,23,Toronto,1,0,0,12,79,113,29,2,0,236,318
35093,Toronto Centre/Toronto-Centre,24,Toronto,1,0,0,9,75,74,20,0,0,179,278
35093,Toronto Centre/Toronto-Centre,25,Toronto,0,0,0,7,68,86,13,0,1,175,309
35093,Toronto Centre/Toronto-Centre,26,Toronto,0,0,0,13,119,122,23,0,0,277,486
35093,Toronto Centre/Toronto-Centre, 26-1,Toronto,2,0,0,3,95,67,16,0,0,183,375
35093,Toronto Centre/Toronto-Centre,27,Toronto,2,0,0,7,75,97,30,0,0,211,428
35093,Toronto Centre/Toronto-Centre, 28A,Toronto,2,1,0,3,62,71,35,0,0,174,387
35093,Toronto Centre/Toronto-Centre, 28B,Toronto,0,0,0,13,59,88,27,0,0,187,401
