Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melanie Deveau,Alishia Fox,Lisa Lumley,Brian Masse,Margaret Villamizar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Windsor West/Windsor-Ouest"," 1","Windsor",6,0,25,66,1,1,99,319
35102,"Windsor West/Windsor-Ouest"," 2","Windsor",10,4,10,30,0,0,54,236
35102,"Windsor West/Windsor-Ouest"," 3","Windsor",15,2,26,68,1,2,114,371
35102,"Windsor West/Windsor-Ouest"," 4","Windsor",7,4,17,76,0,0,104,452
35102,"Windsor West/Windsor-Ouest"," 5","Windsor",19,0,28,53,0,2,102,343
35102,"Windsor West/Windsor-Ouest"," 6","Windsor",24,7,20,73,0,0,124,427
35102,"Windsor West/Windsor-Ouest"," 7","Windsor",12,2,26,68,2,0,110,366
35102,"Windsor West/Windsor-Ouest"," 8","Windsor",9,4,40,79,0,0,132,444
35102,"Windsor West/Windsor-Ouest"," 9","Windsor",18,0,22,77,2,1,120,363
35102,"Windsor West/Windsor-Ouest"," 10","Windsor",12,4,12,50,0,1,79,216
35102,"Windsor West/Windsor-Ouest"," 11","Windsor",25,2,30,62,0,2,121,394
35102,"Windsor West/Windsor-Ouest"," 12","Windsor",32,3,35,65,0,0,135,370
35102,"Windsor West/Windsor-Ouest"," 13","Windsor",14,2,34,74,1,1,126,365
35102,"Windsor West/Windsor-Ouest"," 14","Windsor",11,5,39,69,2,2,128,348
35102,"Windsor West/Windsor-Ouest"," 15","Windsor",9,1,54,67,1,1,133,347
35102,"Windsor West/Windsor-Ouest"," 16","Windsor",23,6,46,129,0,0,204,426
35102,"Windsor West/Windsor-Ouest"," 17","Windsor",18,3,35,98,2,1,157,345
35102,"Windsor West/Windsor-Ouest"," 18","Windsor",12,3,37,69,0,0,121,430
35102,"Windsor West/Windsor-Ouest"," 19A","Windsor",6,2,11,21,0,1,41,137
35102,"Windsor West/Windsor-Ouest"," 19B","Windsor",7,1,19,25,1,0,53,106
35102,"Windsor West/Windsor-Ouest"," 20","Windsor",4,3,17,40,0,0,64,221
35102,"Windsor West/Windsor-Ouest"," 21","Windsor",14,9,42,69,1,0,135,265
35102,"Windsor West/Windsor-Ouest"," 22","Windsor",16,6,54,87,0,2,165,410
35102,"Windsor West/Windsor-Ouest"," 23","Windsor",28,9,34,99,2,0,172,499
35102,"Windsor West/Windsor-Ouest"," 24","Windsor",18,5,34,114,1,0,172,437
35102,"Windsor West/Windsor-Ouest"," 25","Windsor",19,6,27,48,2,2,104,311
35102,"Windsor West/Windsor-Ouest"," 26","Windsor",12,1,15,37,0,0,65,177
35102,"Windsor West/Windsor-Ouest"," 27","Windsor",14,6,18,52,0,0,90,259
35102,"Windsor West/Windsor-Ouest"," 28","Windsor",6,3,20,44,0,0,73,223
35102,"Windsor West/Windsor-Ouest"," 29","Windsor",23,6,44,144,1,1,219,400
35102,"Windsor West/Windsor-Ouest"," 30","Windsor",4,4,9,33,0,1,51,166
35102,"Windsor West/Windsor-Ouest"," 31","Windsor",13,3,19,62,0,1,98,262
35102,"Windsor West/Windsor-Ouest"," 32","Windsor",22,9,23,65,2,1,122,282
35102,"Windsor West/Windsor-Ouest"," 33","Windsor",12,3,55,87,1,0,158,406
35102,"Windsor West/Windsor-Ouest"," 34","Windsor",5,4,17,66,0,0,92,203
35102,"Windsor West/Windsor-Ouest"," 35","Windsor",2,3,15,70,0,0,90,296
35102,"Windsor West/Windsor-Ouest"," 36","Windsor",11,3,19,68,1,0,102,337
35102,"Windsor West/Windsor-Ouest"," 37","Windsor",5,6,21,64,1,0,97,266
35102,"Windsor West/Windsor-Ouest"," 38","Windsor",6,2,20,39,0,0,67,220
35102,"Windsor West/Windsor-Ouest"," 39","Windsor",20,8,33,82,1,0,144,390
35102,"Windsor West/Windsor-Ouest"," 40","Windsor",9,3,27,92,1,0,132,477
35102,"Windsor West/Windsor-Ouest"," 41","Windsor",13,9,23,74,1,1,121,469
35102,"Windsor West/Windsor-Ouest"," 42","Windsor",16,4,30,97,1,1,149,487
35102,"Windsor West/Windsor-Ouest"," 43","Windsor",11,5,16,45,0,0,77,291
35102,"Windsor West/Windsor-Ouest"," 44","Windsor",Void/Supprimé,,,,,,,
35102,"Windsor West/Windsor-Ouest"," 45","Windsor",Void/Supprimé,,,,,,,
35102,"Windsor West/Windsor-Ouest"," 46","Windsor",13,2,21,60,1,2,99,416
35102,"Windsor West/Windsor-Ouest"," 47","Windsor",3,1,10,41,0,0,55,225
35102,"Windsor West/Windsor-Ouest"," 48","Windsor",7,6,21,49,1,0,84,273
35102,"Windsor West/Windsor-Ouest"," 49","Windsor",9,6,24,76,0,1,116,353
