Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Maloway,Ilona Niemczyk,Lawrence Toet,Ellen Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 1","Winnipeg",80,12,68,11,1,172,306
46005,"Elmwood--Transcona/Elmwood--Transcona"," 2","Winnipeg",94,20,99,12,2,227,358
46005,"Elmwood--Transcona/Elmwood--Transcona"," 3","Winnipeg",87,21,112,11,0,231,359
46005,"Elmwood--Transcona/Elmwood--Transcona"," 4","Winnipeg",81,15,85,5,0,186,285
46005,"Elmwood--Transcona/Elmwood--Transcona"," 5","Winnipeg",126,20,111,5,0,262,385
46005,"Elmwood--Transcona/Elmwood--Transcona"," 6","Winnipeg",67,7,37,4,1,116,345
46005,"Elmwood--Transcona/Elmwood--Transcona"," 7","Winnipeg",41,5,69,2,1,118,265
46005,"Elmwood--Transcona/Elmwood--Transcona"," 8","Winnipeg",58,8,51,3,2,122,263
46005,"Elmwood--Transcona/Elmwood--Transcona"," 9","Winnipeg",73,8,61,7,1,150,273
46005,"Elmwood--Transcona/Elmwood--Transcona"," 10","Winnipeg",68,15,91,10,0,184,325
46005,"Elmwood--Transcona/Elmwood--Transcona"," 11","Winnipeg",74,5,79,5,0,163,281
46005,"Elmwood--Transcona/Elmwood--Transcona"," 12","Winnipeg",76,6,74,5,0,161,343
46005,"Elmwood--Transcona/Elmwood--Transcona"," 13","Winnipeg",67,8,84,3,0,162,293
46005,"Elmwood--Transcona/Elmwood--Transcona"," 14","Winnipeg",49,3,70,2,0,124,262
46005,"Elmwood--Transcona/Elmwood--Transcona"," 15","Winnipeg",58,5,89,3,0,155,247
46005,"Elmwood--Transcona/Elmwood--Transcona"," 16","Winnipeg",45,6,67,1,0,119,218
46005,"Elmwood--Transcona/Elmwood--Transcona"," 17","Winnipeg",49,5,84,5,0,143,241
46005,"Elmwood--Transcona/Elmwood--Transcona"," 18","Winnipeg",100,3,86,6,0,195,400
46005,"Elmwood--Transcona/Elmwood--Transcona"," 19","Winnipeg",64,5,84,6,0,159,277
46005,"Elmwood--Transcona/Elmwood--Transcona"," 20","Winnipeg",86,23,111,5,0,225,359
