Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rod Bruinooge,Terry Duguid,Dave Gaudreau,Caitlin McIntyre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South/Winnipeg-Sud"," 1","Winnipeg",142,72,12,2,0,228,447
46013,"Winnipeg South/Winnipeg-Sud"," 1-1","Winnipeg",113,44,21,3,0,181,345
46013,"Winnipeg South/Winnipeg-Sud"," 2A","Winnipeg",49,32,4,1,0,86,148
46013,"Winnipeg South/Winnipeg-Sud"," 2B","Winnipeg",66,41,24,4,1,136,156
46013,"Winnipeg South/Winnipeg-Sud"," 2C","Winnipeg",112,52,16,4,0,184,364
46013,"Winnipeg South/Winnipeg-Sud"," 2-1","Winnipeg",121,75,19,9,0,224,389
46013,"Winnipeg South/Winnipeg-Sud"," 3","Winnipeg",155,112,12,4,0,283,499
46013,"Winnipeg South/Winnipeg-Sud"," 4","Winnipeg",110,110,21,2,1,244,477
46013,"Winnipeg South/Winnipeg-Sud"," 5","Winnipeg",142,64,57,2,0,265,459
46013,"Winnipeg South/Winnipeg-Sud"," 6","Winnipeg",106,88,14,2,0,210,345
46013,"Winnipeg South/Winnipeg-Sud"," 7","Winnipeg",117,72,4,6,0,199,288
46013,"Winnipeg South/Winnipeg-Sud"," 8","Winnipeg",184,102,14,9,0,309,567
46013,"Winnipeg South/Winnipeg-Sud"," 9","Winnipeg",173,88,20,4,0,285,546
46013,"Winnipeg South/Winnipeg-Sud"," 10","Winnipeg",192,100,27,4,0,323,558
46013,"Winnipeg South/Winnipeg-Sud"," 10-1A","Winnipeg",120,59,7,2,1,189,294
46013,"Winnipeg South/Winnipeg-Sud"," 10-1B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,148
46013,"Winnipeg South/Winnipeg-Sud"," 10-2","Winnipeg",151,79,30,1,0,261,442
46013,"Winnipeg South/Winnipeg-Sud"," 11","Winnipeg",144,100,15,4,0,263,403
46013,"Winnipeg South/Winnipeg-Sud"," 12","Winnipeg",126,99,16,5,0,246,355
46013,"Winnipeg South/Winnipeg-Sud"," 13","Winnipeg",162,95,21,8,0,286,487
46013,"Winnipeg South/Winnipeg-Sud"," 14","Winnipeg",107,83,20,7,2,219,360
46013,"Winnipeg South/Winnipeg-Sud"," 15","Winnipeg",188,93,27,3,2,313,535
46013,"Winnipeg South/Winnipeg-Sud"," 16","Winnipeg",128,72,23,3,1,227,420
46013,"Winnipeg South/Winnipeg-Sud"," 16-1","Winnipeg",124,71,31,5,0,231,404
46013,"Winnipeg South/Winnipeg-Sud"," 16-2","Winnipeg",Void/Supprimé,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 16-3","Winnipeg",195,87,22,9,0,313,528
46013,"Winnipeg South/Winnipeg-Sud"," 17","Winnipeg",153,90,15,7,0,265,501
46013,"Winnipeg South/Winnipeg-Sud"," 18","Winnipeg",148,49,26,6,0,229,358
46013,"Winnipeg South/Winnipeg-Sud"," 19","Winnipeg",128,59,27,3,0,217,390
46013,"Winnipeg South/Winnipeg-Sud"," 20","Winnipeg",144,74,31,8,1,258,405
46013,"Winnipeg South/Winnipeg-Sud"," 21A","Winnipeg",79,46,14,3,0,142,262
46013,"Winnipeg South/Winnipeg-Sud"," 21B","Winnipeg",104,55,11,4,0,174,299
46013,"Winnipeg South/Winnipeg-Sud"," 22","Winnipeg",169,54,33,7,1,264,473
46013,"Winnipeg South/Winnipeg-Sud"," 23","Winnipeg",169,101,24,1,3,298,477
46013,"Winnipeg South/Winnipeg-Sud"," 24","Winnipeg",187,101,17,4,0,309,536
46013,"Winnipeg South/Winnipeg-Sud"," 25","Winnipeg",146,86,31,5,0,268,463
46013,"Winnipeg South/Winnipeg-Sud"," 26","Winnipeg",133,125,27,4,0,289,544
46013,"Winnipeg South/Winnipeg-Sud"," 26-1A","Winnipeg",135,77,32,2,6,252,406
46013,"Winnipeg South/Winnipeg-Sud"," 26-1B","Winnipeg",118,86,31,7,0,242,420
46013,"Winnipeg South/Winnipeg-Sud"," 26-1C","Winnipeg",126,90,27,3,1,247,422
46013,"Winnipeg South/Winnipeg-Sud"," 26-2","Winnipeg",77,67,21,0,4,169,264
46013,"Winnipeg South/Winnipeg-Sud"," 27","Winnipeg",118,53,17,7,0,195,334
46013,"Winnipeg South/Winnipeg-Sud"," 28","Winnipeg",125,93,30,5,3,256,536
46013,"Winnipeg South/Winnipeg-Sud"," 28-1","Winnipeg",102,79,24,1,0,206,359
46013,"Winnipeg South/Winnipeg-Sud"," 29","Winnipeg",136,108,22,3,2,271,403
46013,"Winnipeg South/Winnipeg-Sud"," 29-1","Winnipeg",144,90,19,5,0,258,396
46013,"Winnipeg South/Winnipeg-Sud"," 29-2","Winnipeg",Void/Supprimé,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 30","Winnipeg",166,111,29,2,2,310,460
46013,"Winnipeg South/Winnipeg-Sud"," 31","Winnipeg",137,105,26,8,4,280,467
46013,"Winnipeg South/Winnipeg-Sud"," 32","Winnipeg",81,55,24,3,0,163,295
46013,"Winnipeg South/Winnipeg-Sud"," 33","Winnipeg",129,63,14,1,0,207,350
46013,"Winnipeg South/Winnipeg-Sud"," 34","Winnipeg",36,28,29,2,1,96,288
46013,"Winnipeg South/Winnipeg-Sud"," 35","Winnipeg",73,48,26,2,0,149,330
46013,"Winnipeg South/Winnipeg-Sud"," 36","Winnipeg",113,77,23,2,0,215,389
46013,"Winnipeg South/Winnipeg-Sud"," 37","Winnipeg",86,56,15,2,0,159,268
46013,"Winnipeg South/Winnipeg-Sud"," 38","Winnipeg",79,51,28,4,1,163,284
46013,"Winnipeg South/Winnipeg-Sud"," 39","Winnipeg",142,56,58,9,1,266,439
46013,"Winnipeg South/Winnipeg-Sud"," 40","Winnipeg",113,91,51,5,0,260,535
46013,"Winnipeg South/Winnipeg-Sud"," 41","Winnipeg",106,41,17,2,1,167,310
46013,"Winnipeg South/Winnipeg-Sud"," 42","Winnipeg",132,67,35,4,1,239,432
46013,"Winnipeg South/Winnipeg-Sud"," 43A","Winnipeg",77,51,22,3,0,153,277
46013,"Winnipeg South/Winnipeg-Sud"," 43B","Winnipeg",79,46,21,2,0,148,289
46013,"Winnipeg South/Winnipeg-Sud"," 44","Winnipeg",88,41,47,6,0,182,387
46013,"Winnipeg South/Winnipeg-Sud"," 45","Winnipeg",110,29,37,3,0,179,321
46013,"Winnipeg South/Winnipeg-Sud"," 46","Winnipeg",88,43,59,5,1,196,400
46013,"Winnipeg South/Winnipeg-Sud"," 47","Winnipeg",82,62,9,7,0,160,267
46013,"Winnipeg South/Winnipeg-Sud"," 48","Winnipeg",81,85,32,2,0,200,335
46013,"Winnipeg South/Winnipeg-Sud"," 49","Winnipeg",103,68,26,6,0,203,311
46013,"Winnipeg South/Winnipeg-Sud"," 50","Winnipeg",116,96,22,4,1,239,406
46013,"Winnipeg South/Winnipeg-Sud"," 51","Winnipeg",130,76,22,7,1,236,464
46013,"Winnipeg South/Winnipeg-Sud"," 52","Winnipeg",69,57,27,7,1,161,335
46013,"Winnipeg South/Winnipeg-Sud"," 53","Winnipeg",71,52,32,3,1,159,338
46013,"Winnipeg South/Winnipeg-Sud"," 54","Winnipeg",103,63,31,8,0,205,379
46013,"Winnipeg South/Winnipeg-Sud"," 55","Winnipeg",71,49,27,1,1,149,281
46013,"Winnipeg South/Winnipeg-Sud"," 56","Winnipeg",98,55,14,0,1,168,343
46013,"Winnipeg South/Winnipeg-Sud"," 57","Winnipeg",95,34,28,5,0,162,380
46013,"Winnipeg South/Winnipeg-Sud"," 58","Winnipeg",87,44,29,4,0,164,395
46013,"Winnipeg South/Winnipeg-Sud"," 59","Winnipeg",75,41,30,4,0,150,320
46013,"Winnipeg South/Winnipeg-Sud"," 60","Winnipeg",79,43,25,2,1,150,245
46013,"Winnipeg South/Winnipeg-Sud"," 61","Winnipeg",Void/Supprimé,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 62","Winnipeg",Void/Supprimé,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 63","Winnipeg",176,88,70,6,0,340,503
46013,"Winnipeg South/Winnipeg-Sud"," 64","Winnipeg",78,34,33,5,0,150,285
46013,"Winnipeg South/Winnipeg-Sud"," 65","Winnipeg",Void/Supprimé,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 66","Winnipeg",Void/Supprimé,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 67","Winnipeg",106,83,21,2,0,212,324
46013,"Winnipeg South/Winnipeg-Sud"," 68","Winnipeg",Void/Supprimé,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 69","Winnipeg",37,19,20,2,0,78,210
46013,"Winnipeg South/Winnipeg-Sud"," 70","Winnipeg",27,21,25,3,1,77,299
46013,"Winnipeg South/Winnipeg-Sud"," 71","Winnipeg",32,27,27,2,0,88,277
46013,"Winnipeg South/Winnipeg-Sud"," 72","Winnipeg",71,27,40,2,0,140,424
46013,"Winnipeg South/Winnipeg-Sud"," 73","Winnipeg",53,24,26,4,0,107,287
46013,"Winnipeg South/Winnipeg-Sud"," 74","Winnipeg",38,40,19,1,0,98,251
46013,"Winnipeg South/Winnipeg-Sud"," 75","Winnipeg",78,77,33,4,0,192,377
46013,"Winnipeg South/Winnipeg-Sud"," 76","Winnipeg",14,15,20,1,0,50,145
46013,"Winnipeg South/Winnipeg-Sud"," 77","Winnipeg",50,54,26,2,1,133,331
46013,"Winnipeg South/Winnipeg-Sud"," 78","Winnipeg",93,93,32,9,0,227,362
46013,"Winnipeg South/Winnipeg-Sud"," 79","Winnipeg",73,71,21,6,0,171,314
46013,"Winnipeg South/Winnipeg-Sud"," 80","Winnipeg",78,54,36,1,0,169,381
46013,"Winnipeg South/Winnipeg-Sud"," 81","Winnipeg",60,50,58,1,0,169,461
46013,"Winnipeg South/Winnipeg-Sud"," 82","Winnipeg",Void/Supprimé,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 83","Winnipeg",79,93,22,5,1,200,366
46013,"Winnipeg South/Winnipeg-Sud"," 84","Winnipeg",88,108,13,5,2,216,365
46013,"Winnipeg South/Winnipeg-Sud"," 85","Winnipeg",96,99,33,5,1,234,394
46013,"Winnipeg South/Winnipeg-Sud"," 86","Winnipeg",60,62,43,7,3,175,394
46013,"Winnipeg South/Winnipeg-Sud"," 87","Winnipeg",Void/Supprimé,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 88","Winnipeg",39,37,13,3,0,92,190
46013,"Winnipeg South/Winnipeg-Sud"," 89","Winnipeg",76,69,32,8,0,185,334
46013,"Winnipeg South/Winnipeg-Sud"," 90","Winnipeg",80,80,24,0,1,185,338
46013,"Winnipeg South/Winnipeg-Sud"," 91","Winnipeg",98,127,15,7,1,248,383
46013,"Winnipeg South/Winnipeg-Sud"," 92","Winnipeg",153,76,63,7,1,300,486
46013,"Winnipeg South/Winnipeg-Sud"," 93","Winnipeg",76,86,26,7,0,195,409
46013,"Winnipeg South/Winnipeg-Sud"," 94","Winnipeg",73,58,14,2,1,148,249
46013,"Winnipeg South/Winnipeg-Sud"," 95","Winnipeg",104,70,24,4,0,202,335
46013,"Winnipeg South/Winnipeg-Sud"," 96","Winnipeg",87,100,22,9,3,221,381
46013,"Winnipeg South/Winnipeg-Sud"," 97","Winnipeg",134,96,15,7,0,252,412
46013,"Winnipeg South/Winnipeg-Sud"," 98","Winnipeg",143,99,20,8,0,270,468
46013,"Winnipeg South/Winnipeg-Sud"," 99","Winnipeg",102,58,41,9,1,211,361
46013,"Winnipeg South/Winnipeg-Sud"," 100","Winnipeg",81,32,36,4,0,153,345
46013,"Winnipeg South/Winnipeg-Sud"," 101","Winnipeg",133,71,20,8,1,233,409
46013,"Winnipeg South/Winnipeg-Sud"," 102","Winnipeg",94,48,32,1,1,176,307
46013,"Winnipeg South/Winnipeg-Sud"," 103","Winnipeg",133,52,34,5,1,225,394
46013,"Winnipeg South/Winnipeg-Sud"," 104","Winnipeg",39,66,18,5,1,129,209
46013,"Winnipeg South/Winnipeg-Sud"," 105","Winnipeg",118,78,34,7,3,240,389
46013,"Winnipeg South/Winnipeg-Sud"," 106","Winnipeg",119,89,57,4,1,270,466
46013,"Winnipeg South/Winnipeg-Sud"," 107","Winnipeg",117,75,59,7,3,261,414
46013,"Winnipeg South/Winnipeg-Sud"," 108","Winnipeg",51,29,41,11,1,133,299
46013,"Winnipeg South/Winnipeg-Sud"," 109","Winnipeg",83,46,61,6,0,196,427
46013,"Winnipeg South/Winnipeg-Sud"," 110","Winnipeg",81,47,56,2,0,186,325
46013,"Winnipeg South/Winnipeg-Sud"," 111","Winnipeg",103,72,32,8,2,217,396
46013,"Winnipeg South/Winnipeg-Sud"," 112","Winnipeg",82,36,51,6,0,175,343
46013,"Winnipeg South/Winnipeg-Sud"," 113","Winnipeg",86,38,25,4,0,153,288
46013,"Winnipeg South/Winnipeg-Sud"," 114","Winnipeg",81,54,46,8,0,189,302
46013,"Winnipeg South/Winnipeg-Sud"," 115","Winnipeg",123,43,38,5,3,212,418
46013,"Winnipeg South/Winnipeg-Sud"," 116","Winnipeg",107,51,40,2,1,201,360
46013,"Winnipeg South/Winnipeg-Sud"," 117","Winnipeg",140,55,56,5,2,258,537
46013,"Winnipeg South/Winnipeg-Sud"," 118","Winnipeg",109,70,48,7,0,234,408
46013,"Winnipeg South/Winnipeg-Sud"," 119","Winnipeg",112,80,53,6,1,252,459
46013,"Winnipeg South/Winnipeg-Sud"," 120","Winnipeg",Void/Supprimé,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 120-1","Winnipeg",155,75,50,4,3,287,499
46013,"Winnipeg South/Winnipeg-Sud"," 121","Winnipeg",91,56,60,9,3,219,362
46013,"Winnipeg South/Winnipeg-Sud"," 122","Winnipeg",106,41,29,2,0,178,333
46013,"Winnipeg South/Winnipeg-Sud"," 123","Winnipeg",116,93,54,9,0,272,439
46013,"Winnipeg South/Winnipeg-Sud"," 124","Winnipeg",109,47,50,4,1,211,391
46013,"Winnipeg South/Winnipeg-Sud"," 125","Winnipeg",88,28,29,4,2,151,299
46013,"Winnipeg South/Winnipeg-Sud"," 126","Winnipeg",170,114,41,8,0,333,559
46013,"Winnipeg South/Winnipeg-Sud"," 127","Winnipeg",69,57,30,8,0,164,317
46013,"Winnipeg South/Winnipeg-Sud"," 128","Winnipeg",73,38,41,4,1,157,284
46013,"Winnipeg South/Winnipeg-Sud"," 129","Winnipeg",157,78,53,5,0,293,513
46013,"Winnipeg South/Winnipeg-Sud"," 130","Winnipeg",149,62,38,1,1,251,503
46013,"Winnipeg South/Winnipeg-Sud"," 130-1","Winnipeg",110,44,21,2,0,177,296
46013,"Winnipeg South/Winnipeg-Sud"," 131","Winnipeg",145,50,27,14,1,237,366
46013,"Winnipeg South/Winnipeg-Sud"," 131-1","Winnipeg",157,51,22,7,0,237,390
46013,"Winnipeg South/Winnipeg-Sud"," 132","Winnipeg",122,48,21,5,1,197,330
46013,"Winnipeg South/Winnipeg-Sud"," 133","Winnipeg",104,70,36,10,0,220,372
46013,"Winnipeg South/Winnipeg-Sud"," 134","Winnipeg",129,60,46,6,1,242,416
46013,"Winnipeg South/Winnipeg-Sud"," 135","Winnipeg",105,52,25,7,5,194,315
46013,"Winnipeg South/Winnipeg-Sud"," 136","Winnipeg",73,49,26,1,0,149,268
46013,"Winnipeg South/Winnipeg-Sud"," 137","Winnipeg",133,54,32,6,0,225,385
46013,"Winnipeg South/Winnipeg-Sud"," 137-1","Winnipeg",99,64,34,3,1,201,314
46013,"Winnipeg South/Winnipeg-Sud"," 138A","Winnipeg",109,52,18,1,0,180,316
46013,"Winnipeg South/Winnipeg-Sud"," 138B","Winnipeg",101,35,34,1,1,172,309
46013,"Winnipeg South/Winnipeg-Sud"," 138-1A","Winnipeg",84,56,18,3,0,161,300
46013,"Winnipeg South/Winnipeg-Sud"," 138-1B","Winnipeg",82,47,23,4,0,156,311
46013,"Winnipeg South/Winnipeg-Sud"," 139","Winnipeg",165,80,52,6,0,303,519
46013,"Winnipeg South/Winnipeg-Sud"," 140","Winnipeg",112,63,40,3,0,218,382
46013,"Winnipeg South/Winnipeg-Sud"," 141","Winnipeg",201,107,44,7,0,359,550
46013,"Winnipeg South/Winnipeg-Sud"," 142","Winnipeg",131,109,37,3,1,281,429
46013,"Winnipeg South/Winnipeg-Sud"," 142-1","Winnipeg",192,92,30,12,0,326,568
46013,"Winnipeg South/Winnipeg-Sud"," 143","Winnipeg",145,71,39,7,0,262,465
46013,"Winnipeg South/Winnipeg-Sud"," 143-1","Winnipeg",185,73,39,6,1,304,556
46013,"Winnipeg South/Winnipeg-Sud"," 144","Winnipeg",99,65,42,4,0,210,321
46013,"Winnipeg South/Winnipeg-Sud"," 144-1","Winnipeg",84,50,25,2,0,161,268
46013,"Winnipeg South/Winnipeg-Sud"," 145","Winnipeg",128,51,43,3,0,225,434
46013,"Winnipeg South/Winnipeg-Sud"," 146","Winnipeg",201,75,31,7,2,316,546
46013,"Winnipeg South/Winnipeg-Sud"," 400","Winnipeg",86,41,28,2,0,157,205
46013,"Winnipeg South/Winnipeg-Sud"," 401","Winnipeg",162,89,49,4,2,306,461
46013,"Winnipeg South/Winnipeg-Sud"," 402","Winnipeg",122,58,40,5,0,225,335
46013,"Winnipeg South/Winnipeg-Sud"," 500","Mobile poll/Bureau itinérant",24,17,16,8,20,85,180
46013,"Winnipeg South/Winnipeg-Sud"," 501","Mobile poll/Bureau itinérant",101,59,32,5,1,198,267
46013,"Winnipeg South/Winnipeg-Sud"," 502","Mobile poll/Bureau itinérant",112,42,20,1,5,180,87
46013,"Winnipeg South/Winnipeg-Sud"," 600","Winnipeg",433,346,24,14,3,820,
46013,"Winnipeg South/Winnipeg-Sud"," 601","Winnipeg",489,259,44,4,3,799,
46013,"Winnipeg South/Winnipeg-Sud"," 602","Winnipeg",358,345,33,5,3,744,
46013,"Winnipeg South/Winnipeg-Sud"," 603","Winnipeg",430,306,64,8,3,811,
46013,"Winnipeg South/Winnipeg-Sud"," 604","Winnipeg",358,427,51,19,4,859,
46013,"Winnipeg South/Winnipeg-Sud"," 605","Winnipeg",355,303,60,8,3,729,
46013,"Winnipeg South/Winnipeg-Sud"," 606","Winnipeg",343,253,78,4,3,681,
46013,"Winnipeg South/Winnipeg-Sud"," 607","Winnipeg",522,287,97,13,4,923,
46013,"Winnipeg South/Winnipeg-Sud"," 608","Winnipeg",485,273,80,22,2,862,
46013,"Winnipeg South/Winnipeg-Sud",,Group 1/Groupe 1,84,44,10,1,9,148,261
46013,"Winnipeg South/Winnipeg-Sud",,Group 2/Groupe 2,390,306,52,10,11,769,
