Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norbert Kratchmer,Jordan LaPlante,Gerry Ritz,Glenn Tait,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 1A","Onion Lake",4,6,14,126,1,151,819
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 1B","Onion Lake",0,8,12,111,0,131,635
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 2","Fort Pitt",1,0,153,10,0,164,247
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 3","Bolney",2,1,163,9,0,175,257
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 4","Paradise Hill",9,3,185,43,2,242,419
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 5","St. Walburg",1,3,197,33,0,234,507
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 6","St. Walburg",2,2,145,33,0,182,318
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 7","Spruce Lake",0,0,39,6,0,45,96
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 8","Elmhurst",5,3,104,35,0,147,174
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 9","Spruce Lake",3,0,78,8,0,89,138
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 10","Thunderchild First Nation 115B",0,1,8,114,2,125,168
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 11","Turtleford",3,1,70,34,0,108,164
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 12","Turtleford",4,10,159,102,0,275,662
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 13","Livelong",6,8,216,46,0,276,406
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 14","Mervin",2,3,102,47,1,155,230
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 15","Glaslyn",1,1,137,27,0,166,268
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 16","Glaslyn",6,5,134,46,0,191,390
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 17","Medstead",7,5,248,56,0,316,430
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 18","Edam",3,3,88,16,0,110,163
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 19","Edam",2,5,199,36,0,242,338
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 20","Vawn",1,4,78,26,0,109,179
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 21","Meota",4,10,221,106,0,341,536
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 22","Cochin",5,6,146,105,0,262,602
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 23","Prince",4,2,62,11,0,79,160
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 24","Saulteaux 159",0,6,11,82,1,100,172
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 25","Moosomin 112B",0,6,9,104,2,121,212
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 26","Rabbit Lake",4,5,111,28,0,148,274
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 27","Whitkow",Void/Supprimé,,,,,,
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 28","North Battleford",4,14,201,59,1,279,445
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 29","Denholm",3,3,98,45,0,149,210
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 30","North Battleford",3,11,195,65,0,274,478
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 31","North Battleford",5,8,202,119,1,335,699
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 32","North Battleford",3,7,127,65,0,202,330
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 33","North Battleford",4,4,88,71,0,167,293
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 34","North Battleford",3,8,128,84,2,225,358
