Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Gordon Clarke,Lawrence Joseph,Gabe Lafond,George Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 1","Camsell Portage",16,27,2,4,0,49,102
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 2","Uranium City",Void/Supprimé,,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 3","Fond-du-Lac",67,77,12,0,0,156,449
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 4","Stony Rapids",24,22,0,1,1,48,171
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 5A","Black Lake",26,41,5,1,1,74,268
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 5B","Black Lake",14,32,9,0,3,58,251
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 6A","Black Lake",Merged with No. 5A/Fusionné avec le nº 5A,,,,,,20
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 6B","Black Lake",Merged with No. 5B/Fusionné avec le nº 5B,,,,,,49
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 7","Wollaston Lake",12,115,1,0,2,130,423
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 8","Wollaston Lake",Merged with No. 7/Fusionné avec le nº 7,,,,,,149
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 9","Descharme Lake",10,80,5,0,0,95,331
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 10","Turnor Lake",Void/Supprimé,,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 11","La Loche",6,19,2,0,0,27,150
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 12","La Loche",12,9,0,1,1,23,145
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 13A","La Loche",Merged with No. 14A/Fusionné avec le nº 14A,,,,,,140
