Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Anderson,Duane Filson,Trevor Peterson,Helmi Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 1","Eatonia",143,8,26,5,0,182,337
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 2","Eatonia",163,18,44,11,0,236,356
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 3","Glidden",70,5,25,9,0,109,225
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 4","Eston",119,10,26,1,1,157,221
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 5","Eston",152,38,42,15,0,247,463
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 6","Eston",158,26,38,7,0,229,425
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 7","Mendham",74,1,3,2,0,80,153
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 8","Burstall",150,3,26,6,1,186,297
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 9","Leader",110,13,15,4,0,142,246
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 10","Leader",209,15,44,8,1,277,503
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 11","Leader",63,8,20,5,0,96,159
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 12","Sceptre",105,4,27,12,0,148,212
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 13","Lancer",51,11,11,3,0,76,146
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 14","Abbey",102,3,29,4,0,138,228
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 15","Richmound",106,8,27,1,0,142,217
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 16","Fox Valley",156,7,32,12,1,208,409
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 17","Elrose",162,7,46,5,0,220,367
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 18","Elrose",181,9,82,10,0,282,427
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 19","Wiseton",Void/Supprimé,,,,,,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 20","Milden",143,5,28,2,0,178,276
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 21","Conquest",107,7,49,3,0,166,267
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 22","Macrorie",68,11,29,4,0,112,153
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 23","Dinsmore",244,5,61,3,0,313,493
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 24","Birsay",207,13,29,1,0,250,392
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 25","Lacadena",146,29,110,2,2,289,385
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 26","Kyle",118,8,91,9,0,226,364
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 27","Beechy",176,12,44,5,1,238,382
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 28","Beechy",75,6,28,2,0,111,137
