Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Bigland-Pritchard,John Parry,Maurice Vellacott,Patricia Zipchen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 1","Mullingar",1,11,64,1,0,77,111
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 2","Mayfair",1,28,94,1,0,124,212
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 3","Pebble Baye",0,1,19,2,0,22,51
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 3-1","Muskeg Lake Cree Nation 102R",8,58,39,14,0,119,137
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 4","Parkside",2,32,107,3,0,144,218
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 5","Leask",2,18,77,0,0,97,220
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 6A","Leask",0,28,69,4,1,102,293
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 6B","Leask",4,16,65,2,1,88,203
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 6-1A","Leask",Merged with No. 6A/Fusionné avec le nº 6A,,,,,,33
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 6-1B","Leask",Merged with No. 6B/Fusionné avec le nº 6B,,,,,,33
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 7","Marcelin",5,33,82,8,1,129,276
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 8","Blaine Lake",7,45,148,8,1,209,446
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 9","Blaine Lake",1,12,81,2,1,97,170
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 10","Speers",3,46,117,9,1,176,289
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 11","Hafford",3,17,93,2,0,115,246
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 12","Hafford",11,46,100,7,0,164,336
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 13","Maymont",2,44,139,8,0,193,306
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 14","Radisson",5,28,111,3,0,147,212
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 15","Radisson",14,65,147,9,0,235,419
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 16","Borden",23,62,166,9,2,262,386
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 17A","Langham",Merged with No. 18A/Fusionné avec le nº 18A,,,,,,50
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 17B","Langham",Merged with No. 18B/Fusionné avec le nº 18B,,,,,,45
47011,"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 18A","Langham",5,69,152,7,0,233,300
