Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Allan Arthur,Gerald Borrowman,Bob Deptuck,Ed Komarnicki,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 1","Summerberry",16,0,3,93,0,112,173
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 2","Grenfell",19,6,0,125,0,150,237
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 3","Grenfell",10,5,5,85,0,105,188
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 4","Grenfell",50,14,10,142,0,216,467
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 5","Sakimay 74",13,3,3,126,0,145,277
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 6","Cowessess 73",73,14,1,14,0,102,218
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 7","Ochapowace 71",25,6,0,4,0,35,95
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 8","Broadview",32,7,9,98,0,146,254
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 9","Broadview",60,9,11,119,0,199,496
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 10","Whitewood",31,6,6,158,1,202,328
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 11","Whitewood",34,7,9,141,0,191,426
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 12","Whitewood",10,8,2,85,0,105,203
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 13","Wapella",16,5,2,107,1,131,208
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 14","Wapella",18,5,3,104,0,130,262
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 15","Rocanville",52,3,8,188,1,252,363
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 16","Rocanville",35,5,3,61,0,104,163
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 17","Rocanville",71,7,13,211,0,302,495
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 18","Moosomin",32,7,5,135,2,181,336
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 19","Moosomin",29,4,3,156,0,192,317
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 20","Moosomin",27,10,8,141,0,186,312
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 21","Moosomin",32,7,3,102,1,145,274
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 22","Moosomin",32,6,9,146,2,195,316
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 23","Moosomin",51,10,13,225,3,302,611
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 24","Langbank",22,1,4,119,1,147,246
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 25","St. Hubert Mission",5,1,0,57,1,64,112
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 26","Kipling",30,5,5,137,0,177,289
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 27","Kipling",43,8,3,188,0,242,478
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 28","Kipling",36,4,4,159,0,203,283
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 29","Windthorst",55,7,4,157,1,224,343
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 30","Glenavon",22,6,2,160,1,191,332
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 31","Milestone",21,7,2,115,0,145,217
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 32","Milestone",68,26,5,198,3,300,481
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 33","Lang",25,5,9,80,0,119,193
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 34","Yellow Grass",40,9,9,194,1,253,382
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 35","Cedoux",32,8,4,131,0,175,273
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 36","McTaggart",30,4,7,155,1,197,330
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 37","Fillmore",27,4,1,122,0,154,194
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 38","Fillmore",35,4,7,82,0,128,179
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 39","Creelman",11,2,3,87,1,104,152
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 40","Handsworth",14,1,1,74,0,90,178
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 41","Kennedy",18,7,7,114,0,146,268
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 42","Kenosee Park",40,9,18,177,0,244,365
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 42-1","Wawota",39,7,17,170,0,233,373
