Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kash Andreychuk,Garry Breitkreuz,Elaine Hughes,Douglas Ottenbreit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville/Yorkton--Melville"," 1","McKague",3,70,4,25,0,102,133
47014,"Yorkton--Melville/Yorkton--Melville"," 2","Archerwill",10,160,7,55,0,232,396
47014,"Yorkton--Melville/Yorkton--Melville"," 3","Crooked River",2,66,1,15,0,84,129
47014,"Yorkton--Melville/Yorkton--Melville"," 4","Mistatim",16,99,0,13,0,128,192
47014,"Yorkton--Melville/Yorkton--Melville"," 5","Bjorkdale",6,133,9,55,0,203,333
47014,"Yorkton--Melville/Yorkton--Melville"," 6","Chelan",5,60,4,36,0,105,166
47014,"Yorkton--Melville/Yorkton--Melville"," 7","Porcupine Plain",2,120,4,25,1,152,260
47014,"Yorkton--Melville/Yorkton--Melville"," 8","Porcupine Plain",11,163,7,51,1,233,463
47014,"Yorkton--Melville/Yorkton--Melville"," 9","Porcupine Plain",9,63,4,28,3,107,189
47014,"Yorkton--Melville/Yorkton--Melville"," 10","Prairie River",0,58,2,26,0,86,120
47014,"Yorkton--Melville/Yorkton--Melville"," 11","Carragana",1,66,0,24,0,91,158
47014,"Yorkton--Melville/Yorkton--Melville"," 12","Weekes",3,90,1,25,0,119,184
47014,"Yorkton--Melville/Yorkton--Melville"," 13","Hudson Bay",8,189,6,44,1,248,440
47014,"Yorkton--Melville/Yorkton--Melville"," 14","Hudson Bay",9,134,3,32,0,178,366
47014,"Yorkton--Melville/Yorkton--Melville"," 15A","Hudson Bay",3,51,3,35,0,92,262
47014,"Yorkton--Melville/Yorkton--Melville"," 15B","Hudson Bay",2,69,5,36,0,112,243
47014,"Yorkton--Melville/Yorkton--Melville"," 16","Hudson Bay",8,85,6,51,0,150,237
47014,"Yorkton--Melville/Yorkton--Melville"," 17","Hudson Bay",7,121,2,36,1,167,360
47014,"Yorkton--Melville/Yorkton--Melville"," 18","Hudson Bay",0,55,0,13,0,68,111
47014,"Yorkton--Melville/Yorkton--Melville"," 19","Yellowquill 90",11,5,8,74,0,98,793
47014,"Yorkton--Melville/Yorkton--Melville"," 19-1","Périgord",3,74,4,22,0,103,170
47014,"Yorkton--Melville/Yorkton--Melville"," 20","Kelvington",1,133,1,16,0,151,199
47014,"Yorkton--Melville/Yorkton--Melville"," 21","Kelvington",7,108,4,38,0,157,263
47014,"Yorkton--Melville/Yorkton--Melville"," 22","Kelvington",10,185,8,49,1,253,480
47014,"Yorkton--Melville/Yorkton--Melville"," 23","Rose Valley",4,161,2,18,0,185,267
47014,"Yorkton--Melville/Yorkton--Melville"," 24","Rose Valley",7,99,9,29,0,144,248
47014,"Yorkton--Melville/Yorkton--Melville"," 25","Fosston",1,76,1,17,1,96,165
47014,"Yorkton--Melville/Yorkton--Melville"," 26","Wadena",8,102,3,23,0,136,212
47014,"Yorkton--Melville/Yorkton--Melville"," 27","Wadena",1,57,0,24,0,82,107
47014,"Yorkton--Melville/Yorkton--Melville"," 28","Wadena",12,156,6,51,2,227,369
47014,"Yorkton--Melville/Yorkton--Melville"," 29A","Wadena",4,104,6,45,0,159,274
47014,"Yorkton--Melville/Yorkton--Melville"," 29B","Wadena",2,92,3,43,0,140,280
47014,"Yorkton--Melville/Yorkton--Melville"," 30","Wadena",7,96,8,53,1,165,258
47014,"Yorkton--Melville/Yorkton--Melville"," 31","Kelvington",7,109,4,27,1,148,236
47014,"Yorkton--Melville/Yorkton--Melville"," 32","Kuroki",0,119,2,31,0,152,230
47014,"Yorkton--Melville/Yorkton--Melville"," 33","Margo",3,120,5,10,0,138,187
47014,"Yorkton--Melville/Yorkton--Melville"," 34","Lintlaw",3,125,6,23,0,157,255
47014,"Yorkton--Melville/Yorkton--Melville"," 35","Hazel Dell",2,116,1,22,3,144,248
47014,"Yorkton--Melville/Yorkton--Melville"," 36","Endeavour",1,90,3,22,0,116,212
47014,"Yorkton--Melville/Yorkton--Melville"," 37","Endeavour",7,114,4,22,0,147,253
47014,"Yorkton--Melville/Yorkton--Melville"," 38","Preeceville",3,120,6,38,0,167,264
47014,"Yorkton--Melville/Yorkton--Melville"," 39","Preeceville",10,152,6,39,2,209,434
47014,"Yorkton--Melville/Yorkton--Melville"," 40","Preeceville",6,77,3,23,0,109,179
47014,"Yorkton--Melville/Yorkton--Melville"," 41","Preeceville",3,78,2,28,0,111,249
47014,"Yorkton--Melville/Yorkton--Melville"," 42","Sturgis",7,138,1,40,0,186,316
47014,"Yorkton--Melville/Yorkton--Melville"," 43","Sturgis",9,62,0,26,0,97,158
47014,"Yorkton--Melville/Yorkton--Melville"," 44","Sturgis",13,122,5,57,0,197,341
47014,"Yorkton--Melville/Yorkton--Melville"," 45","Danbury",4,70,1,9,1,85,169
47014,"Yorkton--Melville/Yorkton--Melville"," 46","Swan Plain",7,79,0,6,0,92,155
47014,"Yorkton--Melville/Yorkton--Melville"," 47","Arran",3,90,4,39,0,136,223
47014,"Yorkton--Melville/Yorkton--Melville"," 48","Hyas",2,90,3,28,0,123,253
47014,"Yorkton--Melville/Yorkton--Melville"," 49","Norquay",3,84,1,21,0,109,169
47014,"Yorkton--Melville/Yorkton--Melville"," 50","Norquay",4,130,11,25,0,170,412
47014,"Yorkton--Melville/Yorkton--Melville"," 51","Pelly",2,79,2,15,1,99,159
