Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blanchard,Sheila Brown-Eckersley,Devinder Shory,Colette Singh,Cam Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Northeast/Calgary-Nord-Est"," 1","Calgary",0,5,108,19,15,1,148,345
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-1","Calgary",0,12,160,35,46,2,255,640
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-2","Calgary",3,10,92,20,19,0,144,435
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-3","Calgary",1,9,114,20,15,0,159,378
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-4","Calgary",0,9,140,17,11,1,178,375
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-5","Calgary",0,14,145,36,43,1,239,587
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-6","Calgary",0,19,121,30,40,1,211,617
48004,"Calgary Northeast/Calgary-Nord-Est"," 1-7","Calgary",0,14,180,32,38,0,264,689
48004,"Calgary Northeast/Calgary-Nord-Est"," 2","Calgary",2,14,141,19,28,2,206,496
48004,"Calgary Northeast/Calgary-Nord-Est"," 3","Calgary",0,5,127,19,14,1,166,376
48004,"Calgary Northeast/Calgary-Nord-Est"," 4","Calgary",0,11,122,24,31,0,188,454
48004,"Calgary Northeast/Calgary-Nord-Est"," 4-1","Calgary",3,13,94,13,18,1,142,418
48004,"Calgary Northeast/Calgary-Nord-Est"," 4-2","Calgary",1,12,154,23,32,0,222,451
48004,"Calgary Northeast/Calgary-Nord-Est"," 4-3","Calgary",0,12,146,28,42,0,228,482
48004,"Calgary Northeast/Calgary-Nord-Est"," 5","Calgary",2,4,156,33,22,2,219,503
48004,"Calgary Northeast/Calgary-Nord-Est"," 6","Calgary",1,10,106,18,31,0,166,350
48004,"Calgary Northeast/Calgary-Nord-Est"," 6-1","Calgary",0,5,91,7,11,1,115,285
48004,"Calgary Northeast/Calgary-Nord-Est"," 6-2","Calgary",0,14,92,34,22,0,162,383
48004,"Calgary Northeast/Calgary-Nord-Est"," 6-3","Calgary",Void/Supprimé,,,,,,,
48004,"Calgary Northeast/Calgary-Nord-Est"," 7","Calgary",1,8,164,37,27,2,239,543
48004,"Calgary Northeast/Calgary-Nord-Est"," 8","Calgary",2,18,177,27,20,1,245,517
48004,"Calgary Northeast/Calgary-Nord-Est"," 9","Calgary",0,20,123,26,20,2,191,438
48004,"Calgary Northeast/Calgary-Nord-Est"," 10","Calgary",0,17,147,26,16,2,208,455
48004,"Calgary Northeast/Calgary-Nord-Est"," 11","Calgary",0,7,133,27,18,0,185,450
48004,"Calgary Northeast/Calgary-Nord-Est"," 12","Calgary",2,16,108,24,28,1,179,395
48004,"Calgary Northeast/Calgary-Nord-Est"," 13","Calgary",0,14,188,26,25,0,253,479
48004,"Calgary Northeast/Calgary-Nord-Est"," 14","Calgary",1,17,191,26,32,0,267,495
48004,"Calgary Northeast/Calgary-Nord-Est"," 15","Calgary",2,8,178,29,29,0,246,437
48004,"Calgary Northeast/Calgary-Nord-Est"," 16","Calgary",0,7,120,11,16,0,154,322
48004,"Calgary Northeast/Calgary-Nord-Est"," 16-1","Calgary",1,8,109,18,17,1,154,306
48004,"Calgary Northeast/Calgary-Nord-Est"," 17","Calgary",1,9,188,25,22,0,245,441
48004,"Calgary Northeast/Calgary-Nord-Est"," 18","Calgary",0,19,143,33,28,0,223,455
48004,"Calgary Northeast/Calgary-Nord-Est"," 19","Calgary",1,9,195,22,19,0,246,493
48004,"Calgary Northeast/Calgary-Nord-Est"," 20","Calgary",0,10,155,27,27,1,220,440
48004,"Calgary Northeast/Calgary-Nord-Est"," 21","Calgary",1,11,117,20,14,0,163,314
48004,"Calgary Northeast/Calgary-Nord-Est"," 21-1","Calgary",0,3,71,11,11,2,98,251
48004,"Calgary Northeast/Calgary-Nord-Est"," 22","Calgary",0,12,79,9,18,0,118,298
48004,"Calgary Northeast/Calgary-Nord-Est"," 23","Calgary",0,10,80,12,18,0,120,279
48004,"Calgary Northeast/Calgary-Nord-Est"," 24","Calgary",0,3,98,14,107,2,224,554
48004,"Calgary Northeast/Calgary-Nord-Est"," 24-1","Calgary",0,3,74,6,43,2,128,345
48004,"Calgary Northeast/Calgary-Nord-Est"," 24-2","Calgary",1,2,38,4,63,3,111,346
48004,"Calgary Northeast/Calgary-Nord-Est"," 25","Calgary",0,0,17,1,19,1,38,184
48004,"Calgary Northeast/Calgary-Nord-Est"," 25-1","Calgary",0,3,72,22,51,1,149,454
48004,"Calgary Northeast/Calgary-Nord-Est"," 25-2","Calgary",0,1,63,12,120,0,196,525
48004,"Calgary Northeast/Calgary-Nord-Est"," 25-3A","Calgary",1,3,55,15,111,0,185,551
