Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Ablonczy,Collin Anderson,Tony Hajj,Margaret McLeod,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 1","Calgary",173,36,12,25,2,248,526
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 2","Calgary",224,26,16,17,0,283,553
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 3","Calgary",166,28,13,25,0,232,476
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 4","Calgary",204,37,11,33,0,285,565
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 5","Calgary",185,38,14,25,1,263,502
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 6","Calgary",172,29,12,8,1,222,401
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 7","Calgary",185,23,16,19,0,243,456
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 8","Calgary",146,29,14,33,0,222,450
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 9","Calgary",164,21,16,25,1,227,432
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 10","Calgary",150,37,28,22,0,237,492
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 11","Calgary",192,46,7,29,0,274,516
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 12","Calgary",200,28,9,23,0,260,518
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 13","Calgary",225,42,16,28,0,311,610
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 14","Calgary",197,26,13,22,0,258,525
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 15","Calgary",157,36,15,30,2,240,566
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 16A","Calgary",114,24,6,13,0,157,356
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 16B","Calgary",122,25,4,9,0,160,378
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 17","Calgary",213,32,17,17,1,280,648
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 18","Calgary",173,31,14,24,0,242,492
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 19","Calgary",245,33,21,29,1,329,693
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 20","Calgary",241,37,5,37,1,321,652
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 21","Calgary",213,24,6,32,0,275,561
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 22","Calgary",127,24,4,14,0,169,380
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 23","Calgary",182,25,12,30,0,249,457
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 24","Calgary",175,44,25,33,1,278,557
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 25","Calgary",133,37,18,18,1,207,445
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 26","Calgary",192,38,13,23,2,268,476
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 27","Calgary",200,38,26,29,0,293,531
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 28","Calgary",156,29,8,22,0,215,419
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 29","Calgary",286,37,5,9,2,339,506
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 30","Calgary",210,28,14,25,1,278,536
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 31","Calgary",219,30,14,37,2,302,562
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 32","Calgary",205,34,17,21,0,277,512
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 33","Calgary",229,25,15,23,1,293,587
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 34","Calgary",259,38,14,37,0,348,579
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 35","Calgary",242,42,22,21,0,327,617
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 36","Calgary",233,39,17,29,0,318,566
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 37","Calgary",205,32,7,24,1,269,536
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 38","Calgary",164,27,14,30,1,236,448
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 39","Calgary",158,46,15,29,1,249,519
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 40","Calgary",110,32,18,27,0,187,381
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 41","Calgary",196,33,10,27,0,266,587
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 42","Calgary",188,28,19,38,0,273,491
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 43","Calgary",188,22,17,35,2,264,488
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 44","Calgary",185,31,12,26,1,255,509
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 45","Calgary",172,20,12,15,1,220,461
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 46","Calgary",146,28,12,23,0,209,469
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 47","Calgary",205,39,16,21,1,282,500
