Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nadine Bailey,Christa Baxter,Mike Butler,Mike Lake,Naomi Rankin,Brent Schaffrick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 1","Edmonton",20,7,13,117,0,5,1,163,414
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 2","Edmonton",42,5,23,98,1,0,1,170,367
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 3","Edmonton",36,6,8,97,1,4,0,152,388
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 4","Edmonton",46,9,18,81,0,3,0,157,403
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 5","Edmonton",Merged with No. 6/Fusionné avec le nº 6,,,,,,,,350
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 6","Edmonton",92,11,24,245,2,7,3,384,361
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 7","Edmonton",50,0,20,90,0,1,1,162,311
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 8","Edmonton",31,2,9,46,0,0,1,89,345
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 9","Edmonton",61,7,22,89,0,3,3,185,442
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 10","Edmonton",43,4,17,115,0,0,1,180,383
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 11","Edmonton",48,16,34,115,0,2,0,215,408
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 12","Edmonton",37,5,14,76,0,2,3,137,415
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 13","Edmonton",37,4,16,38,0,2,2,99,374
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 14","Edmonton",33,4,10,96,0,5,1,149,378
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 15","Edmonton",59,2,23,68,0,1,1,154,392
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 16","Edmonton",44,9,12,113,0,0,0,178,332
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 17","Edmonton",60,10,25,149,1,1,1,247,478
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 18","Edmonton",35,11,12,76,0,1,1,136,281
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 19","Edmonton",36,4,13,100,1,1,0,155,338
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 20","Edmonton",45,7,9,103,0,3,0,167,281
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 21","Edmonton",57,7,27,103,0,1,0,195,345
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 22","Edmonton",60,4,22,126,2,2,0,216,349
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 23","Edmonton",36,6,21,143,0,1,0,207,396
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 24","Edmonton",53,9,10,83,0,3,0,158,349
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 25","Edmonton",59,10,14,117,1,0,0,201,401
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 26","Edmonton",44,6,22,99,0,1,0,172,385
