Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leon Benoit,William Munsey,Matthew Sokalski,Ray A Stone,Ron Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 1","Scotford",127,5,1,10,4,1,148,290
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 2","Griesbach",206,8,2,30,15,0,261,444
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 3","Josephburg",131,16,1,31,4,0,183,306
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 4","Good Hope",197,25,1,46,7,1,277,474
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 5","Ardrossan",186,8,4,39,4,0,241,477
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 6","Ardrossan",226,10,2,57,9,0,304,565
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 7","Ardrossan",194,14,4,41,12,0,265,512
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 8A","Ardrossan",162,9,1,41,8,0,221,363
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 8B","Ardrossan",160,10,0,27,15,1,213,375
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 9","Ardrossan",239,16,4,34,14,0,307,514
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 10","Ardrossan",240,9,2,57,13,0,321,553
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 11","North Cooking Lake",171,33,1,52,8,1,266,481
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 12","Uncas",121,10,0,19,2,0,152,285
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 13","Ardrossan",206,20,0,12,1,0,239,400
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 14","Ardrossan",219,14,0,34,8,1,276,533
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 15","Ardrossan",137,10,0,30,8,0,185,351
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 16","Ardrossan",201,14,1,42,16,2,276,483
