Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alan Beesley,Kerry-Lynne Findlay,Duane Laird,Jeff Monds,John Shavluk,Nic Slater,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59006,"Delta--Richmond East/Delta--Richmond-Est"," 1","Richmond",38,92,5,3,1,59,1,199,374
59006,"Delta--Richmond East/Delta--Richmond-Est"," 2","Richmond",27,92,10,1,0,38,0,168,356
59006,"Delta--Richmond East/Delta--Richmond-Est"," 2-1","Richmond",30,80,5,0,3,44,0,162,327
59006,"Delta--Richmond East/Delta--Richmond-Est"," 3","Richmond",30,102,6,1,0,33,0,172,402
59006,"Delta--Richmond East/Delta--Richmond-Est"," 3-1","Richmond",38,81,2,2,0,37,0,160,361
59006,"Delta--Richmond East/Delta--Richmond-Est"," 4","Richmond",47,95,9,1,1,63,0,216,563
59006,"Delta--Richmond East/Delta--Richmond-Est"," 5","Richmond",32,53,6,0,0,72,0,163,441
59006,"Delta--Richmond East/Delta--Richmond-Est"," 5-1","Richmond",39,51,7,1,0,28,0,126,305
59006,"Delta--Richmond East/Delta--Richmond-Est"," 6","Richmond",25,67,5,3,0,47,2,149,343
59006,"Delta--Richmond East/Delta--Richmond-Est"," 7","Richmond",48,125,8,1,0,91,1,274,573
59006,"Delta--Richmond East/Delta--Richmond-Est"," 8","Richmond",14,92,7,2,0,37,0,152,335
59006,"Delta--Richmond East/Delta--Richmond-Est"," 8-1","Richmond",28,87,4,1,1,21,0,142,306
59006,"Delta--Richmond East/Delta--Richmond-Est"," 9","Richmond",37,80,11,4,1,61,3,197,512
59006,"Delta--Richmond East/Delta--Richmond-Est"," 10","Richmond",30,135,12,4,3,62,0,246,558
59006,"Delta--Richmond East/Delta--Richmond-Est"," 11","Richmond",14,44,8,0,0,62,0,128,262
59006,"Delta--Richmond East/Delta--Richmond-Est"," 12","Richmond",32,71,3,0,0,38,0,144,520
59006,"Delta--Richmond East/Delta--Richmond-Est"," 12-1","Richmond",24,75,1,4,4,20,1,129,368
59006,"Delta--Richmond East/Delta--Richmond-Est"," 13","Richmond",16,56,0,0,0,22,1,95,301
59006,"Delta--Richmond East/Delta--Richmond-Est"," 13-1","Richmond",17,61,1,0,1,21,0,101,360
59006,"Delta--Richmond East/Delta--Richmond-Est"," 14","Richmond",31,49,5,1,2,51,0,139,319
59006,"Delta--Richmond East/Delta--Richmond-Est"," 15","Richmond",69,92,4,2,2,53,2,224,570
59006,"Delta--Richmond East/Delta--Richmond-Est"," 16","Richmond",38,81,3,1,0,73,2,198,422
59006,"Delta--Richmond East/Delta--Richmond-Est"," 17","Richmond",44,116,4,1,1,38,0,204,524
59006,"Delta--Richmond East/Delta--Richmond-Est"," 17-1","Richmond",31,94,2,0,0,32,0,159,378
59006,"Delta--Richmond East/Delta--Richmond-Est"," 18","Richmond",29,94,2,0,0,26,0,151,384
59006,"Delta--Richmond East/Delta--Richmond-Est"," 18-1","Richmond",21,92,6,0,1,34,1,155,397
59006,"Delta--Richmond East/Delta--Richmond-Est"," 19","Richmond",26,89,2,1,1,17,1,137,380
59006,"Delta--Richmond East/Delta--Richmond-Est"," 19-1","Richmond",21,104,1,0,0,34,4,164,391
59006,"Delta--Richmond East/Delta--Richmond-Est"," 20","Richmond",Void/Supprimé,,,,,,,,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 21A","Richmond",18,61,2,0,1,16,0,98,342
59006,"Delta--Richmond East/Delta--Richmond-Est"," 21B","Richmond",14,52,3,0,2,18,0,89,256
59006,"Delta--Richmond East/Delta--Richmond-Est"," 21-1","Richmond",18,89,1,0,1,17,2,128,405
59006,"Delta--Richmond East/Delta--Richmond-Est"," 22","Richmond",34,63,4,0,0,37,1,139,334
59006,"Delta--Richmond East/Delta--Richmond-Est"," 23","Richmond",19,137,10,0,0,33,1,200,371
59006,"Delta--Richmond East/Delta--Richmond-Est"," 24","Richmond",38,98,7,1,0,58,0,202,448
59006,"Delta--Richmond East/Delta--Richmond-Est"," 25","Richmond",55,118,14,0,2,63,3,255,535
59006,"Delta--Richmond East/Delta--Richmond-Est"," 26","Richmond",37,122,14,2,0,39,1,215,469
59006,"Delta--Richmond East/Delta--Richmond-Est"," 26-1","Richmond",28,95,11,1,0,88,0,223,491
59006,"Delta--Richmond East/Delta--Richmond-Est"," 27","Richmond",30,132,10,1,0,53,0,226,422
59006,"Delta--Richmond East/Delta--Richmond-Est"," 27-1","Richmond",21,92,5,1,1,41,1,162,341
59006,"Delta--Richmond East/Delta--Richmond-Est"," 28","Richmond",26,106,2,1,0,39,0,174,345
59006,"Delta--Richmond East/Delta--Richmond-Est"," 28-1","Richmond",28,92,6,0,0,37,0,163,303
59006,"Delta--Richmond East/Delta--Richmond-Est"," 29","Richmond",46,79,6,0,2,54,1,188,392
59006,"Delta--Richmond East/Delta--Richmond-Est"," 29-1","Richmond",15,77,11,0,1,24,0,128,284
59006,"Delta--Richmond East/Delta--Richmond-Est"," 30","Richmond",16,65,5,1,2,49,1,139,235
59006,"Delta--Richmond East/Delta--Richmond-Est"," 30-1","Richmond",36,104,5,1,0,49,0,195,381
59006,"Delta--Richmond East/Delta--Richmond-Est"," 31","Richmond",41,140,12,1,1,42,0,237,513
59006,"Delta--Richmond East/Delta--Richmond-Est"," 32","Richmond",34,141,4,0,0,63,2,244,449
59006,"Delta--Richmond East/Delta--Richmond-Est"," 33","Richmond",36,111,18,0,0,37,1,203,393
59006,"Delta--Richmond East/Delta--Richmond-Est"," 34","Richmond",65,133,11,2,0,59,0,270,535
59006,"Delta--Richmond East/Delta--Richmond-Est"," 35","Richmond",45,98,13,0,0,45,4,205,430
59006,"Delta--Richmond East/Delta--Richmond-Est"," 36","Richmond",48,107,8,0,0,53,1,217,437
59006,"Delta--Richmond East/Delta--Richmond-Est"," 37","Richmond",50,106,6,1,0,45,1,209,467
59006,"Delta--Richmond East/Delta--Richmond-Est"," 38","Richmond",38,109,9,1,0,55,2,214,464
59006,"Delta--Richmond East/Delta--Richmond-Est"," 39","Richmond",19,73,16,0,0,49,1,158,477
59006,"Delta--Richmond East/Delta--Richmond-Est"," 40","Richmond",41,104,15,1,1,73,1,236,456
59006,"Delta--Richmond East/Delta--Richmond-Est"," 41","Richmond",25,82,13,0,1,44,2,167,321
59006,"Delta--Richmond East/Delta--Richmond-Est"," 42A","Richmond",17,65,3,0,1,33,0,119,250
59006,"Delta--Richmond East/Delta--Richmond-Est"," 42B","Richmond",17,85,6,0,0,37,0,145,328
