Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Charrois,Greg Dowman,Nick Jones,Taleeb Noormohamed,Andrew Saxton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59019,"North Vancouver/North Vancouver"," 1","North Vancouver",27,11,0,90,133,0,261,501
59019,"North Vancouver/North Vancouver"," 2","North Vancouver",17,6,1,72,112,0,208,419
59019,"North Vancouver/North Vancouver"," 3","North Vancouver",9,17,2,68,160,0,256,379
59019,"North Vancouver/North Vancouver"," 4","North Vancouver",14,6,1,55,153,0,229,380
59019,"North Vancouver/North Vancouver"," 5","North Vancouver",13,13,1,84,140,0,251,403
59019,"North Vancouver/North Vancouver"," 6","North Vancouver",18,14,0,94,147,1,274,488
59019,"North Vancouver/North Vancouver"," 7","North Vancouver",29,11,2,84,129,1,256,451
59019,"North Vancouver/North Vancouver"," 8","North Vancouver",6,2,0,64,100,0,172,361
59019,"North Vancouver/North Vancouver"," 9","North Vancouver",24,9,0,74,146,0,253,443
59019,"North Vancouver/North Vancouver"," 10","North Vancouver",25,10,2,79,139,0,255,392
59019,"North Vancouver/North Vancouver"," 11","North Vancouver",20,11,0,67,144,0,242,376
59019,"North Vancouver/North Vancouver"," 12","North Vancouver",42,14,2,62,130,0,250,398
59019,"North Vancouver/North Vancouver"," 13","North Vancouver",23,4,0,52,109,2,190,352
59019,"North Vancouver/North Vancouver"," 14","North Vancouver",22,9,2,62,105,1,201,383
59019,"North Vancouver/North Vancouver"," 15","North Vancouver",29,12,0,60,124,1,226,442
59019,"North Vancouver/North Vancouver"," 16","North Vancouver",19,6,1,72,152,0,250,417
59019,"North Vancouver/North Vancouver"," 17","North Vancouver",21,17,2,74,156,0,270,435
59019,"North Vancouver/North Vancouver"," 18","North Vancouver",21,8,1,66,117,1,214,381
59019,"North Vancouver/North Vancouver"," 19","North Vancouver",23,18,1,80,150,2,274,418
59019,"North Vancouver/North Vancouver"," 20","North Vancouver",14,13,1,86,172,0,286,422
59019,"North Vancouver/North Vancouver"," 21","North Vancouver",18,6,1,83,109,0,217,402
59019,"North Vancouver/North Vancouver"," 22","North Vancouver",24,14,0,73,155,0,266,443
59019,"North Vancouver/North Vancouver"," 23","North Vancouver",19,12,2,85,146,0,264,409
59019,"North Vancouver/North Vancouver"," 24","North Vancouver",22,2,0,72,119,0,215,385
59019,"North Vancouver/North Vancouver"," 25","North Vancouver",23,11,0,73,129,1,237,388
59019,"North Vancouver/North Vancouver"," 26","North Vancouver",15,10,1,77,138,2,243,454
59019,"North Vancouver/North Vancouver"," 27","North Vancouver",15,9,1,90,133,1,249,442
59019,"North Vancouver/North Vancouver"," 28","North Vancouver",24,10,0,80,163,0,277,454
59019,"North Vancouver/North Vancouver"," 29","North Vancouver",41,16,0,82,121,0,260,447
59019,"North Vancouver/North Vancouver"," 30","North Vancouver",18,10,0,88,139,1,256,458
59019,"North Vancouver/North Vancouver"," 31","North Vancouver",23,4,0,59,144,0,230,420
59019,"North Vancouver/North Vancouver"," 32","North Vancouver",26,4,1,60,104,0,195,332
59019,"North Vancouver/North Vancouver"," 33","North Vancouver",29,13,2,132,157,0,333,486
59019,"North Vancouver/North Vancouver"," 34","North Vancouver",29,13,1,71,150,0,264,441
59019,"North Vancouver/North Vancouver"," 35","North Vancouver",22,17,2,84,133,0,258,426
59019,"North Vancouver/North Vancouver"," 36","North Vancouver",31,8,0,96,138,0,273,486
59019,"North Vancouver/North Vancouver"," 37","North Vancouver",41,10,3,78,124,1,257,450
59019,"North Vancouver/North Vancouver"," 38","North Vancouver",38,13,3,75,112,0,241,492
59019,"North Vancouver/North Vancouver"," 39","North Vancouver",51,12,2,71,111,3,250,440
59019,"North Vancouver/North Vancouver"," 40","North Vancouver",27,17,2,74,104,1,225,387
59019,"North Vancouver/North Vancouver"," 41","North Vancouver",56,12,0,67,103,1,239,399
59019,"North Vancouver/North Vancouver"," 42","North Vancouver",12,7,1,90,137,0,247,412
59019,"North Vancouver/North Vancouver"," 43","North Vancouver",29,15,0,82,95,0,221,384
59019,"North Vancouver/North Vancouver"," 44","North Vancouver",44,5,3,67,100,0,219,359
59019,"North Vancouver/North Vancouver"," 45","North Vancouver",19,10,0,64,130,0,223,348
59019,"North Vancouver/North Vancouver"," 46","North Vancouver",30,16,0,83,117,0,246,444
59019,"North Vancouver/North Vancouver"," 47","North Vancouver",19,4,2,51,130,0,206,441
59019,"North Vancouver/North Vancouver"," 48","North Vancouver",56,19,3,72,145,2,297,488
59019,"North Vancouver/North Vancouver"," 49","North Vancouver",40,16,0,76,128,1,261,449
59019,"North Vancouver/North Vancouver"," 50","North Vancouver",30,11,2,59,142,2,246,375
59019,"North Vancouver/North Vancouver"," 51","North Vancouver",48,18,2,110,129,1,308,427
59019,"North Vancouver/North Vancouver"," 52","North Vancouver",24,5,0,62,149,0,240,371
59019,"North Vancouver/North Vancouver"," 53","North Vancouver",57,12,1,92,139,0,301,448
59019,"North Vancouver/North Vancouver"," 54","North Vancouver",45,13,2,62,123,1,246,390
59019,"North Vancouver/North Vancouver"," 55","North Vancouver",28,22,0,64,130,0,244,424
59019,"North Vancouver/North Vancouver"," 56","North Vancouver",48,16,2,104,95,0,265,445
59019,"North Vancouver/North Vancouver"," 57","North Vancouver",62,20,1,68,133,4,288,417
59019,"North Vancouver/North Vancouver"," 58","North Vancouver",51,16,3,76,137,1,284,486
59019,"North Vancouver/North Vancouver"," 59","North Vancouver",51,20,0,98,113,1,283,463
59019,"North Vancouver/North Vancouver"," 60A","North Vancouver",36,12,1,49,65,1,164,305
59019,"North Vancouver/North Vancouver"," 60B","North Vancouver",29,11,3,36,59,0,138,263
59019,"North Vancouver/North Vancouver"," 61","North Vancouver",36,16,0,88,68,2,210,391
59019,"North Vancouver/North Vancouver"," 62","North Vancouver",29,13,0,71,134,1,248,432
59019,"North Vancouver/North Vancouver"," 63","North Vancouver",45,11,2,49,136,0,243,431
59019,"North Vancouver/North Vancouver"," 64","North Vancouver",25,3,0,70,104,0,202,366
59019,"North Vancouver/North Vancouver"," 65","North Vancouver",36,6,1,54,91,1,189,369
59019,"North Vancouver/North Vancouver"," 66","North Vancouver",54,22,1,55,101,1,234,390
59019,"North Vancouver/North Vancouver"," 67","North Vancouver",76,10,1,70,159,1,317,525
59019,"North Vancouver/North Vancouver"," 68","North Vancouver",69,19,2,60,102,0,252,527
59019,"North Vancouver/North Vancouver"," 69","North Vancouver",43,16,3,99,148,0,309,483
59019,"North Vancouver/North Vancouver"," 70","North Vancouver",36,8,2,75,101,0,222,409
59019,"North Vancouver/North Vancouver"," 71","North Vancouver",50,10,0,79,151,0,290,473
59019,"North Vancouver/North Vancouver"," 72","North Vancouver",29,14,0,80,132,0,255,408
59019,"North Vancouver/North Vancouver"," 73","North Vancouver",32,13,3,68,128,1,245,395
59019,"North Vancouver/North Vancouver"," 74","North Vancouver",36,9,2,80,120,2,249,368
59019,"North Vancouver/North Vancouver"," 75","North Vancouver",46,11,0,53,99,0,209,351
59019,"North Vancouver/North Vancouver"," 76","North Vancouver",27,3,4,69,130,0,233,370
59019,"North Vancouver/North Vancouver"," 77","North Vancouver",44,8,0,68,135,0,255,439
59019,"North Vancouver/North Vancouver"," 78","North Vancouver",41,12,4,85,114,0,256,422
59019,"North Vancouver/North Vancouver"," 79","North Vancouver",36,6,1,61,149,0,253,425
59019,"North Vancouver/North Vancouver"," 80","North Vancouver",35,15,1,76,115,0,242,414
59019,"North Vancouver/North Vancouver"," 81","North Vancouver",61,20,1,69,144,3,298,461
59019,"North Vancouver/North Vancouver"," 82","North Vancouver",55,11,2,55,149,0,272,396
59019,"North Vancouver/North Vancouver"," 83","North Vancouver",42,11,4,71,88,0,216,366
59019,"North Vancouver/North Vancouver"," 84","North Vancouver",48,16,0,84,128,1,277,459
59019,"North Vancouver/North Vancouver"," 85","North Vancouver",47,12,1,54,102,0,216,463
