Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roger Benham,Maggie Braun,Nathan Paul Cullen,Clay Harmon,Rod Taylor,Kyle Warwick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 1","Pleasant Camp",Void/Supprimé,,,,,,,,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 2","Atlin",10,0,46,90,1,9,1,157,314
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 3","Good Hope Lake",1,0,6,13,1,1,0,22,93
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 3-1","Lower Post",0,0,21,5,0,0,0,26,51
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 4","Dease Lake",4,0,50,52,3,4,0,113,299
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 5","Telegraph Creek",2,2,91,6,2,1,0,104,201
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 6","Iskut",2,1,58,12,2,2,0,77,218
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 7","Stewart",Void/Supprimé,,,,,,,,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 8","Stewart",Void/Supprimé,,,,,,,,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 9","Meziadin Junction",4,0,39,110,2,14,0,169,363
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 10","Fort Babine",1,0,20,3,1,0,0,25,34
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 11","Takla Landing",1,0,91,7,0,1,0,100,140
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 12","Germansen Landing",2,0,3,13,0,0,0,18,37
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 13","Gingolx",0,0,89,2,0,1,0,92,242
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 14","Greenville",2,0,97,8,4,4,1,116,367
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 15","Gitwinksihlkw",1,0,67,1,0,1,0,70,114
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 16","New Aiyansh",1,2,96,5,0,2,1,107,214
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 16-1","New Aiyansh",1,1,64,6,0,2,0,74,151
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 17","New Aiyansh",2,0,63,3,0,0,1,69,175
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 18","Gitanyow 1",3,0,76,14,7,1,0,101,163
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 19","Kitwanga",2,1,46,62,0,5,0,116,165
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 20","Kitimat-Stikine B",2,0,73,28,0,0,0,103,150
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 21","Kispiox 1",10,0,154,6,3,0,0,173,321
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 22","Glen Vowell",4,0,49,0,0,4,0,57,81
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 23A","Hazelton",4,1,112,23,2,3,0,145,261
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 23B","Hazelton",2,0,127,7,3,2,0,141,273
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 24","Hazelton",4,0,83,11,3,2,0,103,284
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 25","New Hazelton",2,0,113,53,5,3,0,176,405
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 26A","New Hazelton",3,0,57,47,4,3,0,114,246
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 26B","New Hazelton",1,0,49,48,3,4,0,105,243
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 27","Kitwanga",8,0,156,8,4,2,0,178,452
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 28","Gitsegukla 1",4,0,139,5,3,5,2,158,244
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 29","South Hazelton",5,0,44,28,1,1,1,80,204
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 30","Moricetown 1",4,1,181,11,25,3,0,225,381
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 31","Cerdarvale",Void/Supprimé,,,,,,,,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 32A","Masset 1",1,0,41,0,0,0,0,42,233
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 32B","Masset 1",3,0,44,4,0,0,0,51,229
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 33","Masset",11,0,118,53,0,6,0,188,395
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 34","Masset",5,0,83,23,1,1,1,114,202
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 35","Port Clements",8,0,128,59,0,4,0,199,321
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 36","Sewell Inlet",Void/Supprimé,,,,,,,,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 37","Skidegate 1",7,1,200,12,1,8,0,229,503
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 38","Queen Charlotte City",24,2,164,17,0,9,1,217,335
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 39","Queen Charlotte City",14,1,128,21,0,3,1,168,380
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 40","Sandspit",9,1,98,43,0,4,0,155,246
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 41","Tlell",3,0,86,13,0,3,0,105,157
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 42","Lockeport",Void/Supprimé,,,,,,,,
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 43","Lax Kw'alaams",3,0,148,5,0,3,0,159,379
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 44","Metlakatla",1,0,40,0,0,0,0,41,59
