Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adriane Carr,Jennifer Clarke,John Clarke,Hedy Fry,Michael Hill,Michael Huenefeld,Travis McCrea,Karen Shillington,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"Vancouver Centre/Vancouver-Centre"," 1","Vancouver",32,36,1,41,1,0,0,49,0,160,385
59029,"Vancouver Centre/Vancouver-Centre"," 2","Vancouver",36,56,1,51,0,3,0,51,0,198,382
59029,"Vancouver Centre/Vancouver-Centre"," 3","Vancouver",47,54,2,80,0,1,0,65,0,249,456
59029,"Vancouver Centre/Vancouver-Centre"," 4","Vancouver",47,51,0,56,0,1,0,60,2,217,423
59029,"Vancouver Centre/Vancouver-Centre"," 5","Vancouver",38,50,0,66,0,0,1,53,0,208,394
59029,"Vancouver Centre/Vancouver-Centre"," 6","Vancouver",33,25,1,39,1,0,1,50,1,151,367
59029,"Vancouver Centre/Vancouver-Centre"," 7","Vancouver",38,19,1,38,0,0,2,49,0,147,328
59029,"Vancouver Centre/Vancouver-Centre"," 8","Vancouver",47,21,0,65,1,1,0,77,0,212,395
59029,"Vancouver Centre/Vancouver-Centre"," 9","Vancouver",49,23,0,53,0,3,2,71,0,201,416
59029,"Vancouver Centre/Vancouver-Centre"," 10","Vancouver",21,31,0,52,0,0,1,58,0,163,351
59029,"Vancouver Centre/Vancouver-Centre"," 11","Vancouver",26,50,1,61,0,1,0,37,2,178,423
59029,"Vancouver Centre/Vancouver-Centre"," 12","Vancouver",27,59,0,55,0,0,1,59,0,201,389
59029,"Vancouver Centre/Vancouver-Centre"," 13","Vancouver",36,34,1,58,0,1,1,70,0,201,397
59029,"Vancouver Centre/Vancouver-Centre"," 14","Vancouver",51,22,0,48,0,0,1,59,0,181,373
59029,"Vancouver Centre/Vancouver-Centre"," 15","Vancouver",45,31,0,42,0,2,0,71,0,191,378
59029,"Vancouver Centre/Vancouver-Centre"," 16","Vancouver",47,44,0,51,0,1,0,55,0,198,404
59029,"Vancouver Centre/Vancouver-Centre"," 17","Vancouver",43,66,1,110,0,1,1,50,1,273,577
59029,"Vancouver Centre/Vancouver-Centre"," 18","Vancouver",28,31,0,57,1,1,1,69,2,190,440
59029,"Vancouver Centre/Vancouver-Centre"," 19","Vancouver",36,41,2,49,0,0,1,59,0,188,399
59029,"Vancouver Centre/Vancouver-Centre"," 20","Vancouver",58,53,1,65,0,1,0,88,1,267,523
59029,"Vancouver Centre/Vancouver-Centre"," 21","Vancouver",45,36,1,54,0,2,1,68,0,207,359
59029,"Vancouver Centre/Vancouver-Centre"," 22","Vancouver",35,25,0,44,0,0,2,51,0,157,324
59029,"Vancouver Centre/Vancouver-Centre"," 23","Vancouver",34,27,0,54,0,1,0,58,2,176,362
59029,"Vancouver Centre/Vancouver-Centre"," 24","Vancouver",35,34,0,52,0,2,0,82,0,205,412
59029,"Vancouver Centre/Vancouver-Centre"," 25","Vancouver",26,15,1,20,0,3,1,49,0,115,296
59029,"Vancouver Centre/Vancouver-Centre"," 26","Vancouver",14,11,1,31,0,0,1,46,1,105,259
59029,"Vancouver Centre/Vancouver-Centre"," 27","Vancouver",48,41,1,56,0,0,2,81,0,229,479
59029,"Vancouver Centre/Vancouver-Centre"," 28","Vancouver",14,92,3,72,0,1,0,62,0,244,510
59029,"Vancouver Centre/Vancouver-Centre"," 28-1","Vancouver",18,62,1,44,1,0,1,42,1,170,460
59029,"Vancouver Centre/Vancouver-Centre"," 29","Vancouver",18,85,4,64,0,4,0,65,1,241,533
59029,"Vancouver Centre/Vancouver-Centre"," 29-1","Vancouver",9,60,0,37,0,0,0,17,0,123,249
59029,"Vancouver Centre/Vancouver-Centre"," 30","Vancouver",15,80,3,37,0,0,0,31,0,166,471
59029,"Vancouver Centre/Vancouver-Centre"," 30-1","Vancouver",9,35,0,23,0,0,1,21,0,89,227
59029,"Vancouver Centre/Vancouver-Centre"," 31","Vancouver",40,38,0,51,1,1,1,59,0,191,368
59029,"Vancouver Centre/Vancouver-Centre"," 32","Vancouver",34,32,0,47,2,2,1,87,1,206,436
59029,"Vancouver Centre/Vancouver-Centre"," 33","Vancouver",37,43,3,65,0,2,0,93,2,245,513
