Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roma Ahi,Libby Davies,Anne Jamieson,Douglas Roy,Irene C. Yatco,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"Vancouver East/Vancouver-Est"," 1","Vancouver",85,238,3,32,92,0,450,1129
59030,"Vancouver East/Vancouver-Est"," 2","Vancouver",31,150,1,41,32,0,255,573
59030,"Vancouver East/Vancouver-Est"," 3","Vancouver",21,67,0,9,25,1,123,279
59030,"Vancouver East/Vancouver-Est"," 4","Vancouver",11,140,0,11,32,1,195,435
59030,"Vancouver East/Vancouver-Est"," 5","Vancouver",23,150,1,27,33,0,234,916
59030,"Vancouver East/Vancouver-Est"," 6","Vancouver",10,45,2,6,12,0,75,472
59030,"Vancouver East/Vancouver-Est"," 7","Vancouver",9,46,1,6,26,1,89,348
59030,"Vancouver East/Vancouver-Est"," 7-1","Vancouver",35,99,1,9,36,1,181,640
59030,"Vancouver East/Vancouver-Est"," 8","Vancouver",33,97,1,16,59,0,206,545
59030,"Vancouver East/Vancouver-Est"," 8-1","Vancouver",16,36,0,4,33,1,90,193
59030,"Vancouver East/Vancouver-Est"," 9","Vancouver",78,133,1,38,83,1,334,776
59030,"Vancouver East/Vancouver-Est"," 10","Vancouver",Void/Supprimé,,,,,,,
59030,"Vancouver East/Vancouver-Est"," 11","Vancouver",Void/Supprimé,,,,,,,
59030,"Vancouver East/Vancouver-Est"," 12","Vancouver",Void/Supprimé,,,,,,,
59030,"Vancouver East/Vancouver-Est"," 13","Vancouver",10,55,0,9,9,1,84,366
59030,"Vancouver East/Vancouver-Est"," 14","Vancouver",11,72,2,12,29,1,127,462
59030,"Vancouver East/Vancouver-Est"," 15","Vancouver",5,25,0,1,13,0,44,381
59030,"Vancouver East/Vancouver-Est"," 16","Vancouver",2,51,2,3,17,1,76,391
59030,"Vancouver East/Vancouver-Est"," 17","Vancouver",5,6,0,2,4,0,17,93
59030,"Vancouver East/Vancouver-Est"," 17-1","Vancouver",9,79,1,4,32,0,125,418
59030,"Vancouver East/Vancouver-Est"," 18","Vancouver",Void/Supprimé,,,,,,,
59030,"Vancouver East/Vancouver-Est"," 19","Vancouver",13,81,2,8,23,0,127,414
59030,"Vancouver East/Vancouver-Est"," 20","Vancouver",17,85,3,7,57,0,169,573
59030,"Vancouver East/Vancouver-Est"," 21","Vancouver",38,175,3,25,43,4,288,646
59030,"Vancouver East/Vancouver-Est"," 22","Vancouver",8,44,1,1,25,1,80,375
59030,"Vancouver East/Vancouver-Est"," 23","Vancouver",6,53,1,3,18,1,82,386
59030,"Vancouver East/Vancouver-Est"," 24","Vancouver",17,98,6,14,15,0,150,456
59030,"Vancouver East/Vancouver-Est"," 25","Vancouver",25,131,6,17,25,0,204,446
59030,"Vancouver East/Vancouver-Est"," 26","Vancouver",14,131,4,7,27,1,184,476
59030,"Vancouver East/Vancouver-Est"," 27","Vancouver",17,137,6,14,32,0,206,520
59030,"Vancouver East/Vancouver-Est"," 28","Vancouver",35,199,5,16,23,0,278,552
59030,"Vancouver East/Vancouver-Est"," 29","Vancouver",23,164,1,12,20,0,220,401
59030,"Vancouver East/Vancouver-Est"," 30","Vancouver",33,173,4,16,66,3,295,568
59030,"Vancouver East/Vancouver-Est"," 31","Vancouver",11,136,1,27,24,1,200,464
59030,"Vancouver East/Vancouver-Est"," 32","Vancouver",6,124,0,8,12,0,150,382
59030,"Vancouver East/Vancouver-Est"," 33","Vancouver",17,121,3,14,25,1,181,437
59030,"Vancouver East/Vancouver-Est"," 34","Vancouver",7,137,1,14,38,0,197,339
59030,"Vancouver East/Vancouver-Est"," 35","Vancouver",25,183,2,15,45,2,272,515
59030,"Vancouver East/Vancouver-Est"," 36","Vancouver",24,135,0,15,52,1,227,441
59030,"Vancouver East/Vancouver-Est"," 37","Vancouver",7,182,3,25,37,0,254,508
59030,"Vancouver East/Vancouver-Est"," 38","Vancouver",14,184,1,17,34,2,252,459
59030,"Vancouver East/Vancouver-Est"," 39","Vancouver",9,168,2,23,42,1,245,524
59030,"Vancouver East/Vancouver-Est"," 40","Vancouver",8,114,2,10,25,1,160,451
59030,"Vancouver East/Vancouver-Est"," 41","Vancouver",13,149,2,13,38,1,216,452
59030,"Vancouver East/Vancouver-Est"," 42","Vancouver",15,138,2,14,30,0,199,511
59030,"Vancouver East/Vancouver-Est"," 43","Vancouver",12,140,1,20,42,0,215,479
59030,"Vancouver East/Vancouver-Est"," 43-1","Vancouver",15,115,2,11,21,1,165,399
59030,"Vancouver East/Vancouver-Est"," 44","Vancouver",33,145,1,15,51,1,246,428
59030,"Vancouver East/Vancouver-Est"," 45","Vancouver",15,129,0,8,55,0,207,392
59030,"Vancouver East/Vancouver-Est"," 46","Vancouver",14,126,1,16,47,0,204,354
59030,"Vancouver East/Vancouver-Est"," 47","Vancouver",33,160,3,21,71,0,288,519
59030,"Vancouver East/Vancouver-Est"," 48","Vancouver",26,146,3,13,65,2,255,493
59030,"Vancouver East/Vancouver-Est"," 49","Vancouver",30,122,2,11,56,1,222,521
59030,"Vancouver East/Vancouver-Est"," 50","Vancouver",27,221,0,32,22,0,302,672
59030,"Vancouver East/Vancouver-Est"," 51","Vancouver",13,153,1,24,21,0,212,475
59030,"Vancouver East/Vancouver-Est"," 52","Vancouver",13,140,0,23,17,1,194,511
59030,"Vancouver East/Vancouver-Est"," 53","Vancouver",10,144,2,19,16,2,193,456
59030,"Vancouver East/Vancouver-Est"," 54","Vancouver",16,148,1,19,27,0,211,441
59030,"Vancouver East/Vancouver-Est"," 55","Vancouver",12,140,3,21,15,3,194,381
59030,"Vancouver East/Vancouver-Est"," 56","Vancouver",15,195,0,31,30,2,273,487
59030,"Vancouver East/Vancouver-Est"," 57","Vancouver",20,177,0,18,45,2,262,512
59030,"Vancouver East/Vancouver-Est"," 58","Vancouver",15,134,1,17,10,1,178,357
59030,"Vancouver East/Vancouver-Est"," 59","Vancouver",13,175,1,27,25,0,241,450
59030,"Vancouver East/Vancouver-Est"," 60","Vancouver",12,168,2,27,29,0,238,406
59030,"Vancouver East/Vancouver-Est"," 61","Vancouver",13,192,1,21,16,0,243,447
59030,"Vancouver East/Vancouver-Est"," 62","Vancouver",36,215,1,26,14,1,293,510
59030,"Vancouver East/Vancouver-Est"," 63","Vancouver",29,162,1,25,17,0,234,423
59030,"Vancouver East/Vancouver-Est"," 64","Vancouver",29,166,4,16,40,1,256,462
59030,"Vancouver East/Vancouver-Est"," 65","Vancouver",8,187,1,25,10,1,232,495
59030,"Vancouver East/Vancouver-Est"," 66","Vancouver",14,158,22,0,34,0,228,491
59030,"Vancouver East/Vancouver-Est"," 67","Vancouver",20,169,1,29,33,4,256,531
59030,"Vancouver East/Vancouver-Est"," 68","Vancouver",14,154,5,20,20,1,214,470
59030,"Vancouver East/Vancouver-Est"," 69","Vancouver",22,106,3,18,65,5,219,443
59030,"Vancouver East/Vancouver-Est"," 70","Vancouver",14,182,0,19,29,0,244,494
59030,"Vancouver East/Vancouver-Est"," 71","Vancouver",18,147,1,23,12,0,201,390
59030,"Vancouver East/Vancouver-Est"," 72","Vancouver",9,108,0,10,19,0,146,356
59030,"Vancouver East/Vancouver-Est"," 73","Vancouver",16,165,1,14,11,0,207,385
59030,"Vancouver East/Vancouver-Est"," 74","Vancouver",15,162,0,10,14,0,201,315
59030,"Vancouver East/Vancouver-Est"," 75","Vancouver",30,102,2,21,89,0,244,410
59030,"Vancouver East/Vancouver-Est"," 76","Vancouver",28,142,1,17,84,1,273,442
59030,"Vancouver East/Vancouver-Est"," 77","Vancouver",32,139,1,10,68,0,250,479
59030,"Vancouver East/Vancouver-Est"," 78","Vancouver",30,172,2,15,62,1,282,554
59030,"Vancouver East/Vancouver-Est"," 79","Vancouver",29,141,2,22,42,1,237,450
59030,"Vancouver East/Vancouver-Est"," 80","Vancouver",23,152,1,20,37,4,237,555
59030,"Vancouver East/Vancouver-Est"," 81","Vancouver",34,129,1,11,77,1,253,497
59030,"Vancouver East/Vancouver-Est"," 82","Vancouver",34,115,2,9,54,0,214,515
59030,"Vancouver East/Vancouver-Est"," 83","Vancouver",21,91,1,11,63,2,189,413
59030,"Vancouver East/Vancouver-Est"," 84","Vancouver",21,115,2,15,66,3,222,434
59030,"Vancouver East/Vancouver-Est"," 85","Vancouver",27,143,2,11,72,1,256,537
59030,"Vancouver East/Vancouver-Est"," 86","Vancouver",27,114,3,11,62,0,217,555
59030,"Vancouver East/Vancouver-Est"," 87","Vancouver",16,106,1,9,82,4,218,520
59030,"Vancouver East/Vancouver-Est"," 88","Vancouver",17,137,2,11,60,2,229,488
59030,"Vancouver East/Vancouver-Est"," 89","Vancouver",24,96,3,12,89,1,225,431
59030,"Vancouver East/Vancouver-Est"," 90","Vancouver",10,134,1,16,17,0,178,384
59030,"Vancouver East/Vancouver-Est"," 91","Vancouver",36,194,4,38,29,0,301,503
59030,"Vancouver East/Vancouver-Est"," 92","Vancouver",29,167,0,31,31,2,260,502
59030,"Vancouver East/Vancouver-Est"," 93","Vancouver",10,170,0,15,35,2,232,402
59030,"Vancouver East/Vancouver-Est"," 94","Vancouver",20,167,1,18,23,3,232,448
59030,"Vancouver East/Vancouver-Est"," 95","Vancouver",21,146,1,21,30,2,221,375
59030,"Vancouver East/Vancouver-Est"," 96","Vancouver",19,188,1,25,39,1,273,516
59030,"Vancouver East/Vancouver-Est"," 97","Vancouver",26,163,0,28,17,0,234,423
59030,"Vancouver East/Vancouver-Est"," 98","Vancouver",31,165,0,25,32,0,253,475
59030,"Vancouver East/Vancouver-Est"," 99","Vancouver",24,152,3,29,16,0,224,415
59030,"Vancouver East/Vancouver-Est"," 100","Vancouver",30,191,0,30,54,0,305,542
59030,"Vancouver East/Vancouver-Est"," 101","Vancouver",23,170,0,22,27,0,242,435
59030,"Vancouver East/Vancouver-Est"," 102","Vancouver",23,178,3,21,25,2,252,469
59030,"Vancouver East/Vancouver-Est"," 103","Vancouver",29,195,2,27,42,2,297,518
59030,"Vancouver East/Vancouver-Est"," 104","Vancouver",48,190,0,42,42,1,323,576
59030,"Vancouver East/Vancouver-Est"," 104-1A","Vancouver",26,123,1,10,28,0,188,477
59030,"Vancouver East/Vancouver-Est"," 104-1B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,70
59030,"Vancouver East/Vancouver-Est"," 105","Vancouver",28,165,2,25,30,2,252,532
59030,"Vancouver East/Vancouver-Est"," 106","Vancouver",49,182,3,34,40,3,311,623
59030,"Vancouver East/Vancouver-Est"," 107","Vancouver",27,152,1,18,28,0,226,506
59030,"Vancouver East/Vancouver-Est"," 108","Vancouver",17,179,2,20,37,1,256,496
59030,"Vancouver East/Vancouver-Est"," 109","Vancouver",20,188,0,43,28,1,280,510
59030,"Vancouver East/Vancouver-Est"," 110","Vancouver",23,153,4,19,29,0,228,496
59030,"Vancouver East/Vancouver-Est"," 111","Vancouver",12,124,0,13,21,2,172,468
59030,"Vancouver East/Vancouver-Est"," 112","Vancouver",15,141,2,20,22,0,200,427
59030,"Vancouver East/Vancouver-Est"," 113","Vancouver",16,128,1,19,29,0,193,512
59030,"Vancouver East/Vancouver-Est"," 114","Vancouver",10,89,1,7,28,0,135,383
59030,"Vancouver East/Vancouver-Est"," 115","Vancouver",24,156,2,20,19,3,224,437
59030,"Vancouver East/Vancouver-Est"," 116","Vancouver",5,153,2,15,26,1,202,465
59030,"Vancouver East/Vancouver-Est"," 117","Vancouver",18,167,2,23,28,0,238,546
59030,"Vancouver East/Vancouver-Est"," 118","Vancouver",17,163,2,19,38,1,240,541
59030,"Vancouver East/Vancouver-Est"," 119","Vancouver",22,155,0,23,40,0,240,489
