Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leona Aglukkaq,Jack Hicks,Scott MacCallum,Paul Okalik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
62001,"Nunavut/Nunavut"," 1","Grise Fiord",13,7,4,21,0,45,75
62001,"Nunavut/Nunavut"," 2","Resolute Bay",27,11,2,26,0,66,152
62001,"Nunavut/Nunavut"," 3","Arctic Bay",68,17,3,60,0,148,367
62001,"Nunavut/Nunavut"," 4A","Pond Inlet",86,43,3,54,0,186,394
62001,"Nunavut/Nunavut"," 4B","Pond Inlet",76,42,1,50,0,169,364
62001,"Nunavut/Nunavut"," 5","Clyde River",75,12,5,116,7,215,466
62001,"Nunavut/Nunavut"," 6A","Igloolik",69,38,3,45,2,157,384
62001,"Nunavut/Nunavut"," 6B","Igloolik",69,42,3,40,1,155,405
62001,"Nunavut/Nunavut"," 7","Hall Beach",89,19,2,63,2,175,351
62001,"Nunavut/Nunavut"," 8","Qikiqtarjuaq",81,23,2,55,1,162,354
62001,"Nunavut/Nunavut"," 9A","Pangnirtung",67,11,1,37,0,116,332
62001,"Nunavut/Nunavut"," 9B","Pangnirtung",72,29,1,57,1,160,402
62001,"Nunavut/Nunavut"," 10A","Iqaluit",113,57,3,99,3,275,580
62001,"Nunavut/Nunavut"," 10B","Iqaluit",83,59,1,104,4,251,589
62001,"Nunavut/Nunavut"," 11A","Iqaluit",61,49,0,65,1,176,439
62001,"Nunavut/Nunavut"," 11B","Iqaluit",89,82,4,69,1,245,413
62001,"Nunavut/Nunavut"," 11C","Iqaluit",64,55,1,77,2,199,418
62001,"Nunavut/Nunavut"," 11D","Iqaluit",66,63,4,56,2,191,426
62001,"Nunavut/Nunavut"," 11E","Iqaluit",63,65,4,68,2,202,412
62001,"Nunavut/Nunavut"," 11F","Iqaluit",69,76,3,56,0,204,426
62001,"Nunavut/Nunavut"," 11G","Iqaluit",85,72,6,56,3,222,409
62001,"Nunavut/Nunavut"," 12","Kimmirut",72,11,1,25,0,109,229
62001,"Nunavut/Nunavut"," 13A","Cape Dorset",48,18,3,54,0,123,372
62001,"Nunavut/Nunavut"," 13B","Cape Dorset",52,20,2,37,0,111,351
62001,"Nunavut/Nunavut"," 14","Coral Harbour",125,6,1,22,0,154,401
62001,"Nunavut/Nunavut"," 15","Sanikiluaq",110,55,0,61,2,228,396
62001,"Nunavut/Nunavut"," 16A","Arviat",99,24,4,35,1,163,511
62001,"Nunavut/Nunavut"," 16B","Arviat",123,22,5,38,3,191,524
62001,"Nunavut/Nunavut"," 17","Whale Cove",53,13,2,17,0,85,198
62001,"Nunavut/Nunavut"," 18A","Rankin Inlet",110,62,6,56,2,236,693
62001,"Nunavut/Nunavut"," 18B","Rankin Inlet",129,56,5,69,0,259,730
62001,"Nunavut/Nunavut"," 19","Chesterfield Inlet",61,10,4,9,1,85,194
62001,"Nunavut/Nunavut"," 20A","Baker Lake",96,41,7,40,0,184,482
62001,"Nunavut/Nunavut"," 20B","Baker Lake",120,33,4,39,0,196,524
62001,"Nunavut/Nunavut"," 21","Repulse Bay",68,10,0,21,0,99,362
62001,"Nunavut/Nunavut"," 22","Kugaaruk",112,10,1,7,0,130,359
62001,"Nunavut/Nunavut"," 23","Taloyoak",158,18,2,18,1,197,441
62001,"Nunavut/Nunavut"," 24A","Gjoa Haven",136,10,5,15,0,166,312
62001,"Nunavut/Nunavut"," 24B","Gjoa Haven",163,7,2,15,0,187,280
62001,"Nunavut/Nunavut"," 25A","Cambridge Bay",164,67,16,95,2,344,465
62001,"Nunavut/Nunavut"," 25B","Cambridge Bay",32,3,2,13,0,50,421
62001,"Nunavut/Nunavut"," 26A","Kugluktuk",68,19,1,42,2,132,385
62001,"Nunavut/Nunavut"," 26B","Kugluktuk",84,33,10,47,0,174,397
62001,"Nunavut/Nunavut"," 27","Bathurst Inlet",Void/Supprimé,,,,,,
62001,"Nunavut/Nunavut"," 28","Kugluktuk",Void/Supprimé,,,,,,
62001,"Nunavut/Nunavut"," 600","Pond Inlet",10,5,1,8,0,24,
62001,"Nunavut/Nunavut"," 601","Igloolik",2,2,0,3,0,7,
62001,"Nunavut/Nunavut"," 602","Pangnirtung",12,1,0,13,0,26,
62001,"Nunavut/Nunavut"," 603A","Iqaluit",22,13,0,8,0,43,
62001,"Nunavut/Nunavut"," 603B","Iqaluit",35,32,0,32,0,99,
62001,"Nunavut/Nunavut"," 604","Cape Dorset",Combined with No. 603A/Jumelé avec le nº 603A,,,,,,
62001,"Nunavut/Nunavut"," 605","Baker Lake",7,1,0,2,0,10,
62001,"Nunavut/Nunavut"," 606","Rankin Inlet",6,4,0,9,0,19,
62001,"Nunavut/Nunavut"," 607","Arviat",29,3,2,18,1,53,
62001,"Nunavut/Nunavut"," 608","Gjoa Haven",12,0,3,0,0,15,
62001,"Nunavut/Nunavut"," 609","Cambridge Bay",32,3,2,13,0,50,
62001,"Nunavut/Nunavut"," 610","Kugluktuk",3,4,1,2,0,10,
62001,"Nunavut/Nunavut",,Group 1/Groupe 1,36,6,7,63,9,121,164
62001,"Nunavut/Nunavut",,Group 2/Groupe 2,56,31,5,40,0,132,
