Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenn Brown,Tyler John Colbourne,Judy M. Foote,Mike Windsor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 1","Deadman's Bay",4,0,55,1,0,60,109
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 2","Lumsden",3,1,205,11,0,220,403
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 3","Cape Freels",0,0,53,4,0,57,94
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 4","Newtown--Templeman",3,0,161,13,0,177,277
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 5","Pound Cove",1,0,61,5,0,67,125
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 6","Wesleyville",2,0,72,7,1,82,246
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 7","Brookfield",5,0,114,5,1,125,335
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 8","Musgrave Harbour",4,0,130,21,0,155,370
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 9","Musgrave Harbour",2,1,83,18,0,104,293
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 10","Musgrave Harbour",4,0,59,4,0,67,174
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 11","Ladle Cove--Aspen Cove",4,0,89,6,0,99,264
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 12","Gander Bay South",Void/Supprimé,,,,,,
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 13A","Carmanville",18,1,111,25,0,155,331
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 13B","Carmanville",4,0,92,18,0,114,345
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 14A","Carmanville",Merged with No./Fusionné avec le n°13A,,,,,,77
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 14B","Carmanville",Merged with No./Fusionné avec le n°13B,,,,,,74
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 15","Frederickton",5,1,51,19,0,76,203
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 16","Davidsville",11,3,78,15,0,107,261
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 17","Centreville",10,1,111,25,0,147,318
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 18","Wareham",1,1,108,7,1,118,254
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 19","Centreville--Indian Bay",3,0,91,17,1,112,297
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 20","Greenspond",3,0,148,8,2,161,261
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 21","Badger's Quay--Pool's Island",15,0,171,20,0,206,414
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 22","Valleyfield",8,3,215,13,0,239,484
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 23","St. Brendan's",0,1,61,10,1,73,139
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 24","Burnside-St. Chads",4,0,35,5,0,44,63
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 25","Salvage",4,2,45,6,0,57,147
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 26","Open Hall--Red Cliff--Tickle Cove",8,2,39,9,2,60,86
